Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
SaCoC,214.0,humanoid,generic,N,2.0,2,450.0,44.0,15.0,44.0,15.0,4.0,4.0,14.5,14.5
SaCoC,221.0,humanoid,generic,N,2.0,2,450.0,44.0,13.0,59.0,13.0,4.0,4.0,16.5,18.833334
SaCoC,187.0,plant,generic,N,3.0,2,700.0,68.0,12.0,75.0,12.0,7.0,7.0,19.5,19.5
SaCoC,188.0,construct,generic,N,4.0,2,1100.0,90.0,17.0,90.0,19.0,6.0,6.0,26.0,26.0
SaCoC,194.0,plant,generic,N,4.0,2,1100.0,68.0,13.0,68.0,13.0,7.0,7.0,18.0,25.0
SaCoC,197.0,humanoid,generic,N,4.0,2,1100.0,60.5,16.0,74.5,16.0,5.0,5.0,38.0,41.333332
SaCoC,202.0,humanoid,generic,N,4.0,2,1100.0,55.0,16.0,55.0,18.0,6.0,6.0,43.0,43.0
SaCoC,205.0,humanoid,generic,N,4.0,2,1100.0,66.0,15.0,73.0,16.0,5.0,6.0,26.0,26.0
SaCoC,208.0,humanoid,generic,N,4.0,2,1100.0,66.0,15.0,66.0,15.0,5.0,5.0,37.666668,42.333332
SaCoC,214.0,humanoid,generic,N,4.0,2,1100.0,66.0,16.0,66.0,21.0,5.0,5.0,29.0,29.0
SaCoC,222.0,humanoid,generic,N,4.0,2,1100.0,66.0,15.0,88.0,15.0,5.0,9.0,26.5,28.833334
SaCoC,199.0,monstrosity,generic,N,5.0,3,1800.0,85.0,15.0,106.0,17.0,7.0,7.0,30.0,37.0
SaCoC,211.0,construct,generic,N,5.0,3,1800.0,82.5,16.0,82.5,16.0,9.0,9.0,26.0,26.0
SaCoC,198.0,humanoid,generic,N,7.0,3,2900.0,110.5,15.0,110.5,19.0,7.0,9.0,39.0,39.0
SaCoC,198.0,humanoid,generic,N,7.0,3,2900.0,104.0,15.0,134.0,19.0,7.0,9.0,26.0,26.0
SaCoC,206.0,humanoid,generic,N,7.0,3,2900.0,97.5,16.0,97.5,18.0,7.0,7.0,63.333332,63.333332
SaCoC,206.0,humanoid,generic,N,7.0,3,2900.0,97.5,16.0,97.5,18.0,7.0,9.0,39.0,39.0
SaCoC,209.0,humanoid,generic,N,7.0,3,2900.0,104.0,15.0,124.0,19.0,7.0,7.0,44.0,44.0
SaCoC,209.0,humanoid,generic,N,7.0,3,2900.0,97.5,15.0,137.5,17.0,7.0,7.0,32.666668,39.333332
SaCoC,215.0,humanoid,generic,N,7.0,3,2900.0,97.5,15.0,97.5,19.0,7.0,9.0,35.0,35.0
SaCoC,215.0,humanoid,generic,N,7.0,3,2900.0,97.5,15.0,97.5,19.0,7.0,9.0,35.0,35.0
SaCoC,223.0,humanoid,generic,N,7.0,3,2900.0,105.0,14.0,125.0,16.0,7.0,7.0,39.0,39.0
SaCoC,223.0,humanoid,generic,N,7.0,3,2900.0,112.5,13.0,180.5,15.0,7.0,7.0,49.0,49.0
SaCoC,201.0,humanoid,generic,N,9.0,4,5000.0,127.5,16.0,167.5,18.0,9.0,9.0,65.666664,65.666664
SaCoC,189.0,fiend,generic,N,10.0,4,5900.0,157.5,16.0,202.5,18.0,9.0,9.0,47.666668,47.666668
SaCoC,200.0,humanoid,unique,L,15.0,5,13000.0,150.0,15.0,240.0,17.0,10.0,10.0,93.333336,93.333336
SaCoC,190.0,fiend,legendary,L,16.0,5,15000.0,203.5,17.0,368.5,19.0,12.0,12.0,87.5,87.5
SaCoC,184.0,celestial,legendary,L,18.0,6,20000.0,245.0,20.0,335.0,22.0,14.0,14.0,106.666664,118.333336
SaCoC,212.0,dragon,unique,L,22.0,7,41000.0,363.0,21.0,453.0,24.0,14.0,14.0,98.833336,98.833336
SaCoC,193.0,dragon,unique,L,23.0,7,50000.0,402.5,21.0,492.5,23.0,15.0,15.0,113.833336,113.833336
SaCoC,186.0,dragon,unique,L,24.0,7,62000.0,444.0,22.0,570.0,24.0,16.0,18.0,116.666664,116.666664
SaCoC,218.0,dragon,unique,L,24.0,7,62000.0,444.0,21.0,534.0,23.0,16.0,16.0,144.33333,144.33333
SaCoC,219.0,dragon,unique,L,25.0,8,75000.0,487.5,21.0,577.5,23.0,18.0,20.0,133.83333,133.83333
FToD,214.0,dragon,legendary,L,22.0,7,41000.0,370.0,20.0,490.0,22.0,15.0,15.0,121.666664,121.666664
MToF,201.0,elemental,legendary,L,22.0,7,41000.0,307.5,21.0,397.0,21.0,17.0,17.0,138.0,138.0
MToF,117.0,monstrosity,legendary,L,21.0,7,33000.0,297.5,20.0,387.0,20.0,16.0,16.0,131.0,131.0
MM,87.0,dragon,legendary,LL,21.0,7,33000.0,367.5,22.0,457.0,24.0,15.0,15.0,147.66667,147.66667
MM,110.0,dragon,legendary,LL,21.0,7,33000.0,350.0,21.0,440.0,23.0,15.0,15.0,145.66667,145.66667
FToD,195.0,dragon,legendary,L,21.0,7,33000.0,332.5,20.0,422.5,24.0,14.0,14.0,117.0,117.0
MM,202.0,undead,generic,N,21.0,7,33000.0,135.0,17.0,281.3,24.0,12.0,12.0,145.0,145.0
WDotMM,262.0,construct,unique,N,4.0,2,1100.0,40.0,17.0,40.0,19.0,5.0,5.0,74.666664,74.666664
MToF,134.0,fiend,legendary,L,21.0,7,33000.0,216.0,19.0,306.0,23.0,16.0,16.0,144.0,144.0
FToD,211.0,dragon,legendary,L,21.0,7,33000.0,330.0,20.0,420.0,22.0,13.0,13.0,107.833336,107.833336
MM,18.0,celestial,legendary,L,21.0,7,33000.0,243.0,21.0,243.0,25.0,15.0,15.0,126.0,126.0
VRGtR,245.0,aberration,legendary,L,21.0,7,33000.0,290.0,15.0,410.0,17.0,14.0,14.0,220.5,220.5
FToD,220.0,dragon,legendary,LL,21.0,7,33000.0,280.5,20.0,405.5,22.0,12.0,12.0,126.0,126.0
MM,104.0,dragon,legendary,LL,20.0,6,25000.0,297.5,20.0,387.0,24.0,14.0,14.0,121.0,121.0
MOoT,226.0,monstrosity,unique,N,5.0,3,1800.0,52.0,15.0,92.0,17.0,6.0,6.0,31.0,31.0
FToD,170.0,dragon,legendary,LL,20.0,6,25000.0,222.0,20.0,352.0,22.0,13.0,13.0,129.0,129.0
MOoT,248.0,monstrosity,unique,LL,21.0,7,33000.0,300.0,19.0,440.0,23.0,14.0,14.0,137.0,137.0
MToF,186.0,humanoid,legendary,L,20.0,6,25000.0,262.5,17.0,262.5,21.0,10.0,10.0,136.0,136.0
MToF,198.0,elemental,legendary,L,20.0,6,25000.0,328.0,17.0,418.0,17.0,16.0,16.0,108.0,108.0
MToF,216.0,undead,generic,N,20.0,6,25000.0,297.0,14.0,371.3,14.0,12.0,14.0,84.0,84.0
MM,77.0,fiend,generic,N,20.0,6,25000.0,300.0,19.0,300.0,23.0,14.0,14.0,120.0,120.0
FToD,220.0,dragon,legendary,L,20.0,6,25000.0,280.5,20.0,390.5,22.0,12.0,12.0,107.333336,107.333336
MM,100.0,dragon,legendary,LL,20.0,6,25000.0,333.0,20.0,423.0,22.0,14.0,14.0,155.0,155.0
WDotMM,296.0,undead,unique,L,21.0,7,33000.0,135.0,17.0,281.3,24.0,12.0,12.0,145.0,145.0
BGDiA,111.0,humanoid,unique,N,16.0,5,15000.0,221.0,23.0,276.3,23.0,13.0,13.0,89.0,89.0
MToF,162.0,fiend,generic,N,19.0,6,22000.0,255.0,22.0,255.0,26.0,12.0,12.0,87.5,87.5
CM,157.0,humanoid,unique,N,11.0,4,7200.0,135.0,14.0,135.0,16.0,9.0,9.0,88.666664,88.666664
ToA,212.0,humanoid,unique,N,7.0,3,2900.0,82.5,14.0,82.5,14.0,9.0,9.0,56.0,56.0
MM,55.0,fiend,generic,N,19.0,6,22000.0,262.5,19.0,262.5,23.0,14.0,14.0,125.666664,125.666664
FToD,170.0,dragon,legendary,L,19.0,6,22000.0,222.0,20.0,337.0,22.0,13.0,13.0,111.666664,111.666664
FToD,173.0,dragon,legendary,LL,19.0,6,22000.0,201.5,20.0,336.5,22.0,12.0,12.0,126.333336,126.333336
ERftLW,306.0,aberration,generic,N,19.0,6,22000.0,161.5,18.0,322.0,22.0,13.0,13.0,68.666664,68.666664
VRGtR,245.0,aberration,legendary,L,19.0,6,22000.0,241.5,19.0,331.5,21.0,11.0,11.0,142.5,142.5
GGtR,230.0,celestial,unique,L,23.0,7,50000.0,287.5,22.0,377.5,27.0,15.0,15.0,160.0,160.0
IDRotF,275.0,monstrosity,unique,LL,9.0,4,5000.0,95.0,13.0,135.0,15.0,10.0,10.0,71.0,71.0
IDRotF,277.0,elemental,unique,LL,10.0,4,5900.0,136.5,16.0,196.5,18.0,10.0,10.0,108.666664,108.666664
IDRotF,278.0,elemental,unique,LL,11.0,4,7200.0,136.0,19.0,166.0,21.0,13.0,13.0,80.0,80.0
MToF,163.0,fiend,generic,N,18.0,6,20000.0,202.5,21.0,262.0,25.0,11.0,11.0,103.0,103.0
IDRotF,269.0,humanoid,unique,N,7.0,3,2900.0,84.5,16.0,84.5,19.0,6.0,6.0,95.333336,95.333336
FToD,173.0,dragon,legendary,L,18.0,6,20000.0,201.5,20.0,291.5,22.0,12.0,12.0,107.666664,107.666664
MM,48.0,undead,legendary,LL,18.0,6,20000.0,80.0,20.0,523.8,23.0,11.0,11.0,63.0,63.0
MM,48.0,undead,legendary,L,18.0,6,20000.0,80.0,20.0,448.8,23.0,11.0,11.0,63.0,63.0
MToF,183.0,humanoid,generic,N,18.0,6,20000.0,225.0,18.0,225.0,25.0,11.0,11.0,119.0,119.0
HotDQ,88.0,humanoid,unique,N,4.0,2,1100.0,39.0,16.0,39.0,21.0,5.0,5.0,56.0,56.0
FToD,206.0,undead,legendary,L,18.0,6,20000.0,241.5,19.0,331.5,21.0,12.0,12.0,109.666664,109.666664
CoS,228.0,humanoid,unique,N,11.0,4,7200.0,120.0,15.0,120.0,15.0,9.0,9.0,83.333336,83.333336
CoS,226.0,construct,unique,N,11.0,4,7200.0,263.5,16.0,263.5,16.0,12.0,12.0,90.0,90.0
CM,223.0,undead,legendary,LL,18.0,6,20000.0,225.0,20.0,315.0,22.0,9.0,9.0,122.5,122.5
MToF,137.0,fiend,legendary,L,18.0,6,20000.0,150.0,19.0,240.0,19.0,6.0,6.0,200.0,200.0
MToF,170.0,fiend,unique,L,19.0,6,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,87.0,87.0
CM,168.0,humanoid,unique,L,13.0,5,10000.0,102.0,17.0,304.5,21.0,9.0,9.0,66.0,66.0
WDH,219.0,construct,generic,N,18.0,6,20000.0,314.5,17.0,392.5,19.0,16.0,16.0,72.666664,72.666664
MToF,161.0,fiend,generic,N,17.0,6,18000.0,195.0,19.0,292.5,21.0,12.0,12.0,118.0,118.0
FToD,161.0,dragon,legendary,LL,17.0,6,18000.0,229.5,19.0,394.5,21.0,12.0,12.0,97.833336,97.833336
MM,47.0,undead,generic,N,17.0,6,18000.0,180.5,20.0,180.5,27.0,11.0,11.0,110.0,110.0
MM,84.0,undead,legendary,L,17.0,6,18000.0,225.0,19.0,315.0,23.0,13.0,13.0,126.0,126.0
FToD,181.0,undead,legendary,L,17.0,6,18000.0,168.0,17.0,258.0,19.0,12.0,12.0,120.0,120.0
MToF,143.0,fiend,unique,LL,23.0,7,50000.0,275.5,22.0,456.3,26.0,17.0,17.0,153.33333,153.33333
OotA,235.0,fiend,unique,LL,23.0,7,50000.0,333.5,22.0,528.8,26.0,17.0,17.0,171.33333,171.33333
MM,119.0,dragon,generic,N,17.0,6,18000.0,341.0,20.0,341.0,22.0,13.0,13.0,73.333336,73.333336
EGtW,289.0,monstrosity,generic,N,17.0,6,18000.0,264.0,18.0,264.0,18.0,15.0,15.0,84.666664,105.666664
FToD,203.0,undead,generic,N,17.0,6,18000.0,324.0,10.0,517.5,12.0,11.0,11.0,67.0,67.0
WDH,195.0,humanoid,unique,N,2.0,2,450.0,24.5,10.0,24.5,18.0,5.0,5.0,16.0,16.0
MM,114.0,dragon,legendary,L,17.0,6,18000.0,256.5,19.0,346.0,21.0,14.0,14.0,127.666664,127.666664
MM,59.0,fiend,generic,N,17.0,6,18000.0,310.5,19.0,310.5,23.0,13.0,13.0,83.0,83.0
PotA,201.0,humanoid,unique,N,8.0,3,3900.0,78.0,15.0,78.0,20.0,5.0,5.0,64.666664,64.666664
MToF,215.0,humanoid,generic,N,17.0,6,18000.0,187.0,19.0,257.0,21.0,12.0,12.0,105.0,105.0
MM,98.0,dragon,legendary,L,17.0,6,18000.0,256.5,19.0,346.0,21.0,14.0,14.0,130.33333,130.33333
MM,281.0,monstrosity,legendary,LL,17.0,6,18000.0,199.5,17.0,248.8,19.0,12.0,12.0,109.0,109.0
FToD,161.0,dragon,legendary,L,16.0,5,15000.0,229.5,19.0,319.5,21.0,12.0,12.0,97.833336,97.833336
MM,17.0,celestial,generic,N,16.0,5,15000.0,200.0,19.0,250.0,23.0,12.0,12.0,86.0,86.0
MOoT,213.0,celestial,legendary,L,16.0,5,15000.0,178.5,18.0,178.5,20.0,10.0,10.0,162.0,162.0
BGDiA,115.0,fiend,unique,L,25.0,8,75000.0,364.5,19.0,454.5,23.0,16.0,16.0,307.33334,307.33334
ERftLW,286.0,aberration,unique,LL,22.0,7,41000.0,304.0,19.0,454.0,23.0,14.0,14.0,158.0,158.0
ERftLW,286.0,aberration,unique,L,22.0,7,41000.0,304.0,19.0,454.0,23.0,14.0,14.0,134.0,134.0
MM,91.0,dragon,legendary,L,16.0,5,15000.0,225.0,19.0,315.0,21.0,12.0,12.0,126.0,126.0
MToF,207.0,humanoid,legendary,LL,16.0,5,15000.0,144.5,20.0,144.5,27.0,10.0,10.0,229.33333,229.33333
WDotMM,51.0,elemental,unique,N,8.0,3,3900.0,103.5,19.0,154.5,19.0,8.0,8.0,49.0,49.0
IDRotF,306.0,humanoid,unique,N,5.0,3,1800.0,102.0,12.0,102.0,12.0,7.0,7.0,31.0,31.0
MToF,165.0,construct,generic,N,16.0,5,15000.0,216.0,18.0,270.0,22.0,11.0,11.0,86.0,86.0
MM,170.0,construct,generic,N,16.0,5,15000.0,210.0,20.0,315.0,22.0,13.0,13.0,60.666668,60.666668
MM,61.0,fiend,generic,N,16.0,5,15000.0,189.0,18.0,236.3,25.0,9.0,9.0,93.0,93.0
FToD,212.0,dragon,legendary,LL,16.0,5,15000.0,195.5,19.0,330.5,21.0,10.0,10.0,92.833336,92.833336
MToF,199.0,elemental,legendary,L,16.0,5,15000.0,175.0,18.0,265.0,18.0,13.0,13.0,109.333336,109.333336
FToD,215.0,dragon,legendary,LL,16.0,5,15000.0,225.0,18.0,390.0,20.0,11.0,11.0,99.833336,99.833336
MM,117.0,dragon,legendary,L,16.0,5,15000.0,243.0,19.0,333.0,21.0,13.0,13.0,122.333336,122.333336
MToF,235.0,aberration,legendary,L,16.0,5,15000.0,168.0,16.0,247.5,18.0,8.0,8.0,131.33333,131.33333
MToF,239.0,construct,generic,N,16.0,5,15000.0,207.0,20.0,388.1,22.0,12.0,12.0,48.666668,48.666668
VGtM,151.0,giant,legendary,LL,16.0,5,15000.0,230.0,12.0,287.5,16.0,14.0,14.0,102.0,102.0
WDH,196.0,humanoid,unique,N,5.0,3,1800.0,84.5,16.0,99.0,18.0,7.0,7.0,42.0,42.0
CM,208.0,undead,generic,N,16.0,5,15000.0,204.0,13.0,306.0,13.0,14.0,14.0,100.0,100.0
HotDQ,89.0,giant,unique,N,9.0,4,5000.0,138.0,17.0,138.0,24.0,10.0,10.0,51.333332,51.333332
EGtW,301.0,fiend,generic,N,16.0,5,15000.0,165.0,18.0,247.5,20.0,13.0,13.0,64.0,82.0
MToF,162.0,fiend,generic,N,15.0,5,13000.0,187.5,18.0,233.8,20.0,8.0,8.0,29.5,29.5
MM,108.0,dragon,legendary,L,15.0,5,13000.0,212.5,19.0,311.0,21.0,12.0,12.0,122.666664,122.666664
EGtW,287.0,aberration,generic,N,15.0,5,13000.0,279.0,18.0,279.0,20.0,13.0,15.0,56.0,70.0
FToD,196.0,dragon,legendary,LL,15.0,5,13000.0,207.0,18.0,297.0,24.0,11.0,14.0,96.833336,96.833336
MM,94.0,dragon,legendary,L,15.0,5,13000.0,207.0,19.0,297.0,21.0,11.0,11.0,115.666664,115.666664
MOoT,225.0,giant,generic,N,15.0,5,13000.0,243.0,15.0,243.0,20.0,13.0,13.0,84.0,84.0
FToD,212.0,dragon,legendary,L,15.0,5,13000.0,195.5,19.0,285.5,21.0,10.0,10.0,92.833336,92.833336
ERftLW,301.0,fiend,legendary,L,15.0,5,13000.0,170.0,18.0,212.5,18.0,10.0,10.0,122.0,122.0
MM,229.0,undead,legendary,LL,15.0,5,13000.0,97.5,17.0,175.5,21.0,9.0,9.0,166.33333,166.33333
MM,229.0,undead,legendary,L,15.0,5,13000.0,97.5,17.0,145.5,21.0,9.0,9.0,157.0,157.0
MToF,135.0,fiend,generic,N,15.0,5,13000.0,190.0,18.0,286.3,20.0,11.0,11.0,62.0,62.0
MM,255.0,monstrosity,generic,N,15.0,5,13000.0,247.5,18.0,247.5,18.0,14.0,14.0,90.0,90.0
FToD,215.0,dragon,legendary,L,15.0,5,13000.0,225.0,18.0,345.0,20.0,11.0,11.0,89.833336,89.833336
GGtR,205.0,aberration,generic,N,15.0,5,13000.0,228.0,17.0,288.0,17.0,11.0,14.0,76.0,76.0
MToF,230.0,undead,legendary,L,15.0,5,13000.0,105.0,18.0,243.8,18.0,10.0,10.0,131.33333,131.33333
MOoT,246.0,monstrosity,generic,N,15.0,5,13000.0,195.5,17.0,255.5,17.0,12.0,12.0,108.333336,108.333336
MM,298.0,undead,legendary,L,15.0,5,13000.0,144.5,16.0,367.5,18.0,9.0,9.0,62.333332,62.333332
MM,298.0,undead,legendary,L,15.0,5,13000.0,144.5,18.0,367.5,20.0,9.0,9.0,47.0,47.0
GGtR,191.0,celestial,generic,N,14.0,5,11500.0,175.5,18.0,219.4,22.0,9.0,9.0,72.0,72.0
EGtW,261.0,humanoid,unique,L,3.0,2,700.0,40.5,15.0,76.5,19.0,4.0,8.0,16.0,16.0
GGtR,192.0,celestial,legendary,L,14.0,5,11500.0,144.5,18.0,180.6,20.0,10.0,10.0,107.0,107.0
MM,88.0,dragon,legendary,L,14.0,5,11500.0,195.5,19.0,285.0,21.0,11.0,11.0,109.666664,109.666664
MToF,122.0,construct,generic,N,14.0,5,11500.0,189.0,17.0,263.8,19.0,10.0,10.0,78.0,78.0
MM,111.0,dragon,legendary,L,14.0,5,11500.0,184.0,18.0,274.0,20.0,11.0,11.0,109.666664,109.666664
GGtR,238.0,giant,unique,L,18.0,6,20000.0,270.0,14.0,360.0,14.0,13.0,13.0,130.0,130.0
WDotMM,171.0,construct,unique,N,16.0,5,15000.0,247.5,18.0,415.5,18.0,9.0,9.0,83.0,83.0
MM,29.0,undead,legendary,LL,14.0,5,11500.0,187.5,19.0,187.5,23.0,9.0,9.0,181.0,181.0
MM,29.0,undead,legendary,L,14.0,5,11500.0,187.5,19.0,187.5,23.0,9.0,9.0,136.0,136.0
MM,75.0,fiend,generic,N,14.0,5,11500.0,180.5,18.0,270.0,22.0,10.0,10.0,77.666664,77.666664
MToF,184.0,humanoid,generic,N,14.0,5,11500.0,143.0,16.0,143.0,20.0,10.0,10.0,96.0,96.0
VGtM,174.0,aberration,legendary,LL,14.0,5,11500.0,210.0,10.0,330.0,14.0,7.0,7.0,138.33333,138.33333
FToD,196.0,dragon,legendary,L,14.0,5,11500.0,207.0,18.0,297.0,21.0,11.0,11.0,89.5,89.5
VGtM,147.0,giant,generic,N,14.0,5,11500.0,187.5,21.0,187.5,23.0,13.0,13.0,72.0,72.0
MToF,206.0,humanoid,legendary,L,14.0,5,11500.0,187.0,18.0,187.0,21.0,12.0,12.0,93.0,93.0
GoS,238.0,monstrosity,legendary,L,14.0,5,11500.0,207.0,16.0,310.5,20.0,12.0,12.0,65.0,65.0
GGtR,198.0,undead,legendary,L,14.0,5,11500.0,97.5,14.0,260.6,16.0,9.0,9.0,96.333336,96.333336
MToF,222.0,construct,generic,N,14.0,5,11500.0,210.0,19.0,315.0,21.0,11.0,11.0,57.0,57.0
EGtW,299.0,fey,legendary,LL,14.0,5,11500.0,105.0,14.0,444.5,16.0,8.0,8.0,26.0,56.0
FToD,219.0,dragon,legendary,L,14.0,5,11500.0,170.5,17.0,230.5,18.0,12.0,13.0,110.5,110.5
FToD,221.0,dragon,legendary,LL,14.0,5,11500.0,210.0,18.0,330.0,20.0,9.0,9.0,93.666664,93.666664
GGtR,225.0,monstrosity,generic,N,14.0,5,11500.0,200.0,18.0,200.0,18.0,12.0,12.0,61.0,61.0
ToA,214.0,undead,legendary,L,13.0,5,10000.0,225.0,7.0,418.5,9.0,11.0,11.0,67.0,67.0
MM,28.0,aberration,legendary,LL,13.0,5,10000.0,180.5,18.0,180.5,20.0,8.0,8.0,181.0,181.0
MM,28.0,aberration,legendary,L,13.0,5,10000.0,180.5,18.0,180.5,20.0,8.0,8.0,136.0,136.0
MM,105.0,dragon,legendary,L,13.0,5,10000.0,172.5,18.0,262.0,20.0,11.0,11.0,103.666664,103.666664
CM,179.0,construct,generic,N,13.0,5,10000.0,252.0,17.0,315.0,19.0,10.0,10.0,54.0,54.0
