Monster,Monster ID,Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder,Initiative,HP Multiplier,AC,adj AC,HP,adj HP,SB,adj SB,AB,adj AB,DPR,adj DPR,Save DC
Adult Black Dragon,5194869-adult-black-dragon,MM (2024),39.0,Dragon,Huge,generic,L,14.0,5,11500.0,6.0,2.0,5.0,2.0,1.0,4.0,6,7,5,2,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,19.0,19.0,195.5,399.7,5.0,5.0,11.0,11.0,110.5,110.5,18.0
Adult Black Dragon,5194869-adult-black-dragon,MM (2024),39.0,Dragon,Huge,generic,LL,15.0,5,13000.0,6.0,2.0,5.0,2.0,1.0,4.0,6,7,5,2,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,19.0,19.0,195.5,441.7,5.0,5.0,11.0,11.0,128.0,128.0,18.0
Adult Blue Dragon,5194870-adult-blue-dragon,MM (2024),49.0,Dragon,Huge,generic,L,16.0,5,15000.0,7.0,0.0,6.0,3.0,2.0,5.0,7,5,6,3,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,19.0,19.0,212.5,302.5,5.5,5.5,12.0,12.0,157.0,157.0,19.0
Adult Blue Dragon,5194870-adult-blue-dragon,MM (2024),49.0,Dragon,Huge,generic,LL,17.0,6,18000.0,7.0,0.0,6.0,3.0,2.0,5.0,7,5,6,3,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,19.0,19.0,212.5,332.5,5.5,5.5,12.0,12.0,170.5,170.5,19.0
Adult Brass Dragon,5194871-adult-brass-dragon,MM (2024),55.0,Dragon,Huge,generic,L,13.0,5,10000.0,6.0,0.0,5.0,2.0,1.0,3.0,6,5,5,2,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,18.0,172.5,262.5,4.5,4.5,11.0,11.0,137.5,137.5,18.0
Adult Brass Dragon,5194871-adult-brass-dragon,MM (2024),55.0,Dragon,Huge,generic,LL,14.0,5,11500.0,6.0,0.0,5.0,2.0,1.0,3.0,6,5,5,2,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,18.0,172.5,292.5,4.5,4.5,11.0,11.0,159.0,159.0,18.0
Adult Bronze Dragon,5198155-adult-bronze-dragon,MM (2024),59.0,Dragon,Huge,generic,L,15.0,5,13000.0,7.0,0.0,6.0,3.0,2.0,5.0,7,5,6,3,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,18.0,212.5,302.5,5.5,5.5,12.0,12.0,144.16667,144.16667,19.0
Adult Bronze Dragon,5198155-adult-bronze-dragon,MM (2024),59.0,Dragon,Huge,generic,LL,16.0,5,15000.0,7.0,0.0,6.0,3.0,2.0,5.0,7,5,6,3,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,18.0,212.5,332.5,5.5,5.5,12.0,12.0,165.66667,165.66667,19.0
Adult Copper Dragon,5194872-adult-copper-dragon,MM (2024),79.0,Dragon,Huge,generic,L,14.0,5,11500.0,6.0,1.0,5.0,4.0,2.0,4.0,6,6,5,4,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,18.0,18.0,184.0,274.0,5.3,5.3,11.0,11.0,148.16667,148.16667,18.0
Adult Copper Dragon,5194872-adult-copper-dragon,MM (2024),79.0,Dragon,Huge,generic,LL,15.0,5,13000.0,6.0,1.0,5.0,4.0,2.0,4.0,6,6,5,4,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,18.0,18.0,184.0,304.0,5.3,5.3,11.0,11.0,169.66667,169.66667,18.0
Adult Deep Dragon,5900645-adult-deep-dragon,FRAiF,258.0,Dragon,Huge,generic,L,11.0,4,6800.0,5.0,2.0,3.0,3.0,3.0,4.0,5,6,3,3,7,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,10.0,1.0,17.0,21.0,161.5,251.5,4.7,4.7,9.0,9.0,123.166664,123.166664,15.0
Adult Deep Dragon,5900645-adult-deep-dragon,FRAiF,258.0,Dragon,Huge,generic,LL,12.0,4,8200.0,5.0,2.0,3.0,3.0,3.0,4.0,5,6,3,3,7,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,10.0,1.0,17.0,21.0,161.5,281.5,4.7,4.7,9.0,9.0,142.66667,142.66667,15.0
Adult Gold Dragon,5194873-adult-gold-dragon,MM (2024),145.0,Dragon,Huge,generic,L,17.0,6,18000.0,8.0,2.0,7.0,3.0,2.0,7.0,8,8,7,3,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,19.0,19.0,243.0,399.6,6.8,6.8,14.0,14.0,175.5,175.5,21.0
Adult Gold Dragon,5194873-adult-gold-dragon,MM (2024),145.0,Dragon,Huge,generic,LL,18.0,6,20000.0,8.0,2.0,7.0,3.0,2.0,7.0,8,8,7,3,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,19.0,19.0,243.0,435.6,6.8,6.8,14.0,14.0,197.0,197.0,21.0
Adult Green Dragon,5194874-adult-green-dragon,MM (2024),153.0,Dragon,Huge,generic,L,15.0,5,13000.0,6.0,1.0,5.0,4.0,2.0,4.0,6,6,5,4,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,19.0,19.0,207.0,297.0,5.3,5.3,11.0,11.0,147.33333,147.33333,18.0
Adult Green Dragon,5194874-adult-green-dragon,MM (2024),153.0,Dragon,Huge,generic,LL,16.0,5,15000.0,6.0,1.0,5.0,4.0,2.0,4.0,6,6,5,4,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,19.0,19.0,207.0,327.0,5.3,5.3,11.0,11.0,169.33333,169.33333,18.0
Adult Red Dragon,5194875-adult-red-dragon,MM (2024),255.0,Dragon,Huge,generic,L,17.0,6,18000.0,8.0,0.0,7.0,3.0,1.0,6.0,8,6,7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,19.0,19.0,256.5,346.5,6.2,6.2,14.0,14.0,132.16667,132.16667,21.0
Adult Red Dragon,5194875-adult-red-dragon,MM (2024),255.0,Dragon,Huge,generic,LL,18.0,6,20000.0,8.0,0.0,7.0,3.0,1.0,6.0,8,6,7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,19.0,19.0,256.5,376.5,6.2,6.2,14.0,14.0,150.66667,150.66667,21.0
Adult Silver Dragon,5194876-adult-silver-dragon,MM (2024),279.0,Dragon,Huge,generic,L,16.0,5,15000.0,8.0,0.0,7.0,3.0,1.0,6.0,8,5,7,3,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,19.0,19.0,216.0,396.0,5.8,5.8,13.0,13.0,135.66667,135.66667,20.0
Adult Silver Dragon,5194876-adult-silver-dragon,MM (2024),279.0,Dragon,Huge,generic,LL,17.0,6,18000.0,8.0,0.0,7.0,3.0,1.0,6.0,8,5,7,3,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,19.0,19.0,216.0,426.0,5.8,5.8,13.0,13.0,157.16667,157.16667,20.0
Adult Spirit Dragon,5900646-adult-spirit-dragon,FRAiF,278.0,Dragon,Huge,generic,L,15.0,5,13000.0,6.0,2.0,5.0,5.0,2.0,4.0,6,7,10,5,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,7.0,1.0,18.0,18.0,207.0,297.0,5.7,5.7,11.0,11.0,152.0,152.0,18.0
Adult Spirit Dragon,5900646-adult-spirit-dragon,FRAiF,278.0,Dragon,Huge,generic,LL,16.0,5,15000.0,6.0,2.0,5.0,5.0,2.0,4.0,6,7,10,5,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,7.0,1.0,18.0,18.0,207.0,327.0,5.7,5.7,11.0,11.0,174.0,174.0,18.0
Adult White Dragon,5194877-adult-white-dragon,MM (2024),329.0,Dragon,Huge,generic,L,13.0,5,10000.0,6.0,0.0,6.0,-1.0,1.0,1.0,6,5,6,-1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,18.0,200.0,290.0,3.8,3.8,11.0,11.0,123.5,123.5,19.0
Adult White Dragon,5194877-adult-white-dragon,MM (2024),329.0,Dragon,Huge,generic,LL,14.0,5,11500.0,6.0,0.0,6.0,-1.0,1.0,1.0,6,5,6,-1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,18.0,200.0,320.0,3.8,3.8,11.0,11.0,141.0,141.0,19.0
Air Elemental,5194878-air-elemental,MM (2024),13.0,Elemental,Large,generic,N,5.0,3,1400.0,2.0,5.0,2.0,-2.0,0.0,-2.0,2,5,2,-2,0,-2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,5.0,1.5,15.0,15.0,90.0,135.0,0.8,0.8,8.0,8.0,28.0,28.0,13.0
Allosaurus,5194879-allosaurus,MM (2024),348.0,Beast,Large,generic,N,2.0,2,300.0,4.0,1.0,3.0,-4.0,1.0,-3.0,4,1,3,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,51.0,51.0,0.3,0.3,6.0,6.0,17.833334,17.833334,
Ancient Black Dragon,5194880-ancient-black-dragon,MM (2024),40.0,Dragon,Gargantuan,generic,L,21.0,7,33000.0,8.0,2.0,7.0,3.0,2.0,6.0,8,9,7,3,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,22.0,22.0,367.5,457.5,7.0,7.0,15.0,15.0,182.0,182.0,22.0
Ancient Black Dragon,5194880-ancient-black-dragon,MM (2024),40.0,Dragon,Gargantuan,generic,LL,22.0,7,41000.0,8.0,2.0,7.0,3.0,2.0,6.0,8,9,7,3,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,22.0,22.0,367.5,517.5,7.0,7.0,15.0,15.0,208.0,208.0,22.0
Ancient Blue Dragon,5194881-ancient-blue-dragon,MM (2024),50.0,Dragon,Gargantuan,generic,L,23.0,7,50000.0,9.0,0.0,8.0,4.0,3.0,7.0,9,7,8,4,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,22.0,22.0,481.0,601.0,7.5,7.5,16.0,16.0,210.66667,210.66667,23.0
Ancient Blue Dragon,5194881-ancient-blue-dragon,MM (2024),50.0,Dragon,Gargantuan,generic,LL,24.0,7,62000.0,9.0,0.0,8.0,4.0,3.0,7.0,9,7,8,4,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,22.0,22.0,481.0,631.0,7.5,7.5,16.0,16.0,239.66667,239.66667,23.0
Ancient Brass Dragon,5194882-ancient-brass-dragon,MM (2024),56.0,Dragon,Gargantuan,generic,L,20.0,6,25000.0,8.0,0.0,7.0,3.0,2.0,6.0,8,6,7,3,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,20.0,20.0,332.5,452.5,6.3,6.3,14.0,14.0,169.0,169.0,21.0
Ancient Brass Dragon,5194882-ancient-brass-dragon,MM (2024),56.0,Dragon,Gargantuan,generic,LL,21.0,7,33000.0,8.0,0.0,7.0,3.0,2.0,6.0,8,6,7,3,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,20.0,20.0,332.5,482.5,6.3,6.3,14.0,14.0,195.0,195.0,21.0
Ancient Bronze Dragon,5194883-ancient-bronze-dragon,MM (2024),60.0,Dragon,Gargantuan,generic,L,22.0,7,41000.0,9.0,0.0,8.0,4.0,3.0,7.0,9,7,8,4,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,22.0,22.0,444.0,564.0,7.5,7.5,16.0,16.0,190.0,190.0,23.0
Ancient Bronze Dragon,5194883-ancient-bronze-dragon,MM (2024),60.0,Dragon,Gargantuan,generic,LL,23.0,7,50000.0,9.0,0.0,8.0,4.0,3.0,7.0,9,7,8,4,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,22.0,22.0,444.0,594.0,7.5,7.5,16.0,16.0,217.0,217.0,23.0
Ancient Copper Dragon,5194884-ancient-copper-dragon,MM (2024),80.0,Dragon,Gargantuan,generic,L,21.0,7,33000.0,8.0,1.0,7.0,5.0,3.0,6.0,8,8,7,5,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,21.0,21.0,367.5,487.5,7.3,7.3,15.0,15.0,185.5,185.5,22.0
Ancient Copper Dragon,5194884-ancient-copper-dragon,MM (2024),80.0,Dragon,Gargantuan,generic,LL,22.0,7,41000.0,8.0,1.0,7.0,5.0,3.0,6.0,8,8,7,5,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,21.0,21.0,367.5,517.5,7.3,7.3,15.0,15.0,213.5,213.5,22.0
Ancient Deep Dragon,5900647-ancient-deep-dragon,FRAiF,259.0,Dragon,Gargantuan,generic,L,18.0,6,20000.0,6.0,3.0,6.0,4.0,4.0,5.0,6,9,6,4,10,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,15.0,1.0,20.0,20.0,247.5,367.5,6.7,6.7,12.0,12.0,156.5,156.5,
Ancient Deep Dragon,5900647-ancient-deep-dragon,FRAiF,259.0,Dragon,Gargantuan,generic,LL,19.0,6,22000.0,6.0,3.0,6.0,4.0,4.0,5.0,6,9,6,4,10,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,15.0,1.0,20.0,20.0,247.5,397.5,6.7,6.7,12.0,12.0,179.0,179.0,
Ancient Gold Dragon,5194885-ancient-gold-dragon,MM (2024),146.0,Dragon,Gargantuan,generic,L,24.0,7,62000.0,10.0,2.0,9.0,4.0,3.0,9.0,10,9,9,4,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,22.0,22.0,546.0,799.2,8.5,8.5,17.0,17.0,243.0,243.0,24.0
Ancient Gold Dragon,5194885-ancient-gold-dragon,MM (2024),146.0,Dragon,Gargantuan,generic,LL,25.0,8,75000.0,10.0,2.0,9.0,4.0,3.0,9.0,10,9,9,4,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,22.0,22.0,546.0,835.2,8.5,8.5,17.0,17.0,271.0,271.0,24.0
Ancient Green Dragon,5194886-ancient-green-dragon,MM (2024),154.0,Dragon,Gargantuan,generic,L,22.0,7,41000.0,8.0,1.0,7.0,5.0,3.0,6.0,8,8,7,5,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,21.0,21.0,402.5,522.5,7.3,7.3,15.0,15.0,222.0,222.0,22.0
