Monster,Monster ID,Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder,Initiative,HP Multiplier,AC,adj AC,HP,adj HP,SB,adj SB,AB,adj AB,DPR,adj DPR,Save DC
Abyssal Chicken,416909-abyssal-chicken,BGDiA,97.0,fiend,tiny,generic,N,0.25,2,50.0,-2.0,2.0,1.0,-3.0,-1.0,-3.0,-2,2,1,-3,-1,-3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,2.0,2.0,13.0,13.0,10.5,21.0,-1.0,-1.0,4.0,4.0,9.0,9.0,
Abyssal Wretch,94277-abyssal-wretch,MToF,136.0,fiend,medium,generic,N,0.25,2,50.0,-1.0,1.0,0.0,-3.0,-1.0,-3.0,-1,1,0,-3,-1,-3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,2.0,11.0,11.0,18.0,36.0,-1.2,-1.2,3.0,3.0,5.5,5.5,
Acererak,32961-acererak,ToA,209.0,undead,medium,unique,L,23.0,7,50000.0,1.0,3.0,5.0,8.0,5.0,5.0,1,3,12,15,12,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,1.0,0.5,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,3.0,1.25,21.0,26.0,285.0,468.8,8.0,8.0,15.0,15.0,219.0,219.0,23.0
Acolyte,16763-acolyte,MM (2014),342.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,14.0,9.0,9.0,0.3,4.3,4.0,4.0,4.5,4.5,12.0
Adult Amethyst Dragon,2059682-adult-amethyst-dragon,FToD,161.0,dragon,huge,legendary,L,16.0,5,15000.0,7.0,2.0,7.0,5.0,3.0,5.0,7,7,12,5,8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,19.0,19.0,229.5,319.5,8.2,8.2,12.0,12.0,97.833336,97.833336,20.0
Adult Amethyst Dragon,2059682-adult-amethyst-dragon,FToD,161.0,dragon,huge,legendary,LL,17.0,6,18000.0,7.0,2.0,7.0,5.0,3.0,5.0,7,7,12,5,8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,19.0,19.0,229.5,394.5,8.2,8.2,12.0,12.0,97.833336,97.833336,20.0
Adult Black Dragon,16764-adult-black-dragon,MM (2014),88.0,dragon,huge,legendary,L,14.0,5,11500.0,6.0,2.0,5.0,2.0,1.0,3.0,6,7,10,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,19.0,19.0,195.5,285.5,6.5,6.5,11.0,11.0,109.666664,109.666664,18.0
Adult Blue Dracolich,17106-adult-blue-dracolich,MM (2014),84.0,undead,huge,legendary,L,17.0,6,18000.0,7.0,0.0,6.0,3.0,2.0,4.0,7,6,12,3,8,10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,225.0,315.0,7.7,11.7,13.0,13.0,126.0,126.0,20.0
Adult Blue Dragon,16765-adult-blue-dragon,MM (2014),91.0,dragon,huge,legendary,L,16.0,5,15000.0,7.0,0.0,6.0,3.0,2.0,4.0,7,5,11,3,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,225.0,315.0,7.0,7.0,12.0,12.0,126.0,126.0,19.0
Adult Brass Dragon,16766-adult-brass-dragon,MM (2014),105.0,dragon,huge,legendary,L,13.0,5,10000.0,6.0,0.0,5.0,2.0,1.0,3.0,6,5,10,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,172.5,262.5,6.2,6.2,11.0,11.0,103.666664,103.666664,18.0
Adult Bronze Dragon,16767-adult-bronze-dragon,MM (2014),108.0,dragon,huge,legendary,L,15.0,5,13000.0,7.0,0.0,6.0,3.0,2.0,4.0,7,5,11,3,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,212.5,302.5,7.0,7.0,12.0,12.0,122.666664,122.666664,19.0
Adult Copper Dragon,16768-adult-copper-dragon,MM (2014),111.0,dragon,huge,legendary,L,14.0,5,11500.0,6.0,1.0,5.0,4.0,2.0,3.0,6,6,10,4,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,184.0,274.0,6.8,6.8,11.0,11.0,109.666664,109.666664,18.0
Adult Crystal Dragon,2059683-adult-crystal-dragon,FToD,171.0,dragon,huge,legendary,L,12.0,4,8400.0,5.0,1.0,5.0,4.0,2.0,4.0,5,5,9,4,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,16.0,16.0,172.5,277.5,6.2,6.2,9.0,9.0,84.833336,84.833336,17.0
Adult Crystal Dragon,2059683-adult-crystal-dragon,FToD,171.0,dragon,huge,legendary,LL,13.0,5,10000.0,5.0,1.0,5.0,4.0,2.0,4.0,5,5,9,4,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,16.0,16.0,172.5,292.5,6.2,6.2,9.0,9.0,102.166664,102.166664,17.0
Adult Deep Dragon,2059684-adult-deep-dragon,FToD,174.0,dragon,huge,legendary,L,11.0,4,7200.0,5.0,2.0,4.0,3.0,3.0,4.0,5,6,8,3,7,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,17.0,19.0,147.0,237.0,6.2,6.2,9.0,9.0,92.166664,92.166664,16.0
Adult Deep Dragon,2059684-adult-deep-dragon,FToD,174.0,dragon,huge,legendary,LL,12.0,4,8400.0,5.0,2.0,4.0,3.0,3.0,4.0,5,6,8,3,7,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,17.0,19.0,147.0,267.0,6.2,6.2,9.0,9.0,110.833336,110.833336,16.0
Adult Emerald Dragon,2059685-adult-emerald-dragon,FToD,196.0,dragon,huge,legendary,L,14.0,5,11500.0,6.0,1.0,5.0,4.0,3.0,4.0,6,6,10,4,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,18.0,19.0,207.0,297.0,7.2,7.2,11.0,11.0,89.5,89.5,18.0
Adult Emerald Dragon,2059685-adult-emerald-dragon,FToD,196.0,dragon,huge,legendary,LL,15.0,5,13000.0,6.0,1.0,5.0,4.0,3.0,4.0,6,6,10,4,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,18.0,22.0,207.0,297.0,7.2,10.2,11.0,14.0,96.833336,96.833336,18.0
Adult Gold Dragon,16769-adult-gold-dragon,MM (2014),114.0,dragon,huge,legendary,L,17.0,6,18000.0,8.0,2.0,7.0,3.0,2.0,7.0,8,8,13,3,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,19.0,19.0,256.5,346.5,8.8,8.8,14.0,14.0,127.666664,127.666664,21.0
Adult Green Dragon,16770-adult-green-dragon,MM (2014),94.0,dragon,huge,legendary,L,15.0,5,13000.0,6.0,1.0,5.0,4.0,2.0,3.0,6,6,10,4,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0,19.0,207.0,297.0,6.8,6.8,11.0,11.0,115.666664,115.666664,18.0
Adult Kruthik,97345-adult-kruthik,MToF,212.0,monstrosity,medium,legacy,N,2.0,2,450.0,2.0,3.0,2.0,-2.0,1.0,-1.0,2,3,2,-2,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,18.0,18.0,39.0,39.0,0.8,0.8,5.0,6.0,13.0,13.0,
Adult Kruthik,2560713-adult-kruthik,MPMotM,169.0,monstrosity,medium,generic,N,2.0,2,450.0,2.0,3.0,2.0,-2.0,1.0,-1.0,2,3,2,-2,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,18.0,18.0,39.0,39.0,0.8,0.8,5.0,6.0,13.0,13.0,
Adult Lunar Dragon,2821144-adult-lunar-dragon,SAiS:BAM,34.0,dragon,huge,legendary,L,13.0,5,10000.0,6.0,1.0,5.0,0.0,1.0,2.0,6,1,10,0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,17.0,172.5,232.5,4.2,4.2,11.0,11.0,78.333336,78.333336,18.0
Adult Moonstone Dragon,2059686-adult-moonstone-dragon,FToD,212.0,dragon,huge,legendary,L,15.0,5,13000.0,5.0,4.0,5.0,6.0,5.0,6.0,5,4,5,11,10,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,19.0,19.0,195.5,285.5,7.7,7.7,10.0,10.0,92.833336,92.833336,18.0
Adult Moonstone Dragon,2059686-adult-moonstone-dragon,FToD,212.0,dragon,huge,legendary,LL,16.0,5,15000.0,5.0,4.0,5.0,6.0,5.0,6.0,5,4,5,11,10,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,19.0,19.0,195.5,330.5,7.7,7.7,10.0,10.0,92.833336,92.833336,18.0
Adult Oblex,96508-adult-oblex,MToF,218.0,ooze,medium,legacy,N,5.0,3,1800.0,-1.0,4.0,3.0,4.0,1.0,2.0,-1,4,3,7,1,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,14.0,14.0,75.0,75.0,3.2,3.2,7.0,7.0,30.0,30.0,15.0
Adult Oblex,2560714-adult-oblex,MPMotM,198.0,ooze,medium,generic,N,5.0,3,1800.0,-1.0,4.0,3.0,4.0,1.0,2.0,-1,4,3,7,1,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,14.0,14.0,75.0,75.0,3.2,3.2,7.0,7.0,54.0,54.0,15.0
Adult Red Dragon,16771-adult-red-dragon,MM (2014),98.0,dragon,huge,legendary,L,17.0,6,18000.0,8.0,0.0,7.0,3.0,1.0,5.0,8,6,13,3,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,256.5,346.5,8.0,8.0,14.0,14.0,130.33333,130.33333,21.0
Adult Sapphire Dragon,571179-adult-sapphire-dragon,FToD,215.0,dragon,huge,legendary,L,15.0,5,13000.0,6.0,2.0,6.0,4.0,3.0,4.0,6,7,11,4,8,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,18.0,18.0,225.0,345.0,7.5,7.5,11.0,11.0,89.833336,89.833336,19.0
Adult Sapphire Dragon,571179-adult-sapphire-dragon,FToD,215.0,dragon,huge,legendary,LL,16.0,5,15000.0,6.0,2.0,6.0,4.0,3.0,4.0,6,7,11,4,8,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,18.0,18.0,225.0,390.0,7.5,7.5,11.0,11.0,99.833336,99.833336,19.0
Adult Silver Dragon,16772-adult-silver-dragon,MM (2014),117.0,dragon,huge,legendary,L,16.0,5,15000.0,8.0,0.0,7.0,3.0,1.0,5.0,8,5,12,3,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,243.0,333.0,7.3,7.3,13.0,13.0,122.333336,122.333336,20.0
Adult Solar Dragon,2821145-adult-solar-dragon,SAiS:BAM,52.0,dragon,huge,legendary,L,14.0,5,11500.0,7.0,2.0,6.0,2.0,3.0,2.0,7,7,11,2,8,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,17.0,17.0,200.0,260.0,7.0,7.0,12.0,12.0,89.166664,89.166664,19.0
Adult Time Dragon,3883515-adult-time-dragon,PAitM:MPP,50.0,dragon,huge,legendary,L,18.0,6,20000.0,7.0,2.0,6.0,6.0,3.0,5.0,7,8,12,6,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,19.0,19.0,250.0,400.0,8.8,8.8,13.0,15.0,87.0,87.0,20.0
Adult Time Dragon,3883515-adult-time-dragon,PAitM:MPP,50.0,dragon,huge,legendary,LL,19.0,6,22000.0,7.0,2.0,6.0,6.0,3.0,5.0,7,8,12,6,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,19.0,19.0,250.0,400.0,8.8,8.8,13.0,15.0,104.333336,115.666664,20.0
Adult Topaz Dragon,2059687-adult-topaz-dragon,FToD,221.0,dragon,huge,legendary,L,13.0,5,10000.0,4.0,1.0,4.0,4.0,3.0,4.0,4,6,9,4,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,210.0,315.0,6.7,6.7,9.0,9.0,75.0,75.0,17.0
Adult Topaz Dragon,2059687-adult-topaz-dragon,FToD,221.0,dragon,huge,legendary,LL,14.0,5,11500.0,4.0,1.0,4.0,4.0,3.0,4.0,4,6,9,4,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,210.0,330.0,6.7,6.7,9.0,9.0,93.666664,93.666664,17.0
Adult White Dragon,16773-adult-white-dragon,MM (2014),101.0,dragon,huge,legendary,L,13.0,5,10000.0,6.0,0.0,6.0,-1.0,1.0,1.0,6,5,11,-1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,200.0,290.0,5.5,5.5,11.0,11.0,112.333336,112.333336,19.0
Aeorian Absorber,744297-aeorian-absorber,EGtW,283.0,monstrosity,large,generic,N,10.0,4,5900.0,5.0,4.0,4.0,-2.0,2.0,-1.0,5,4,4,-2,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,15.0,15.0,171.0,201.0,3.3,7.3,9.0,9.0,40.0,55.333332,17.0
Aeorian Nullifier,744298-aeorian-nullifier,EGtW,283.0,monstrosity,large,generic,N,12.0,4,8400.0,4.0,2.0,4.0,-2.0,2.0,4.0,4,2,4,-2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,17.0,17.0,180.5,294.5,3.7,7.7,8.0,8.0,72.0,72.0,
