,monster,id,CR,feature,mean,variance,standard deviation,sigma/mean
51,Owl,16974-owl,0.0,Talons,1.0,0.0,0.0,0.0
52,Panther,16976-panther,0.25,Bite,5.5,2.9166667,1.7078252,0.31051365
53,Panther,16976-panther,0.25,Claw,4.5,1.25,1.118034,0.248452
54,Poisonous Snake,16982-poisonous-snake,0.125,Bite,6.0,2.5,1.5811388,0.26352313
55,Pseudodragon,16986-pseudodragon,0.25,Bite,4.5,1.25,1.118034,0.248452
56,Pseudodragon,16986-pseudodragon,0.25,Sting,4.5,1.25,1.118034,0.248452
57,Quasit,16988-quasit,1.0,Claws,10.5,3.75,1.9364917,0.18442778
58,Rat,16991-rat,0.0,Bite,1.0,0.0,0.0,0.0
59,Raven,16992-raven,0.0,Beak,1.0,0.0,0.0,0.0
60,Reef Shark,16994-reef-shark,0.5,Bite,6.5,5.25,2.291288,0.35250583
61,Riding Horse,16997-riding-horse,0.25,Hooves,8.0,2.5,1.5811388,0.19764236
62,Skeleton,17015-skeleton,0.25,Shortsword,5.5,2.9166667,1.7078252,0.31051365
63,Skeleton,17015-skeleton,0.25,Shortbow,5.5,2.9166667,1.7078252,0.31051365
64,Sprite,17020-sprite,0.25,Longsword,1.0,0.0,0.0,0.0
65,Sprite,17020-sprite,0.25,Shortbow,1.0,0.0,0.0,0.0
66,Tiger,17036-tiger,1.0,Bite,8.5,8.25,2.8722813,0.33791545
67,Tiger,17036-tiger,1.0,Claw,7.5,5.25,2.291288,0.30550504
68,Warhorse,17049-warhorse,0.5,Hooves,11.0,5.8333335,2.4152296,0.21956632
69,Wolf,17062-wolf,0.25,Bite,7.0,2.5,1.5811388,0.22587697
70,Zombie,17077-zombie,0.25,Slam,4.5,2.9166667,1.7078252,0.3795167
71,Aarakocra,17100-aarakocra,0.25,Talon,4.5,1.25,1.118034,0.248452
72,Aarakocra,17100-aarakocra,0.25,Javelin,5.5,2.9166667,1.7078252,0.31051365
73,Animated Armor,16786-animated-armor,1.0,Slam,5.5,2.9166667,1.7078252,0.31051365
74,Flying Sword,16865-flying-sword,0.25,Longsword,5.5,5.25,2.291288,0.41659778
75,Rug of Smothering,17000-rug-of-smothering,2.0,Smother,10.0,5.8333335,2.4152296,0.24152295
76,Ankheg,16787-ankheg,2.0,Bite,13.5,8.75,2.95804,0.21911407
77,Ankheg,16787-ankheg,2.0,Acid Spray,21.0,17.5,4.1833,0.19920477
78,Azer,16794-azer,2.0,Warhammer,12.0,11.166667,3.3416562,0.27847135
79,Banshee,17089-banshee,4.0,Corrupting Touch,12.5,8.75,2.95804,0.2366432
80,Basilisk,16801-basilisk,3.0,Bite,17.0,11.666667,3.4156504,0.2009206
81,Behir,16804-behir,11.0,Bite,22.5,24.75,4.974937,0.22110832
82,Behir,16804-behir,11.0,Constrict,34.0,33.0,5.7445626,0.16895773
83,Behir,16804-behir,11.0,Swallow,21.0,17.5,4.1833,0.19920477
85,Spectator,17094-spectator,3.0,Bite,2.5,2.9166667,1.7078252,0.68313
86,Needle Blight,17215-needle-blight,0.25,Claws,6.0,2.5,1.5811388,0.26352313
87,Needle Blight,17215-needle-blight,0.25,Needles,8.0,5.8333335,2.4152296,0.3019037
88,Twig Blight,17095-twig-blight,0.125,Claws,3.5,1.25,1.118034,0.31943828
89,Vine Blight,17216-vine-blight,0.5,Constrict,9.0,5.8333335,2.4152296,0.26835883
90,Bugbear,16817-bugbear,1.0,Morningstar,11.0,10.5,3.2403703,0.29457912
91,Bugbear,16817-bugbear,1.0,Javelin,9.0,5.8333335,2.4152296,0.26835883
92,Bugbear Chief,17119-bugbear-chief,3.0,Morningstar,12.0,10.5,3.2403703,0.27003086
93,Bugbear Chief,17119-bugbear-chief,3.0,Javelin,10.0,5.8333335,2.4152296,0.24152295
94,Bulette,16818-bulette,5.0,Bite,30.0,47.666668,6.904105,0.23013684
95,Bullywug,17120-bullywug,0.25,Bite,3.5,1.25,1.118034,0.31943828
96,Bullywug,17120-bullywug,0.25,Spear,5.5,5.25,2.291288,0.41659778
98,Carrion Crawler,17138-carrion-crawler,2.0,Tentacles,4.5,1.25,1.118034,0.248452
99,Carrion Crawler,17138-carrion-crawler,2.0,Bite,7.0,2.5,1.5811388,0.22587697
101,Centaur,16821-centaur,2.0,Pike,9.5,8.25,2.8722813,0.3023454
102,Centaur,16821-centaur,2.0,Hooves,11.0,5.8333335,2.4152296,0.21956632
103,Centaur,16821-centaur,2.0,Longbow,6.5,5.25,2.291288,0.35250583
105,Chimera,16823-chimera,6.0,Bite,11.0,5.8333335,2.4152296,0.21956632
106,Chimera,16823-chimera,6.0,Horns,10.5,11.916667,3.4520526,0.3287669
107,Chimera,16823-chimera,6.0,Claws,11.0,5.8333335,2.4152296,0.21956632
108,Chimera,16823-chimera,6.0,Fire Breath,63.0,73.5,8.573215,0.13608277
109,Chuul,16824-chuul,4.0,Pincer,11.0,5.8333335,2.4152296,0.21956632
111,Cloaker,16826-cloaker,8.0,Bite,10.0,5.8333335,2.4152296,0.24152295
112,Cloaker,16826-cloaker,8.0,Tail,7.5,5.25,2.291288,0.30550504
114,Cockatrice,16828-cockatrice,0.5,Bite,3.5,1.25,1.118034,0.31943828
115,Crawling Claw,17139-crawling-claw,0.0,Claw,3.5,1.25,1.118034,0.31943828
116,Cyclops,17090-cyclops,6.0,Greatclub,19.5,15.75,3.968627,0.20351933
117,Cyclops,17090-cyclops,6.0,Rock,28.0,33.0,5.7445626,0.20516296
119,Darkmantle,16837-darkmantle,0.5,Crush,6.5,2.9166667,1.7078252,0.26274234
120,Balor,16797-balor,19.0,Longsword,35.0,31.5,5.612486,0.16035675
121,Chasme,17140-chasme,6.0,Proboscis,40.5,32.083332,5.664215,0.13985716
122,Dretch,16846-dretch,0.25,Bite,3.5,2.9166667,1.7078252,0.48795003
123,Dretch,16846-dretch,0.25,Claws,5.0,2.5,1.5811388,0.31622776
125,Goristro,17156-goristro,17.0,Fist,20.5,15.75,3.968627,0.19359156
126,Goristro,17156-goristro,17.0,Hoof,23.5,24.75,4.974937,0.21169946
127,Goristro,17156-goristro,17.0,Gore,45.5,57.75,7.599342,0.1670185
129,Hezrou,16922-hezrou,8.0,Bite,15.0,16.5,4.0620193,0.27080128
130,Hezrou,16922-hezrou,8.0,Claw,11.0,5.8333335,2.4152296,0.21956632
132,Manes,17213-manes,0.125,Claws,5.0,2.5,1.5811388,0.31622776
133,Marilith,16952-marilith,16.0,Longsword,13.0,10.5,3.2403703,0.24925926
134,Marilith,16952-marilith,16.0,Tail,15.0,16.5,4.0620193,0.27080128
136,Nalfeshnee,16963-nalfeshnee,13.0,Bite,32.5,41.25,6.4226165,0.19761896
137,Nalfeshnee,16963-nalfeshnee,13.0,Claw,15.5,8.75,2.95804,0.19084129
138,Vrock,17047-vrock,6.0,Beak,10.0,5.8333335,2.4152296,0.24152295
139,Vrock,17047-vrock,6.0,Talons,14.0,16.5,4.0620193,0.29014423
140,Vrock,17047-vrock,6.0,Spores,11.0,16.5,4.0620193,0.36927447
142,Barbed Devil,16800-barbed-devil,5.0,Claw,6.5,2.9166667,1.7078252,0.26274234
143,Barbed Devil,16800-barbed-devil,5.0,Tail,10.0,5.8333335,2.4152296,0.24152295
144,Barbed Devil,16800-barbed-devil,5.0,Hurl Flame,10.5,8.75,2.95804,0.28171808
146,Bearded Devil,16803-bearded-devil,3.0,Beard,6.5,5.25,2.291288,0.35250583
147,Bearded Devil,16803-bearded-devil,3.0,Glaive,8.5,8.25,2.8722813,0.33791545
149,Bone Devil,16813-bone-devil,9.0,Claw,8.5,5.25,2.291288,0.2695633
150,Bone Devil,16813-bone-devil,9.0,Sting,30.5,25.083334,5.0083265,0.16420743
152,Chain Devil,16822-chain-devil,8.0,Chain,11.0,5.8333335,2.4152296,0.21956632
154,Erinyes,16858-erinyes,12.0,Longsword,23.0,24.0,4.8989797,0.2129991
155,Erinyes,16858-erinyes,12.0,Longbow,21.0,21.0,4.582576,0.2182179
156,Horned Devil,16927-horned-devil,11.0,Fork,15.0,10.5,3.2403703,0.2160247
157,Horned Devil,16927-horned-devil,11.0,Tail,10.5,5.25,2.291288,0.2182179
158,Horned Devil,16927-horned-devil,11.0,Hurl Flame,14.0,11.666667,3.4156504,0.24397501
160,Ice Devil,16931-ice-devil,14.0,Bite,22.5,14.583333,3.818813,0.16972503
161,Ice Devil,16931-ice-devil,14.0,Claws,20.5,11.25,3.354102,0.16361474
162,Ice Devil,16931-ice-devil,14.0,Tail,22.5,14.583333,3.818813,0.16972503
164,Lemure,16942-lemure,0.0,Fist,2.5,1.25,1.118034,0.4472136
165,Spined Devil,17214-spined-devil,2.0,Bite,5.0,2.5,1.5811388,0.31622776
166,Spined Devil,17214-spined-devil,2.0,Fork,3.5,2.9166667,1.7078252,0.48795003
167,Spined Devil,17214-spined-devil,2.0,Tail Spine,8.0,4.1666665,2.0412414,0.25515518
169,Allosaurus,17087-allosaurus,2.0,Bite,15.0,16.5,4.0620193,0.27080128
170,Allosaurus,17087-allosaurus,2.0,Claw,8.5,5.25,2.291288,0.2695633
171,Ankylosaurus,17088-ankylosaurus,3.0,Tail,18.0,11.666667,3.4156504,0.18975835
172,Plesiosaurus,16981-plesiosaurus,2.0,Bite,14.5,8.75,2.95804,0.20400275
173,Pteranodon,17093-pteranodon,0.25,Bite,6.0,2.5,1.5811388,0.26352313
174,Triceratops,17039-triceratops,5.0,Gore,24.0,21.0,4.582576,0.19094065
175,Triceratops,17039-triceratops,5.0,Stomp,22.5,24.75,4.974937,0.22110832
176,Tyrannosaurus Rex,17041-tyrannosaurus-rex,8.0,Bite,33.0,47.666668,6.904105,0.2092153
177,Tyrannosaurus Rex,17041-tyrannosaurus-rex,8.0,Tail,20.5,15.75,3.968627,0.19359156
178,Displacer Beast,17130-displacer-beast,3.0,Tentacle,11.0,5.8333335,2.4152296,0.21956632
180,Doppelganger,16843-doppelganger,3.0,Slam,7.5,2.9166667,1.7078252,0.22771002
181,Young Red Shadow Dragon,17132-young-red-shadow-dragon,13.0,Bite,20.5,19.416666,4.4064345,0.21494803
182,Young Red Shadow Dragon,17132-young-red-shadow-dragon,13.0,Claw,13.0,5.8333335,2.4152296,0.18578689
183,Young Red Shadow Dragon,17132-young-red-shadow-dragon,13.0,Shadow Breath,112.0,93.333336,9.660918,0.086258195
185,Young Black Dragon,17067-young-black-dragon,7.0,Bite,19.5,21.75,4.6636896,0.23916356
186,Young Black Dragon,17067-young-black-dragon,7.0,Claw,11.0,5.8333335,2.4152296,0.21956632
187,Young Black Dragon,17067-young-black-dragon,7.0,Acid Breath,99.0,115.5,10.747092,0.108556494
189,Black Dragon Wyrmling,16807-black-dragon-wyrmling,2.0,Bite,10.0,9.5,3.082207,0.3082207
190,Black Dragon Wyrmling,16807-black-dragon-wyrmling,2.0,Acid Breath,45.0,52.5,7.2456884,0.1610153
191,Young Blue Dragon,17068-young-blue-dragon,9.0,Bite,21.5,24.75,4.974937,0.23139243
192,Young Blue Dragon,17068-young-blue-dragon,9.0,Claw,12.0,5.8333335,2.4152296,0.20126912
193,Young Blue Dragon,17068-young-blue-dragon,9.0,Lightning Breath,110.0,165.0,12.845233,0.11677484
195,Blue Dragon Wyrmling,16811-blue-dragon-wyrmling,3.0,Bite,12.0,11.166667,3.3416562,0.27847135
196,Blue Dragon Wyrmling,16811-blue-dragon-wyrmling,3.0,Lightning Breath,44.0,66.0,8.124039,0.18463723
197,Young Green Dragon,17073-young-green-dragon,8.0,Bite,22.0,22.333334,4.725816,0.2148098
198,Young Green Dragon,17073-young-green-dragon,8.0,Claw,11.0,5.8333335,2.4152296,0.21956632
199,Young Green Dragon,17073-young-green-dragon,8.0,Poison Breath,84.0,70.0,8.3666,0.09960239
201,Green Dragon Wyrmling,16910-green-dragon-wyrmling,2.0,Bite,11.0,11.166667,3.3416562,0.30378693
202,Green Dragon Wyrmling,16910-green-dragon-wyrmling,2.0,Poison Breath,42.0,35.0,5.91608,0.14085904
203,Young Red Dragon,17074-young-red-dragon,10.0,Bite,20.5,19.416666,4.4064345,0.21494803
204,Young Red Dragon,17074-young-red-dragon,10.0,Claw,13.0,5.8333335,2.4152296,0.18578689
205,Young Red Dragon,17074-young-red-dragon,10.0,Fire Breath,112.0,93.333336,9.660918,0.086258195
207,Red Dragon Wyrmling,16993-red-dragon-wyrmling,4.0,Bite,13.0,11.166667,3.3416562,0.25705048
208,Red Dragon Wyrmling,16993-red-dragon-wyrmling,4.0,Fire Breath,49.0,40.833332,6.3900967,0.13041013
209,Young White Dragon,17076-young-white-dragon,6.0,Bite,19.5,21.75,4.6636896,0.23916356
210,Young White Dragon,17076-young-white-dragon,6.0,Claw,11.0,5.8333335,2.4152296,0.21956632
211,Young White Dragon,17076-young-white-dragon,6.0,Cold Breath,90.0,105.0,10.246951,0.11385501
213,White Dragon Wyrmling,17058-white-dragon-wyrmling,2.0,Bite,10.0,9.5,3.082207,0.3082207
214,White Dragon Wyrmling,17058-white-dragon-wyrmling,2.0,Cold Breath,45.0,52.5,7.2456884,0.1610153
215,Young Brass Dragon,17069-young-brass-dragon,6.0,Bite,15.0,16.5,4.0620193,0.27080128
216,Young Brass Dragon,17069-young-brass-dragon,6.0,Claw,11.0,5.8333335,2.4152296,0.21956632
218,Brass Dragon Wyrmling,16814-brass-dragon-wyrmling,1.0,Bite,7.5,8.25,2.8722813,0.38297084
219,Young Bronze Dragon,17070-young-bronze-dragon,8.0,Bite,16.0,16.5,4.0620193,0.2538762
220,Young Bronze Dragon,17070-young-bronze-dragon,8.0,Claw,12.0,5.8333335,2.4152296,0.20126912
222,Bronze Dragon Wyrmling,16815-bronze-dragon-wyrmling,2.0,Bite,8.5,8.25,2.8722813,0.33791545
223,Young Copper Dragon,17071-young-copper-dragon,7.0,Bite,15.0,16.5,4.0620193,0.27080128
224,Young Copper Dragon,17071-young-copper-dragon,7.0,Claw,11.0,5.8333335,2.4152296,0.21956632
226,Copper Dragon Wyrmling,16831-copper-dragon-wyrmling,1.0,Bite,7.5,8.25,2.8722813,0.38297084
227,Young Gold Dragon,17072-young-gold-dragon,10.0,Bite,17.0,16.5,4.0620193,0.23894231
228,Young Gold Dragon,17072-young-gold-dragon,10.0,Claw,13.0,5.8333335,2.4152296,0.18578689
230,Gold Dragon Wyrmling,17098-gold-dragon-wyrmling,3.0,Bite,9.5,8.25,2.8722813,0.3023454
231,Young Silver Dragon,17075-young-silver-dragon,9.0,Bite,17.0,16.5,4.0620193,0.23894231
232,Young Silver Dragon,17075-young-silver-dragon,9.0,Claw,13.0,5.8333335,2.4152296,0.18578689
234,Silver Dragon Wyrmling,17014-silver-dragon-wyrmling,2.0,Bite,9.5,8.25,2.8722813,0.3023454
235,Dragon Turtle,16845-dragon-turtle,17.0,Bite,26.5,35.75,5.9791303,0.22562756
236,Dragon Turtle,16845-dragon-turtle,17.0,Claw,16.0,10.5,3.2403703,0.20252314
237,Dragon Turtle,16845-dragon-turtle,17.0,Tail,26.5,35.75,5.9791303,0.22562756
238,Dragon Turtle,16845-dragon-turtle,17.0,Steam Breath,105.0,87.5,9.354143,0.089087084
240,Duergar,16850-duergar,1.0,War Pick,11.0,10.5,3.2403703,0.29457912
241,Duergar,16850-duergar,1.0,Javelin,9.0,5.8333335,2.4152296,0.26835883
242,Air Elemental,16774-air-elemental,5.0,Slam,14.0,10.5,3.2403703,0.23145503
244,Earth Elemental,16853-earth-elemental,5.0,Slam,14.0,10.5,3.2403703,0.23145503
246,Fire Elemental,16861-fire-elemental,5.0,Touch,15.5,14.083333,3.7527769,0.24211463
248,Water Elemental,17051-water-elemental,5.0,Slam,13.0,10.5,3.2403703,0.24925926
250,Ettercap,16859-ettercap,2.0,Bite,11.0,10.5,3.2403703,0.29457912
251,Ettercap,16859-ettercap,2.0,Claws,7.0,2.5,1.5811388,0.22587697
253,Ettin,16860-ettin,4.0,Battleaxe,14.0,10.5,3.2403703,0.23145503
254,Ettin,16860-ettin,4.0,Morningstar,14.0,10.5,3.2403703,0.23145503
256,Flumph,17145-flumph,0.125,Tendrils,7.0,2.5,1.5811388,0.22587697
257,Fomorian,17146-fomorian,8.0,Greatclub,19.5,15.75,3.968627,0.20351933
258,Gas Spore,17147-gas-spore,0.5,Touch,1.0,0.0,0.0,0.0
259,Violet Fungus,17046-violet-fungus,0.25,Rotting Touch,4.5,5.25,2.291288,0.50917506
261,Galeb Duhr,17148-galeb-duhr,6.0,Slam,12.0,5.8333335,2.4152296,0.20126912
262,Gargoyle,16868-gargoyle,2.0,Bite,5.5,2.9166667,1.7078252,0.31051365
263,Gargoyle,16868-gargoyle,2.0,Claws,5.5,2.9166667,1.7078252,0.31051365
265,Ghost,16871-ghost,4.0,Withering Touch,17.0,11.666667,3.4156504,0.2009206
266,Ghoul,16872-ghoul,1.0,Bite,9.0,5.8333335,2.4152296,0.26835883
267,Ghoul,16872-ghoul,1.0,Claws,7.0,2.5,1.5811388,0.22587697
268,Ghast,16870-ghast,2.0,Bite,12.0,10.5,3.2403703,0.27003086
269,Ghast,16870-ghast,2.0,Claws,10.0,5.8333335,2.4152296,0.24152295
270,Fire Giant,16862-fire-giant,9.0,Greatsword,28.0,17.5,4.1833,0.14940357
271,Fire Giant,16862-fire-giant,9.0,Rock,29.0,33.0,5.7445626,0.19808836
273,Frost Giant,16867-frost-giant,8.0,Greataxe,25.5,35.75,5.9791303,0.2344757
274,Frost Giant,16867-frost-giant,8.0,Rock,28.0,33.0,5.7445626,0.20516296
276,Hill Giant,16923-hill-giant,5.0,Greatclub,18.5,15.75,3.968627,0.21452038
277,Hill Giant,16923-hill-giant,5.0,Rock,21.5,24.75,4.974937,0.23139243
279,Stone Giant,17024-stone-giant,7.0,Greatclub,19.5,15.75,3.968627,0.20351933
280,Stone Giant,17024-stone-giant,7.0,Rock,28.0,33.0,5.7445626,0.20516296
282,Gibbering Mouther,16901-gibbering-mouther,2.0,Bites,17.5,14.583333,3.818813,0.2182179
283,Gnoll,16904-gnoll,0.5,Bite,4.5,1.25,1.118034,0.248452
284,Gnoll,16904-gnoll,0.5,Spear,6.5,5.25,2.291288,0.35250583
285,Gnoll,16904-gnoll,0.5,Longbow,5.5,5.25,2.291288,0.41659778
286,Gnoll Pack Lord,17153-gnoll-pack-lord,2.0,Bite,5.5,1.25,1.118034,0.20327891
287,Gnoll Pack Lord,17153-gnoll-pack-lord,2.0,Glaive,8.5,8.25,2.8722813,0.33791545
288,Gnoll Pack Lord,17153-gnoll-pack-lord,2.0,Longbow,6.5,5.25,2.291288,0.35250583
289,Gnoll Fang of Yeenoghu,17154-gnoll-fang-of-yeenoghu,4.0,Bite,13.5,8.75,2.95804,0.21911407
290,Gnoll Fang of Yeenoghu,17154-gnoll-fang-of-yeenoghu,4.0,Claw,7.5,5.25,2.291288,0.30550504
292,Goblin,16907-goblin,0.25,Scimitar,5.5,2.9166667,1.7078252,0.31051365
293,Goblin,16907-goblin,0.25,Shortbow,5.5,2.9166667,1.7078252,0.31051365
294,Goblin Boss,17155-goblin-boss,1.0,Scimitar,5.5,2.9166667,1.7078252,0.31051365
295,Goblin Boss,17155-goblin-boss,1.0,Javelin,3.5,2.9166667,1.7078252,0.48795003
296,Clay Golem,16825-clay-golem,9.0,Slam,16.0,16.5,4.0620193,0.2538762
298,Flesh Golem,16863-flesh-golem,5.0,Slam,13.0,10.5,3.2403703,0.24925926
300,Iron Golem,16935-iron-golem,16.0,Slam,20.5,15.75,3.968627,0.19359156
301,Iron Golem,16935-iron-golem,16.0,Sword,23.5,24.75,4.974937,0.21169946
302,Iron Golem,16935-iron-golem,16.0,Poison Breath,90.0,105.0,10.246951,0.11385501
303,Stone Golem,17025-stone-golem,10.0,Slam,19.5,15.75,3.968627,0.20351933
305,Gorgon,16908-gorgon,5.0,Gore,18.0,23.833334,4.8819394,0.27121887
306,Gorgon,16908-gorgon,5.0,Hooves,16.0,16.5,4.0620193,0.2538762
307,Grell,17157-grell,3.0,Tentacles,7.5,8.25,2.8722813,0.38297084
308,Grell,17157-grell,3.0,Beak,7.0,2.5,1.5811388,0.22587697
310,Grick,16912-grick,2.0,Tentacles,9.0,5.8333335,2.4152296,0.26835883
311,Grick,16912-grick,2.0,Beak,5.5,2.9166667,1.7078252,0.31051365
313,Grick Alpha,17158-grick-alpha,7.0,Tail,11.0,5.8333335,2.4152296,0.21956632
314,Grick Alpha,17158-grick-alpha,7.0,Tentacles,22.0,21.0,4.582576,0.20829889
315,Grick Alpha,17158-grick-alpha,7.0,Beak,13.0,10.5,3.2403703,0.24925926
317,Griffon,16913-griffon,2.0,Beak,8.5,5.25,2.291288,0.2695633
318,Griffon,16913-griffon,2.0,Claws,11.0,5.8333335,2.4152296,0.21956632
320,Grimlock,16914-grimlock,0.25,Spiked Bone Club,8.0,2.5,1.5811388,0.19764236
321,Sea Hag,17008-sea-hag,2.0,Claws,10.0,5.8333335,2.4152296,0.24152295
322,Half-Red Dragon Veteran,16918-half-red-dragon-veteran,5.0,Longsword,8.5,8.25,2.8722813,0.33791545
323,Half-Red Dragon Veteran,16918-half-red-dragon-veteran,5.0,Shortsword,6.5,2.9166667,1.7078252,0.26274234
324,Half-Red Dragon Veteran,16918-half-red-dragon-veteran,5.0,Heavy Crossbow,6.5,8.25,2.8722813,0.44188944
325,Half-Red Dragon Veteran,16918-half-red-dragon-veteran,5.0,Fire Breath,49.0,40.833332,6.3900967,0.13041013
327,Harpy,16919-harpy,1.0,Claws,6.0,2.5,1.5811388,0.26352313
328,Harpy,16919-harpy,1.0,Club,3.5,1.25,1.118034,0.31943828
330,Hell Hound,16921-hell-hound,3.0,Bite,14.5,11.083333,3.329164,0.22959752
331,Hell Hound,16921-hell-hound,3.0,Fire Breath,42.0,35.0,5.91608,0.14085904
332,Helmed Horror,17159-helmed-horror,4.0,Longsword,9.5,8.25,2.8722813,0.3023454
334,Hippogriff,16924-hippogriff,1.0,Beak,8.5,8.25,2.8722813,0.33791545
335,Hippogriff,16924-hippogriff,1.0,Claws,10.0,5.8333335,2.4152296,0.24152295
337,Hobgoblin,16925-hobgoblin,0.5,Longsword,6.5,8.25,2.8722813,0.44188944
338,Hobgoblin,16925-hobgoblin,0.5,Longbow,5.5,5.25,2.291288,0.41659778
339,Hobgoblin Captain,17160-hobgoblin-captain,3.0,Greatsword,9.0,5.8333335,2.4152296,0.26835883
340,Hobgoblin Captain,17160-hobgoblin-captain,3.0,Javelin,5.5,2.9166667,1.7078252,0.31051365
342,Hobgoblin Warlord,17161-hobgoblin-warlord,6.0,Longsword,8.5,8.25,2.8722813,0.33791545
343,Hobgoblin Warlord,17161-hobgoblin-warlord,6.0,Shield Bash,5.5,1.25,1.118034,0.20327891
344,Hobgoblin Warlord,17161-hobgoblin-warlord,6.0,Javelin,6.5,2.9166667,1.7078252,0.26274234
346,Homunculus,16926-homunculus,0.0,Bite,1.0,0.0,0.0,0.0
347,Hook Horror,17162-hook-horror,3.0,Hook,11.0,5.8333335,2.4152296,0.21956632
349,Hydra,16929-hydra,8.0,Bite,10.5,8.25,2.8722813,0.2735506
351,Intellect Devourer,17163-intellect-devourer,2.0,Claws,7.0,2.5,1.5811388,0.22587697
352,Invisible Stalker,16934-invisible-stalker,6.0,Slam,10.0,5.8333335,2.4152296,0.24152295
354,Jackalwere,17164-jackalwere,0.5,Bite,4.5,1.25,1.118034,0.248452
355,Jackalwere,17164-jackalwere,0.5,Scimitar,5.5,2.9166667,1.7078252,0.31051365
356,Kenku,17165-kenku,0.25,Shortsword,6.5,2.9166667,1.7078252,0.26274234
357,Kenku,17165-kenku,0.25,Shortbow,6.5,2.9166667,1.7078252,0.26274234
358,Kobold,16939-kobold,0.125,Dagger,4.5,1.25,1.118034,0.248452
