Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,AC,adj AC,HP,adj HP,AC adjustments,AB,adj AB,DPR,adj DPR,Save DC
MPMotM,40.0,fiend,medium,generic,N,15.0,5,13000.0,1.0,3.0,3.0,3.0,1.0,4.0,False,False,False,True,False,True,1,3,3,8,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,20.0,195.0,243.8,"['2 saves', 'magic resistance']",8.0,8.0,57.0,57.0,16.0
MToF,162.0,fiend,medium,legacy,N,15.0,5,13000.0,1.0,3.0,3.0,3.0,1.0,4.0,False,False,False,True,False,True,1,3,3,8,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,20.0,187.5,233.8,"['2 saves', 'magic resistance']",8.0,8.0,29.5,29.5,
MPMotM,40.0,fiend,medium,generic,N,19.0,6,22000.0,6.0,3.0,4.0,2.0,2.0,4.0,True,False,True,False,True,False,12,3,10,2,8,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,26.0,289.0,289.0,"['3 saves', 'magic resistance']",12.0,12.0,89.0,89.0,
MToF,162.0,fiend,medium,legacy,N,19.0,6,22000.0,6.0,3.0,4.0,2.0,2.0,4.0,True,False,True,False,True,False,12,3,10,2,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,26.0,255.0,255.0,"['3 saves', 'magic resistance']",12.0,12.0,88.5,88.5,
MPMotM,41.0,fiend,medium,generic,N,6.0,3,2300.0,3.0,0.0,4.0,0.0,1.0,1.0,True,False,True,False,False,False,6,0,7,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,17.0,68.0,136.0,"['2 saves', 'magic resistance']",6.0,6.0,26.0,35.0,
MToF,163.0,fiend,medium,legacy,N,6.0,3,2300.0,3.0,0.0,4.0,0.0,1.0,1.0,True,False,True,False,False,False,6,0,7,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,17.0,68.0,136.0,"['2 saves', 'magic resistance']",6.0,6.0,17.0,26.0,
MM,13.0,aberration,large,legendary,LL,10.0,4,5900.0,5.0,-1.0,2.0,4.0,2.0,4.0,False,False,True,True,True,False,5,-1,6,8,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,135.0,135.0,['3 saves'],9.0,9.0,98.0,98.0,14.0
BGDiA,97.0,fiend,tiny,generic,N,0.25,2,50.0,-2.0,2.0,1.0,-3.0,-1.0,-3.0,False,False,False,False,False,False,-2,2,1,-3,-1,-3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,13.0,10.5,15.8,[],4.0,4.0,9.0,9.0,
MToF,136.0,fiend,medium,generic,N,0.25,2,50.0,-1.0,1.0,0.0,-3.0,-1.0,-3.0,False,False,False,False,False,False,-1,1,0,-3,-1,-3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,18.0,36.0,[],3.0,3.0,5.5,5.5,
ToA,209.0,undead,medium,unique,L,23.0,7,50000.0,1.0,3.0,5.0,8.0,5.0,5.0,False,False,True,True,True,False,1,3,12,15,12,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,21.0,28.0,285.0,468.8,"['3 saves', 'shield', 'counterspell']",15.0,15.0,219.0,219.0,23.0
MM,342.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,0.0,0.0,0.0,2.0,0.0,False,False,False,False,False,False,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,9.0,9.0,['sanctuary'],4.0,4.0,4.5,4.5,12.0
EGtW,283.0,monstrosity,large,generic,N,10.0,4,5900.0,5.0,4.0,4.0,-2.0,2.0,-1.0,False,False,False,False,True,True,5,4,4,-2,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,171.0,201.0,"['2 saves', 'magic resistance']",9.0,9.0,40.0,55.333332,17.0
EGtW,284.0,monstrosity,large,generic,N,8.0,3,3900.0,5.0,3.0,4.0,-2.0,2.0,-1.0,False,False,False,False,True,True,5,3,4,-2,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,133.0,133.0,"['2 saves', 'magic resistance']",8.0,8.0,49.0,62.5,
EGtW,283.0,monstrosity,large,generic,N,12.0,4,8400.0,4.0,2.0,4.0,-2.0,2.0,4.0,False,False,False,False,True,True,4,2,4,-2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,180.5,240.5,"['2 saves', 'magic resistance', 'counterspell']",8.0,8.0,72.0,72.0,
PotA,193.0,humanoid,medium,unique,N,7.0,3,2900.0,-1.0,3.0,1.0,3.0,0.0,3.0,False,False,False,False,False,False,-1,3,1,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,66.0,106.0,[],6.0,6.0,76.666664,76.666664,14.0
WBtW,73.0,fey,medium,unique,N,2.0,2,450.0,0.0,5.0,0.0,0.0,2.0,3.0,False,True,False,False,True,False,0,7,0,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,36.0,36.0,"['2 saves', 'evasion']",7.0,9.0,21.0,21.0,
WDH,193.0,humanoid,medium,unique,N,9.0,4,5000.0,5.0,2.0,2.0,2.0,2.0,1.0,True,False,True,False,False,False,9,2,6,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,143.0,183.0,['2 saves'],9.0,9.0,47.0,47.0,
MM,124.0,elemental,large,generic,N,5.0,3,1800.0,2.0,5.0,2.0,-2.0,0.0,-2.0,False,False,False,False,False,False,2,5,2,-2,0,-2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,90.0,135.0,[],8.0,8.0,31.333334,31.333334,13.0
MPMotM,122.0,elemental,medium,generic,N,7.0,3,2900.0,4.0,2.0,2.0,-1.0,0.0,0.0,False,False,False,False,False,False,4,2,2,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,18.0,117.0,190.5,[],7.0,7.0,25.833334,25.833334,13.0
MToF,202.0,elemental,medium,legacy,N,7.0,3,2900.0,4.0,2.0,2.0,-1.0,0.0,0.0,False,False,False,False,False,False,4,2,2,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,18.0,117.0,190.5,[],7.0,7.0,25.833334,25.833334,13.0
PotA,212.0,elemental,medium,legacy,N,7.0,3,2900.0,4.0,2.0,2.0,-1.0,0.0,0.0,False,False,False,False,False,False,4,2,2,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,18.0,117.0,190.5,[],7.0,7.0,25.833334,25.833334,14.0
MOoT,228.0,humanoid,medium,generic,N,3.0,2,700.0,3.0,3.0,2.0,0.0,2.0,1.0,True,True,False,False,False,False,5,5,2,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,52.0,52.0,['2 saves'],5.0,5.0,28.0,28.0,
ToA,210.0,humanoid,medium,generic,N,0.25,2,50.0,1.0,1.0,3.0,1.0,2.0,0.0,False,False,False,False,False,False,1,1,3,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,30.0,30.0,[],3.0,3.0,4.0,4.0,
ToA,210.0,monstrosity,medium,generic,N,1.0,2,200.0,1.0,-1.0,1.0,0.0,2.0,0.0,False,False,False,False,False,False,1,-1,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,49.5,49.5,[],3.0,3.0,10.0,10.0,
MPMotM,43.0,undead,medium,generic,N,10.0,4,5900.0,0.0,1.0,3.0,4.0,3.0,3.0,False,False,True,True,True,True,0,1,7,8,7,7,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,21.0,150.0,255.0,"['4 saves', 'magic resistance']",8.0,8.0,52.0,52.0,16.0
VGtM,172.0,undead,medium,legacy,N,10.0,4,5900.0,0.0,1.0,3.0,4.0,3.0,3.0,False,False,True,True,True,True,0,1,7,8,7,7,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,24.0,120.0,280.0,"['4 saves', 'magic resistance', 'shield', 'counterspell']",8.0,8.0,63.666668,63.666668,16.0
MPMotM,44.0,fiend,medium,generic,N,11.0,4,7200.0,1.0,4.0,6.0,-2.0,0.0,-2.0,False,True,True,False,False,False,1,8,10,-2,0,-2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,23.0,168.0,210.0,"['2 saves', 'magic resistance']",8.0,8.0,54.0,54.0,
MToF,130.0,fiend,medium,legacy,N,11.0,4,7200.0,1.0,4.0,6.0,-2.0,0.0,-2.0,False,True,True,False,False,False,1,8,10,-2,0,-2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,21.0,157.5,196.9,"['2 saves', 'magic resistance']",8.0,8.0,54.0,54.0,18.0
MPMotM,45.0,undead,medium,generic,N,5.0,3,1800.0,-2.0,3.0,0.0,3.0,2.0,3.0,False,False,False,True,True,False,-2,3,0,6,5,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,13.0,40.5,109.0,['2 saves'],6.0,6.0,32.0,46.0,14.0
MToF,116.0,undead,medium,legacy,N,5.0,3,1800.0,-2.0,3.0,0.0,3.0,2.0,3.0,False,False,False,True,True,False,-2,3,0,6,5,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,13.0,40.5,109.0,['2 saves'],6.0,6.0,23.0,37.0,14.0
MM,79.0,beast,large,generic,N,2.0,2,450.0,4.0,1.0,3.0,-4.0,1.0,-3.0,False,False,False,False,False,False,4,1,3,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,51.0,51.0,[],6.0,6.0,17.666666,17.666666,13.0
MOoT,235.0,fey,medium,generic,N,1.0,2,200.0,2.0,0.0,1.0,1.0,2.0,4.0,False,False,False,False,False,False,2,0,1,1,2,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,17.0,22.0,22.0,['magic resistance'],6.0,6.0,18.0,18.0,
CRCotN,195.0,aberration,large,unique,L,12.0,4,8400.0,5.0,-1.0,2.0,4.0,4.0,4.0,False,False,True,True,True,False,5,-1,6,8,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,135.0,195.0,['3 saves'],9.0,9.0,73.0,73.0,
CRCotN,182.0,humanoid,medium,unique,LL,14.0,5,11500.0,4.0,2.0,4.0,1.0,2.0,4.0,True,False,True,False,True,False,9,2,9,1,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,161.5,231.5,"['3 saves', 'parry']",9.0,9.0,94.833336,97.666664,17.0
CRCotN,179.0,celestial,large,unique,LL,12.0,4,8400.0,6.0,4.0,5.0,2.0,3.0,5.0,True,False,True,False,True,False,10,4,9,2,7,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,17.0,19.0,157.5,227.5,['3 saves'],10.0,10.0,91.0,93.833336,
CRCotN,179.0,celestial,large,unique,LL,12.0,4,8400.0,6.0,4.0,5.0,2.0,3.0,5.0,True,False,True,False,True,False,10,4,9,2,7,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,17.0,19.0,157.5,385.0,['3 saves'],10.0,10.0,131.5,134.33333,
CRCotN,180.0,humanoid,medium,unique,LL,13.0,5,10000.0,4.0,2.0,4.0,1.0,2.0,5.0,True,False,True,False,True,False,9,2,9,1,7,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,18.0,153.0,253.0,"['3 saves', 'parry']",9.0,9.0,77.5,80.333336,
CRCotN,180.0,humanoid,medium,unique,LL,13.0,5,10000.0,4.0,2.0,4.0,1.0,2.0,5.0,True,False,True,False,True,False,9,2,9,1,7,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,18.0,153.0,406.0,"['3 saves', 'parry']",9.0,9.0,110.5,113.333336,
CRCotN,179.0,aberration,huge,unique,LL,11.0,4,7200.0,5.0,4.0,6.0,2.0,3.0,5.0,True,False,True,False,True,False,9,4,10,2,7,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,18.0,150.0,220.0,['3 saves'],9.0,9.0,90.833336,93.666664,
CRCotN,179.0,aberration,huge,unique,LL,11.0,4,7200.0,5.0,4.0,6.0,2.0,3.0,5.0,True,False,True,False,True,False,9,4,10,2,7,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,18.0,150.0,415.0,['3 saves'],9.0,9.0,143.5,146.33333,
FToD,162.0,dragon,medium,generic,N,4.0,2,1100.0,4.0,0.0,3.0,3.0,1.0,3.0,False,True,True,False,True,True,4,2,5,3,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,19.0,75.0,75.0,['4 saves'],6.0,6.0,24.333334,24.333334,13.0
FToD,161.0,dragon,huge,legendary,L,16.0,5,15000.0,7.0,2.0,7.0,5.0,3.0,5.0,False,True,True,False,True,True,7,7,12,5,8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,21.0,229.5,319.5,['4 saves'],12.0,12.0,97.833336,97.833336,20.0
FToD,161.0,dragon,huge,legendary,LL,17.0,6,18000.0,7.0,2.0,7.0,5.0,3.0,5.0,False,True,True,False,True,True,7,7,12,5,8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,21.0,229.5,394.5,['4 saves'],12.0,12.0,97.833336,97.833336,20.0
FToD,160.0,dragon,gargantuan,legendary,L,23.0,7,50000.0,8.0,2.0,8.0,8.0,4.0,6.0,False,True,True,False,True,True,8,9,15,8,11,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,22.0,444.0,534.0,['4 saves'],15.0,15.0,128.66667,128.66667,23.0
FToD,160.0,dragon,gargantuan,legendary,LL,24.0,7,62000.0,8.0,2.0,8.0,8.0,4.0,6.0,False,True,True,False,True,True,8,9,15,8,11,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,22.0,444.0,609.0,['4 saves'],15.0,15.0,128.66667,128.66667,23.0
FToD,161.0,dragon,large,generic,N,9.0,4,5000.0,5.0,1.0,5.0,4.0,2.0,4.0,False,True,True,False,True,True,5,5,9,4,6,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,20.0,168.0,168.0,['4 saves'],9.0,9.0,50.333332,50.333332,17.0
FToD,201.0,dragon,gargantuan,legendary,L,26.0,8,90000.0,9.0,2.0,9.0,10.0,7.0,7.0,False,True,True,False,True,True,9,10,17,10,15,15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,21.0,23.0,507.0,627.0,['4 saves'],17.0,17.0,173.83333,173.83333,25.0
WBtW,135.0,plant,small,unique,N,0.5,2,100.0,-2.0,2.0,0.0,1.0,1.0,3.0,True,True,True,False,True,False,0,4,2,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,28.0,28.0,"['4 saves', 'parry']",4.0,4.0,6.5,6.5,
WDH,193.0,humanoid,medium,unique,N,5.0,3,1800.0,-1.0,2.0,0.0,3.0,1.0,2.0,False,False,False,True,True,False,-1,2,0,6,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,45.0,67.5,['2 saves'],6.0,6.0,64.666664,64.666664,14.0
MPMotM,46.0,fiend,medium,generic,N,18.0,6,20000.0,0.0,1.0,3.0,5.0,1.0,4.0,False,True,True,False,True,True,0,7,9,5,7,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,25.0,202.5,247.5,"['4 saves', 'magic resistance']",11.0,11.0,104.0,109.0,19.0
MToF,163.0,fiend,medium,legacy,N,18.0,6,20000.0,0.0,1.0,3.0,5.0,1.0,4.0,False,True,True,False,True,True,0,7,9,5,7,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,25.0,202.5,247.5,"['4 saves', 'magic resistance']",11.0,11.0,139.5,144.5,19.0
TftYP,84.0,beast,huge,generic,N,3.0,2,700.0,4.0,2.0,1.0,-5.0,0.0,-4.0,False,False,False,False,False,False,4,2,1,-5,0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,60.0,60.0,['constrict'],6.0,6.0,24.0,24.0,
GoS,230.0,monstrosity,medium,generic,N,0.5,2,100.0,2.0,4.0,1.0,-4.0,0.0,-4.0,False,False,False,False,False,False,2,4,1,-4,0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,11.0,11.0,[],6.0,6.0,22.0,22.0,
BGDiA,30.0,humanoid,medium,unique,N,3.0,2,700.0,1.0,4.0,1.0,2.0,2.0,2.0,False,False,False,False,False,False,1,4,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,66.0,66.0,['shield'],6.0,6.0,18.0,18.0,
GGtR,239.0,humanoid,medium,generic,N,0.25,2,50.0,2.0,1.0,1.0,-1.0,0.0,0.0,False,False,False,False,False,False,2,1,1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,11.0,11.0,[],4.0,4.0,9.5,9.5,
GGtR,191.0,celestial,medium,generic,N,14.0,5,11500.0,3.0,4.0,2.0,4.0,5.0,6.0,False,False,False,True,True,True,3,4,2,9,10,11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,175.5,219.4,"['3 saves', 'magic resistance']",9.0,9.0,72.0,72.0,
MM,16.0,celestial,medium,generic,N,10.0,4,5900.0,4.0,4.0,4.0,3.0,5.0,5.0,False,False,False,False,True,True,4,4,4,3,9,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,136.0,204.0,"['2 saves', 'magic resistance']",8.0,8.0,50.0,50.0,
GGtR,190.0,celestial,medium,generic,N,12.0,4,8400.0,6.0,2.0,3.0,1.0,2.0,6.0,True,False,False,False,True,True,10,2,3,1,6,10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,135.0,195.0,"['3 saves', 'magic resistance']",10.0,10.0,69.333336,69.333336,18.0
MM,17.0,celestial,large,generic,N,16.0,5,15000.0,7.0,5.0,7.0,4.0,6.0,7.0,False,False,True,False,True,True,7,5,12,4,11,12,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,200.0,250.0,"['3 saves', 'magic resistance']",12.0,12.0,86.0,86.0,20.0
MPMotM,222.0,monstrosity,medium,generic,N,13.0,5,10000.0,3.0,0.0,4.0,-1.0,1.0,-2.0,False,False,False,False,False,False,3,0,4,-1,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,255.0,318.8,[],8.0,12.0,32.0,51.5,
MToF,231.0,monstrosity,medium,legacy,N,13.0,5,10000.0,3.0,0.0,4.0,-1.0,1.0,-2.0,False,False,False,False,False,False,3,0,4,-1,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,255.0,318.8,[],8.0,12.0,32.0,51.5,
DSotDQ,192.0,undead,huge,generic,N,9.0,4,5000.0,6.0,0.0,4.0,-3.0,2.0,-4.0,False,False,False,False,True,False,6,0,4,-3,6,-4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,157.5,157.5,['1 saves'],,,,,
