Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
Aerosaur,BPGotG,128.0,monstrosity,generic,N,10.0,4,5900.0,155.0,14.0,155.0,18.0,12.0,12.0,60.333332,60.333332
Agdon Longscarf,TWBtW,73.0,fey,unique,N,2.0,2,450.0,36.0,19.0,36.0,22.0,7.0,9.0,21.0,21.0
Ahmaergo,WDH,193.0,humanoid,unique,N,9.0,4,5000.0,143.0,18.0,183.0,18.0,9.0,9.0,47.0,47.0
Air Elemental,MM,124.0,elemental,generic,N,5.0,3,1800.0,90.0,15.0,135.0,15.0,8.0,8.0,31.333334,31.333334
Air Elemental Myrmidon,MPMotM,122.0,elemental,generic,N,7.0,3,2900.0,117.0,18.0,190.5,18.0,7.0,7.0,25.833334,25.833334
Air Elemental Myrmidon,MToF,202.0,elemental,legacy,N,7.0,3,2900.0,117.0,18.0,190.5,18.0,7.0,7.0,25.833334,25.833334
Air Elemental Myrmidon,PotA,212.0,elemental,legacy,N,7.0,3,2900.0,117.0,18.0,190.5,18.0,7.0,7.0,25.833334,25.833334
Akroan Hoplite,MOoT,228.0,humanoid,generic,N,3.0,2,700.0,52.0,18.0,52.0,18.0,5.0,5.0,28.0,28.0
Albino Dwarf Warrior,ToA,210.0,humanoid,generic,N,0.25,2,50.0,30.0,13.0,30.0,13.0,3.0,3.0,4.0,4.0
Aldani (Lobsterfolk),ToA,210.0,monstrosity,generic,N,1.0,2,200.0,49.5,14.0,49.5,14.0,3.0,3.0,10.0,10.0
Alhoon,MPMotM,43.0,undead,generic,N,10.0,4,5900.0,150.0,15.0,255.0,21.0,8.0,8.0,52.0,52.0
Alhoon,VGtM,172.0,undead,legacy,N,10.0,4,5900.0,120.0,15.0,280.0,24.0,8.0,8.0,63.666668,63.666668
Alkilith,MPMotM,44.0,fiend,generic,N,11.0,4,7200.0,168.0,17.0,210.0,23.0,8.0,8.0,54.0,54.0
Alkilith,MToF,130.0,fiend,legacy,N,11.0,4,7200.0,157.5,17.0,196.9,21.0,8.0,8.0,54.0,54.0
Allip,MPMotM,45.0,undead,generic,N,5.0,3,1800.0,40.5,13.0,109.0,13.0,6.0,6.0,32.0,46.0
Allip,MToF,116.0,undead,legacy,N,5.0,3,1800.0,40.5,13.0,109.0,13.0,6.0,6.0,23.0,37.0
Allosaurus,MM,79.0,beast,generic,N,2.0,2,450.0,51.0,13.0,51.0,13.0,6.0,6.0,17.666666,17.666666
Alseid,MOoT,235.0,fey,generic,N,1.0,2,200.0,22.0,15.0,22.0,17.0,6.0,6.0,18.0,18.0
Altisaur,BPGotG,129.0,monstrosity,generic,N,13.0,5,10000.0,198.0,15.0,198.0,17.0,14.0,14.0,78.5,78.5
Alyxian Aboleth,CRCotN,195.0,aberration,unique,L,12.0,4,8400.0,135.0,17.0,195.0,21.0,9.0,9.0,73.0,73.0
Alyxian the Absolved,CRCotN,182.0,humanoid,unique,LL,14.0,5,11500.0,161.5,15.0,231.5,18.0,9.0,9.0,94.833336,97.666664
Alyxian the Callous,CRCotN,179.0,celestial,unique,LL,12.0,4,8400.0,157.5,17.0,227.5,19.0,10.0,10.0,91.0,93.833336
Alyxian the Dispossessed,CRCotN,180.0,humanoid,unique,LL,13.0,5,10000.0,153.0,15.0,253.0,18.0,9.0,9.0,77.5,80.333336
Alyxian the Tormented,CRCotN,179.0,aberration,unique,LL,11.0,4,7200.0,150.0,16.0,220.0,18.0,9.0,9.0,90.833336,93.666664
Ambitious Assassin,TBoMT,45.0,humanoid,legendary,L,5.0,3,1800.0,91.0,16.0,146.0,16.0,7.0,7.0,42.0,42.0
Ambitious Assassin,TBoMT,45.0,humanoid,legendary,LL,6.0,3,2300.0,91.0,16.0,146.0,16.0,7.0,7.0,56.0,56.0
Amethyst Dragon Wyrmling,FToD,162.0,dragon,generic,N,4.0,2,1100.0,75.0,17.0,75.0,19.0,6.0,6.0,24.333334,24.333334
Amethyst Greatwyrm,FToD,201.0,dragon,legendary,L,26.0,8,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
Amidor the Dandelion,TWBtW,135.0,plant,unique,N,0.5,2,100.0,28.0,12.0,28.0,15.0,4.0,4.0,6.5,6.5
Ammalia Cassalanter,WDH,193.0,humanoid,unique,N,5.0,3,1800.0,45.0,15.0,67.5,15.0,6.0,6.0,64.666664,64.666664
Amnizu,MPMotM,46.0,fiend,generic,N,18.0,6,20000.0,202.5,21.0,247.5,25.0,11.0,11.0,104.0,109.0
Amnizu,MToF,163.0,fiend,legacy,N,18.0,6,20000.0,202.5,21.0,247.5,25.0,11.0,11.0,139.5,144.5
Amphisbaena,TftYP,84.0,beast,generic,N,3.0,2,700.0,60.0,12.0,60.0,12.0,6.0,6.0,24.0,24.0
Amphisbaena (Monstrosity),GoS,230.0,monstrosity,generic,N,0.5,2,100.0,11.0,14.0,11.0,14.0,6.0,6.0,22.0,22.0
Amrik Vanthampur,BGDiA,30.0,humanoid,unique,N,3.0,2,700.0,66.0,17.0,66.0,17.0,6.0,6.0,18.0,18.0
Anarch,GGtR,239.0,humanoid,generic,N,0.25,2,50.0,11.0,13.0,11.0,13.0,4.0,4.0,9.5,9.5
Ancient Amethyst Dragon,FToD,160.0,dragon,legendary,L,23.0,7,50000.0,444.0,20.0,534.0,22.0,15.0,15.0,128.66667,128.66667
Ancient Amethyst Dragon,FToD,160.0,dragon,legendary,LL,24.0,7,62000.0,444.0,20.0,609.0,22.0,15.0,15.0,128.66667,128.66667
Ancient Lunar Dragon,SAiS:BAM,32.0,dragon,legendary,L,19.0,6,22000.0,297.5,18.0,387.5,18.0,14.0,14.0,103.666664,103.666664
Ancient Solar Dragon,SAiS:BAM,50.0,dragon,legendary,L,21.0,7,33000.0,425.5,18.0,515.5,20.0,16.0,16.0,113.5,113.5
Ancient Time Dragon,PAitM:MPP,48.0,dragon,legendary,L,26.0,8,90000.0,536.5,22.0,686.5,24.0,17.0,19.0,199.66667,199.66667
Ancient Time Dragon,PAitM:MPP,48.0,dragon,legendary,LL,27.0,8,105000.0,536.5,22.0,686.5,24.0,17.0,19.0,217.0,243.66667
Android,QftIS,194.0,construct,generic,N,5.0,3,1800.0,91.0,15.0,136.5,16.0,7.0,7.0,30.0,30.0
Angry Sorrowsworn,MPMotM,222.0,monstrosity,generic,N,13.0,5,10000.0,255.0,18.0,318.8,18.0,8.0,12.0,32.0,51.5
Anhkolox,DSotDQ,192.0,undead,generic,N,9.0,4,5000.0,157.5,15.0,157.5,16.0,10.0,11.0,57.5,57.5
Animated Armor,MM,19.0,construct,generic,N,1.0,2,200.0,33.0,18.0,33.0,18.0,4.0,4.0,10.0,10.0
Animated Breath (Acid),FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,16.0,7.0,7.0,55.0,55.0
Animated Breath (Cold),FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,17.0,95.0,17.0,7.0,7.0,48.0,48.0
Animated Breath (Fire),FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,15.0,7.0,7.0,58.5,58.5
Animated Breath (Lightning),FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,15.0,7.0,7.0,55.0,55.0
Animated Breath (Poison),FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,16.0,7.0,7.0,55.0,55.0
Animated Broom,CM,20.0,construct,generic,N,0.25,2,50.0,17.5,15.0,17.5,17.0,5.0,5.0,11.0,11.0
Animated Chained Library,CM,24.0,construct,generic,N,1.0,2,200.0,45.0,14.0,45.0,14.0,4.0,4.0,13.0,13.0
Animated Knife,EGtW,248.0,construct,generic,N,0.125,2,25.0,12.5,17.0,12.5,17.0,4.0,4.0,5.5,5.5
Animated Staff of Frost,WDotMM,262.0,construct,unique,N,4.0,2,1100.0,40.0,17.0,40.0,19.0,5.0,5.0,74.666664,74.666664
Animated Table,TftYP,230.0,construct,generic,N,2.0,2,450.0,39.0,15.0,39.0,15.0,6.0,6.0,16.0,16.0
Ankheg,MM,21.0,monstrosity,generic,N,2.0,2,450.0,39.0,14.0,39.0,14.0,5.0,5.0,18.666666,18.666666
Ankylosaurus,MM,79.0,beast,generic,N,3.0,2,700.0,68.0,15.0,68.0,15.0,7.0,7.0,18.0,18.0
Ankylosaurus Zombie,ToA,240.0,undead,generic,N,3.0,2,700.0,68.0,14.0,75.0,14.0,6.0,6.0,18.0,18.0
Annis Hag,MPMotM,47.0,fey,generic,N,6.0,3,2300.0,90.0,17.0,90.0,17.0,8.0,8.0,39.833332,64.166664
Annis Hag,VGtM,159.0,fey,legacy,N,6.0,3,2300.0,75.0,17.0,112.5,17.0,8.0,8.0,39.833332,64.166664
Anvilwrought Raptor,MOoT,209.0,construct,generic,N,0.5,2,100.0,18.0,14.0,18.0,14.0,5.0,5.0,11.0,11.0
Ape,MM,317.0,beast,generic,N,0.5,2,100.0,19.5,12.0,19.5,12.0,5.0,5.0,12.0,12.0
"Ape, Giant",MM,323.0,beast,generic,N,7.0,3,2900.0,157.5,12.0,157.5,12.0,9.0,9.0,44.0,44.0
Aphemia,MOoT,226.0,monstrosity,unique,N,5.0,3,1800.0,52.0,15.0,92.0,17.0,6.0,6.0,31.0,31.0
Apprentice Wizard,MPMotM,259.0,humanoid,generic,N,0.25,2,50.0,13.5,13.0,13.5,13.0,4.0,4.0,12.0,12.0
Apprentice Wizard,VGtM,209.0,humanoid,legacy,N,0.25,2,50.0,9.0,10.0,9.0,10.0,4.0,4.0,15.833333,15.833333
Arasta,MOoT,248.0,monstrosity,unique,LL,21.0,7,33000.0,300.0,19.0,440.0,23.0,14.0,14.0,137.0,137.0
Arcanaloth,MM,313.0,fiend,generic,N,12.0,4,8400.0,104.0,17.0,130.0,21.0,9.0,9.0,115.666664,115.666664
Archaic,SACoC,184.0,celestial,legendary,L,18.0,6,20000.0,245.0,20.0,335.0,22.0,14.0,14.0,106.666664,118.333336
Archdruid,MPMotM,48.0,humanoid,generic,N,12.0,4,8400.0,154.0,14.0,231.0,16.0,9.0,11.0,78.0,78.0
Archdruid,VGtM,210.0,humanoid,legacy,N,12.0,4,8400.0,132.0,16.0,132.0,16.0,9.0,9.0,115.5,115.5
Archer,MPMotM,49.0,humanoid,generic,N,3.0,2,700.0,75.0,16.0,75.0,16.0,6.0,6.0,22.5,22.5
Archer,VGtM,210.0,humanoid,legacy,N,3.0,2,700.0,75.0,16.0,75.0,16.0,6.0,6.0,22.5,22.5
Archmage,MM,342.0,humanoid,generic,N,12.0,4,8400.0,99.0,15.0,123.8,22.0,9.0,9.0,122.5,122.5
Archon of Falling Stars,MOoT,212.0,celestial,legendary,L,12.0,4,8400.0,144.5,18.0,174.5,22.0,9.0,9.0,118.666664,118.666664
Archon of the Triumvirate,GGtR,192.0,celestial,legendary,L,14.0,5,11500.0,144.5,18.0,180.6,20.0,10.0,10.0,107.0,107.0
Arclight Phoenix,GGtR,193.0,elemental,generic,N,12.0,4,8400.0,142.5,16.0,178.1,16.0,10.0,10.0,105.0,105.0
Arcturia,WDotMM,296.0,undead,unique,L,21.0,7,33000.0,135.0,17.0,281.3,24.0,12.0,12.0,145.0,145.0
Arkhan the Cruel,BGDiA,111.0,humanoid,unique,N,16.0,5,15000.0,221.0,23.0,276.3,23.0,13.0,13.0,89.0,89.0
Armanite,MPMotM,50.0,fiend,generic,N,7.0,3,2900.0,94.5,16.0,118.1,18.0,8.0,8.0,55.333332,55.333332
Armanite,MToF,130.0,fiend,legacy,N,7.0,3,2900.0,84.0,16.0,105.0,18.0,8.0,8.0,43.333332,43.333332
Arrant Quill,CM,157.0,humanoid,unique,N,11.0,4,7200.0,135.0,14.0,135.0,16.0,9.0,9.0,88.666664,88.666664
Art Elemental Mascot,SACoC,185.0,elemental,generic,N,0.25,2,50.0,18.0,11.0,18.0,11.0,3.0,3.0,6.0,6.0
Artus Cimber,ToA,212.0,humanoid,unique,N,7.0,3,2900.0,82.5,14.0,82.5,14.0,9.0,9.0,56.0,56.0
Ashen Rider,MOoT,213.0,celestial,legendary,L,16.0,5,15000.0,178.5,18.0,178.5,20.0,10.0,10.0,162.0,162.0
Aspirant of the Comet,TBoMT,91.0,humanoid,generic,N,0.5,2,100.0,27.5,11.0,27.5,11.0,3.0,3.0,5.5,12.5
Assassin,MM,343.0,humanoid,generic,N,8.0,3,3900.0,78.0,15.0,78.0,17.0,6.0,6.0,76.0,83.166664
Assassin Vine,ToA,213.0,plant,generic,N,3.0,2,700.0,85.0,13.0,85.0,13.0,6.0,6.0,37.0,37.0
Asteria,TBoMT,188.0,humanoid,unique,L,18.0,6,20000.0,195.0,18.0,315.0,23.0,11.0,13.0,155.5,155.5
Astral Blight,SAiS:LoX,10.0,plant,generic,N,1.0,2,200.0,26.0,12.0,26.0,12.0,5.0,5.0,20.0,20.0
Astral Dreadnought,MPMotM,51.0,monstrosity,legendary,L,21.0,7,33000.0,297.5,20.0,387.5,20.0,16.0,16.0,134.0,134.0
Astral Dreadnought,MToF,117.0,monstrosity,legacy,L,21.0,7,33000.0,297.5,20.0,387.5,20.0,16.0,16.0,134.0,134.0
Astral Elf Aristocrat,SAiS:BAM,11.0,humanoid,generic,N,8.0,3,3900.0,103.5,16.0,103.5,18.0,5.0,5.0,68.0,68.0
Astral Elf Commander,SAiS:BAM,12.0,humanoid,generic,N,7.0,3,2900.0,143.0,17.0,143.0,19.0,5.0,5.0,41.0,41.0
Astral Elf Honor Guard,SAiS:BAM,12.0,humanoid,generic,N,5.0,3,1800.0,93.5,17.0,93.5,17.0,5.0,5.0,47.0,47.0
Astral Elf Star Priest,SAiS:BAM,13.0,humanoid,generic,N,5.0,3,1800.0,90.0,13.0,90.0,15.0,3.0,6.0,44.5,44.5
Astral Elf Warrior,SAiS:BAM,13.0,humanoid,generic,N,3.0,2,700.0,58.5,16.0,58.5,16.0,4.0,4.0,34.0,34.0
Athar Null,PAitM:MPP,53.0,humanoid,generic,N,5.0,3,1800.0,84.5,14.0,129.5,15.0,6.0,6.0,38.0,38.0
Atropal,ToA,214.0,undead,legendary,L,13.0,5,10000.0,225.0,7.0,418.5,9.0,11.0,11.0,67.0,67.0
Aurak Draconian,DSotDQ,196.0,monstrosity,generic,N,6.0,3,2300.0,67.5,17.0,67.5,19.0,6.0,6.0,31.0,37.0
Aurelia,GGtR,230.0,celestial,unique,L,23.0,7,50000.0,287.5,22.0,377.5,27.0,15.0,15.0,160.0,160.0
Auril (1st Form),IDRotF,275.0,monstrosity,unique,LL,9.0,4,5000.0,95.0,13.0,135.0,15.0,10.0,10.0,71.0,71.0
Auril (2nd Form),IDRotF,277.0,elemental,unique,LL,10.0,4,5900.0,136.5,16.0,196.5,18.0,10.0,10.0,108.666664,108.666664
Auril (3rd Form),IDRotF,278.0,elemental,unique,LL,11.0,4,7200.0,136.0,19.0,166.0,21.0,13.0,13.0,80.0,80.0
Aurnozci,TBoMT,167.0,fiend,unique,L,22.0,7,41000.0,370.0,16.0,631.3,18.0,15.0,15.0,121.666664,121.666664
Aurnozci,TBoMT,167.0,fiend,unique,LL,23.0,7,50000.0,370.0,16.0,631.3,18.0,15.0,15.0,170.33333,170.33333
Aurochs,MPMotM,71.0,beast,generic,N,2.0,2,450.0,38.0,11.0,38.0,11.0,7.0,7.0,14.0,17.0
Aurochs,VGtM,208.0,beast,legacy,N,2.0,2,450.0,38.0,11.0,38.0,11.0,7.0,7.0,14.0,17.0
Aurumach Rilmani,PAitM:MPP,43.0,celestial,legendary,L,17.0,6,18000.0,285.0,18.0,285.0,18.0,11.0,11.0,90.0,99.0
Aurumvorax,JttRC,105.0,monstrosity,generic,N,2.0,2,450.0,36.0,15.0,45.0,15.0,5.0,5.0,17.5,17.5
Aurumvorax Den Leader,JttRC,105.0,monstrosity,generic,N,4.0,2,1100.0,52.0,16.0,65.5,16.0,6.0,7.0,35.0,35.0
Autognome,SAiS:BAM,13.0,construct,generic,N,2.0,2,450.0,39.0,16.0,39.0,18.0,3.0,3.0,14.0,14.0
Avarice,IDRotF,269.0,humanoid,unique,N,7.0,3,2900.0,84.5,16.0,84.5,19.0,6.0,6.0,95.333336,95.333336
Avoral Guardinal,PAitM:MPP,32.0,celestial,generic,N,9.0,4,5000.0,172.5,16.0,172.5,18.0,8.0,10.0,62.0,62.0
Awakened Tree,MM,317.0,plant,generic,N,2.0,2,450.0,59.5,13.0,59.5,13.0,6.0,6.0,14.0,14.0
Awakened White Moose,IDRotF,82.0,beast,generic,N,3.0,2,700.0,68.0,11.0,68.0,11.0,6.0,6.0,25.0,25.0
Axe Beak,MM,317.0,beast,generic,N,0.25,2,50.0,19.5,11.0,19.5,11.0,4.0,4.0,6.5,6.5
Ayo Jabe (tier 1),CRCotN,188.0,humanoid,unique,N,3.0,2,700.0,65.0,14.0,65.0,14.0,4.0,4.0,22.0,22.0
Ayo Jabe (tier 2),CRCotN,190.0,humanoid,unique,N,5.0,3,1800.0,97.5,15.0,97.5,15.0,6.0,6.0,36.0,36.0
Ayo Jabe (tier 3),CRCotN,192.0,humanoid,unique,N,8.0,3,3900.0,150.0,17.0,150.0,17.0,8.0,8.0,54.0,54.0
Azbara Jos,HotDQ,88.0,humanoid,unique,N,4.0,2,1100.0,39.0,16.0,39.0,21.0,5.0,5.0,56.0,56.0
Azer,MM,22.0,elemental,generic,N,2.0,2,450.0,39.0,17.0,39.0,17.0,5.0,5.0,10.0,10.0
B’rohg,SAiS:BAM,16.0,giant,generic,N,6.0,3,2300.0,92.0,14.0,92.0,14.0,8.0,8.0,48.0,48.0
Baaz Draconian,DSotDQ,197.0,monstrosity,generic,N,0.5,2,100.0,22.0,14.0,22.0,14.0,3.0,3.0,9.0,9.0
Baba Lysaga,CoS,228.0,humanoid,unique,N,11.0,4,7200.0,120.0,15.0,120.0,15.0,9.0,9.0,83.333336,83.333336
Baba Lysaga's Creeping Hut,CoS,226.0,construct,unique,N,11.0,4,7200.0,263.5,16.0,263.5,16.0,12.0,12.0,90.0,90.0
Babau,MPMotM,52.0,fiend,generic,N,4.0,2,1100.0,82.5,16.0,183.0,16.0,6.0,6.0,18.0,18.0
Babau,VGtM,136.0,fiend,legacy,N,4.0,2,1100.0,82.5,16.0,183.0,16.0,6.0,6.0,17.0,17.0
Bael,MPMotM,54.0,fiend,unique,L,19.0,6,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,120.0,120.0
Bael,MToF,170.0,fiend,legacy,L,19.0,6,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,88.5,88.5
Baernaloth,PAitM:MPP,20.0,fiend,legendary,L,17.0,6,18000.0,256.5,17.0,416.5,19.0,10.0,10.0,97.666664,111.0
Baernaloth,PAitM:MPP,20.0,fiend,legendary,LL,18.0,6,20000.0,256.5,17.0,521.5,19.0,10.0,10.0,105.0,118.333336
Bag Jelly,BPGotG,120.0,ooze,generic,N,1.0,2,200.0,42.5,8.0,42.5,8.0,3.0,3.0,8.0,8.0
"Bahamut, Aspect of",FToD,165.0,dragon,unique,L,30.0,9,155000.0,585.0,23.0,918.8,25.0,19.0,19.0,172.33333,172.33333
Bak Mei,CM,168.0,humanoid,unique,L,13.0,5,10000.0,102.0,17.0,304.5,21.0,9.0,9.0,66.0,66.0
Bakunawa,JttRC,147.0,dragon,legendary,L,12.0,4,8400.0,150.0,15.0,240.0,17.0,9.0,9.0,79.0,86.0
Balhannoth,MPMotM,55.0,aberration,legendary,LL,11.0,4,7200.0,114.0,17.0,174.0,19.0,7.0,7.0,98.0,98.0
Balhannoth,MToF,118.0,aberration,legacy,LL,11.0,4,7200.0,114.0,17.0,174.0,19.0,7.0,7.0,120.0,120.0
Balor,MM,55.0,fiend,generic,N,19.0,6,22000.0,262.5,19.0,262.5,23.0,14.0,14.0,125.666664,125.666664
Banderhobb,MPMotM,56.0,monstrosity,generic,N,5.0,3,1800.0,84.0,15.0,84.0,19.0,8.0,8.0,29.5,29.5
Banderhobb,VGtM,122.0,monstrosity,legacy,N,5.0,3,1800.0,84.0,15.0,84.0,19.0,8.0,8.0,33.0,33.0
Bandit,MM,343.0,humanoid,generic,N,0.125,2,25.0,11.0,12.0,11.0,12.0,3.0,3.0,5.5,5.5
Bandit Captain,MM,344.0,humanoid,generic,N,2.0,2,450.0,65.0,15.0,65.0,16.0,5.0,5.0,18.5,18.5
Banshee,MM,23.0,undead,generic,N,4.0,2,1100.0,58.5,12.0,145.0,14.0,4.0,4.0,21.333334,21.333334
Baphomet,MPMotM,58.0,fiend,unique,LL,23.0,7,50000.0,319.0,22.0,511.3,26.0,17.0,17.0,136.5,136.5
Baphomet,MToF,143.0,fiend,legacy,LL,23.0,7,50000.0,275.5,22.0,456.3,26.0,17.0,17.0,153.33333,153.33333
Baphomet,OotA,235.0,fiend,unique,LL,23.0,7,50000.0,333.5,22.0,528.8,26.0,17.0,17.0,171.33333,171.33333
Bard,MPMotM,59.0,humanoid,generic,N,2.0,2,450.0,44.0,15.0,44.0,17.0,4.0,4.0,19.333334,19.333334
Bard,VGtM,211.0,humanoid,legacy,N,2.0,2,450.0,44.0,15.0,44.0,17.0,4.0,4.0,27.0,27.0
Barghest,MPMotM,60.0,fiend,generic,N,4.0,2,1100.0,60.0,17.0,120.0,17.0,6.0,6.0,21.5,21.5
Barghest,VGtM,123.0,fiend,legacy,N,4.0,2,1100.0,90.0,17.0,180.0,17.0,6.0,6.0,13.0,13.0
Bariaur Wanderer,PAitM:MPP,21.0,celestial,generic,N,3.0,2,700.0,71.5,14.0,71.5,14.0,6.0,6.0,19.0,19.0
Barkburr,QftIS,195.0,plant,generic,N,3.0,2,700.0,52.0,16.0,67.0,16.0,5.0,5.0,25.0,25.0
Barlgura,MM,56.0,fiend,generic,N,5.0,3,1800.0,68.0,15.0,102.0,15.0,7.0,7.0,29.0,29.0
Barnibus Blastwind,WDH,195.0,humanoid,unique,N,2.0,2,450.0,24.5,10.0,24.5,18.0,5.0,5.0,16.0,16.0
Barovian Witch,CoS,229.0,humanoid,generic,N,0.5,2,100.0,16.5,10.0,16.5,10.0,4.0,4.0,11.666667,11.666667
Barrowghast,BPGotG,121.0,undead,generic,N,7.0,3,2900.0,138.0,12.0,138.0,13.0,8.0,8.0,46.5,46.5
Basilisk,MM,24.0,monstrosity,generic,N,3.0,2,700.0,52.0,15.0,52.0,19.0,5.0,9.0,17.0,17.0
Bastian Thermandar,PotA,201.0,humanoid,unique,N,8.0,3,3900.0,78.0,15.0,78.0,20.0,5.0,5.0,64.666664,64.666664
Battleforce Angle,GGtR,189.0,celestial,generic,N,5.0,3,1800.0,66.0,18.0,66.0,20.0,6.0,6.0,52.0,52.0
Bavlorna Blightstraw,TWBtW,216.0,fey,unique,N,7.0,3,2900.0,110.5,15.0,130.5,17.0,8.0,8.0,37.0,47.5
"Bear, Brown",MM,319.0,beast,generic,N,1.0,2,200.0,34.0,11.0,34.0,11.0,6.0,6.0,20.0,20.0
"Bear, Polar",MM,334.0,beast,generic,N,2.0,2,450.0,42.5,12.0,42.5,12.0,7.0,7.0,21.0,21.0
Behir,MM,25.0,monstrosity,generic,N,11.0,4,7200.0,168.0,17.0,168.0,17.0,10.0,10.0,81.666664,81.666664
Beholder,MM,28.0,aberration,legendary,L,13.0,5,10000.0,180.5,18.0,180.5,20.0,8.0,8.0,136.0,136.0
Beholder,MM,28.0,aberration,legendary,LL,14.0,5,11500.0,180.5,18.0,180.5,20.0,8.0,8.0,181.0,181.0
Beholder Zombie,MM,316.0,undead,generic,N,5.0,3,1800.0,93.5,15.0,107.0,15.0,6.0,6.0,45.0,45.0
Bel,BGDiA,115.0,fiend,unique,L,25.0,8,75000.0,364.5,19.0,454.5,23.0,16.0,16.0,307.33334,307.33334
Belashyrra,ERftLW,286.0,aberration,unique,L,22.0,7,41000.0,304.0,19.0,454.0,23.0,14.0,14.0,134.0,134.0
Belashyrra,ERftLW,286.0,aberration,unique,LL,23.0,7,50000.0,304.0,19.0,454.0,23.0,14.0,14.0,158.0,158.0
Beledros Witherbloom,SACoC,186.0,dragon,unique,L,24.0,7,62000.0,444.0,22.0,570.0,24.0,16.0,18.0,116.666664,116.666664
Berbalang,MPMotM,61.0,aberration,generic,N,2.0,2,450.0,49.0,14.0,49.0,14.0,5.0,5.0,21.0,21.0
Berbalang,MToF,120.0,aberration,legacy,N,2.0,2,450.0,38.5,14.0,38.5,14.0,5.0,5.0,16.5,16.5
