Book,Page,Type,Category,Legendary,CR,PB,Size,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save
MToF,130.0,fiend,legacy,N,11.0,4.0,medium,12.0,19.0,22.0,6.0,11.0,7.0,1.0,4.0,6.0,-2.0,0.0,-2.0,False,True,True,False,False,False,1.0,8.0,10.0,-2.0,0.0,-2.0
MPMotM,45.0,undead,generic,N,5.0,3.0,medium,6.0,17.0,10.0,17.0,15.0,16.0,-2.0,3.0,0.0,3.0,2.0,3.0,False,False,False,True,True,False,-2.0,3.0,0.0,6.0,5.0,3.0
MToF,116.0,undead,legacy,N,5.0,3.0,medium,6.0,17.0,10.0,17.0,15.0,16.0,-2.0,3.0,0.0,3.0,2.0,3.0,False,False,False,True,True,False,-2.0,3.0,0.0,6.0,5.0,3.0
MM,79.0,beast,generic,N,2.0,2.0,large,19.0,13.0,17.0,2.0,12.0,5.0,4.0,1.0,3.0,-4.0,1.0,-3.0,False,False,False,False,False,False,4.0,1.0,3.0,-4.0,1.0,-3.0
MOoT,235.0,fey,generic,N,1.0,2.0,medium,15.0,10.0,12.0,13.0,14.0,18.0,2.0,0.0,1.0,1.0,2.0,4.0,False,False,False,False,False,False,2.0,0.0,1.0,1.0,2.0,4.0
CRCotN,195.0,aberration,unique,L,12.0,4.0,large,21.0,9.0,15.0,18.0,18.0,18.0,5.0,-1.0,2.0,4.0,4.0,4.0,False,False,True,True,True,False,5.0,-1.0,6.0,8.0,8.0,4.0
CRCotN,182.0,humanoid,unique,LL,14.0,5.0,medium,19.0,15.0,18.0,13.0,14.0,19.0,4.0,2.0,4.0,1.0,2.0,4.0,True,False,True,False,True,False,9.0,2.0,9.0,1.0,7.0,4.0
CRCotN,179.0,celestial,unique,LL,12.0,4.0,large,23.0,18.0,21.0,15.0,16.0,20.0,6.0,4.0,5.0,2.0,3.0,5.0,True,False,True,False,True,False,10.0,4.0,9.0,2.0,7.0,5.0
CRCotN,179.0,celestial,unique,LL,12.0,4.0,large,23.0,18.0,21.0,15.0,16.0,20.0,6.0,4.0,5.0,2.0,3.0,5.0,True,False,True,False,True,False,10.0,4.0,9.0,2.0,7.0,5.0
CRCotN,180.0,humanoid,unique,LL,13.0,5.0,medium,19.0,15.0,18.0,13.0,14.0,20.0,4.0,2.0,4.0,1.0,2.0,5.0,True,False,True,False,True,False,9.0,2.0,9.0,1.0,7.0,5.0
CRCotN,180.0,humanoid,unique,LL,13.0,5.0,medium,19.0,15.0,18.0,13.0,14.0,20.0,4.0,2.0,4.0,1.0,2.0,5.0,True,False,True,False,True,False,9.0,2.0,9.0,1.0,7.0,5.0
CRCotN,179.0,aberration,unique,LL,11.0,4.0,huge,21.0,18.0,22.0,15.0,16.0,20.0,5.0,4.0,6.0,2.0,3.0,5.0,True,False,True,False,True,False,9.0,4.0,10.0,2.0,7.0,5.0
CRCotN,179.0,aberration,unique,LL,11.0,4.0,huge,21.0,18.0,22.0,15.0,16.0,20.0,5.0,4.0,6.0,2.0,3.0,5.0,True,False,True,False,True,False,9.0,4.0,10.0,2.0,7.0,5.0
FToD,162.0,dragon,generic,N,4.0,2.0,medium,19.0,10.0,17.0,16.0,13.0,17.0,4.0,0.0,3.0,3.0,1.0,3.0,False,True,True,False,True,True,4.0,2.0,5.0,3.0,3.0,5.0
FToD,161.0,dragon,legendary,L,16.0,5.0,huge,25.0,14.0,25.0,20.0,17.0,21.0,7.0,2.0,7.0,5.0,3.0,5.0,False,True,True,False,True,True,7.0,7.0,12.0,5.0,8.0,10.0
FToD,161.0,dragon,legendary,LL,17.0,6.0,huge,25.0,14.0,25.0,20.0,17.0,21.0,7.0,2.0,7.0,5.0,3.0,5.0,False,True,True,False,True,True,7.0,7.0,12.0,5.0,8.0,10.0
FToD,160.0,dragon,legendary,L,23.0,7.0,gargantuan,26.0,14.0,27.0,26.0,19.0,23.0,8.0,2.0,8.0,8.0,4.0,6.0,False,True,True,False,True,True,8.0,9.0,15.0,8.0,11.0,13.0
FToD,160.0,dragon,legendary,LL,24.0,7.0,gargantuan,26.0,14.0,27.0,26.0,19.0,23.0,8.0,2.0,8.0,8.0,4.0,6.0,False,True,True,False,True,True,8.0,9.0,15.0,8.0,11.0,13.0
FToD,161.0,dragon,generic,N,9.0,4.0,large,21.0,12.0,21.0,18.0,15.0,19.0,5.0,1.0,5.0,4.0,2.0,4.0,False,True,True,False,True,True,5.0,5.0,9.0,4.0,6.0,8.0
FToD,201.0,dragon,legendary,L,26.0,8.0,gargantuan,28.0,14.0,29.0,30.0,24.0,25.0,9.0,2.0,9.0,10.0,7.0,7.0,False,True,True,False,True,True,9.0,10.0,17.0,10.0,15.0,15.0
WBtW,135.0,plant,unique,N,0.5,2.0,small,6.0,15.0,10.0,13.0,12.0,17.0,-2.0,2.0,0.0,1.0,1.0,3.0,True,True,True,False,True,False,0.0,4.0,2.0,1.0,3.0,3.0
WDH,193.0,humanoid,unique,N,5.0,3.0,medium,9.0,14.0,11.0,17.0,12.0,15.0,-1.0,2.0,0.0,3.0,1.0,2.0,False,False,False,True,True,False,-1.0,2.0,0.0,6.0,4.0,2.0
MPMotM,46.0,fiend,generic,N,18.0,6.0,medium,11.0,13.0,16.0,20.0,12.0,18.0,0.0,1.0,3.0,5.0,1.0,4.0,False,True,True,False,True,True,0.0,7.0,9.0,5.0,7.0,10.0
MToF,163.0,fiend,legacy,N,18.0,6.0,medium,11.0,13.0,16.0,20.0,12.0,18.0,0.0,1.0,3.0,5.0,1.0,4.0,False,True,True,False,True,True,0.0,7.0,9.0,5.0,7.0,10.0
TftYP,84.0,beast,generic,N,3.0,2.0,huge,19.0,14.0,12.0,1.0,10.0,3.0,4.0,2.0,1.0,-5.0,0.0,-4.0,False,False,False,False,False,False,4.0,2.0,1.0,-5.0,0.0,-4.0
GoS,230.0,monstrosity,generic,N,0.5,2.0,medium,14.0,18.0,12.0,3.0,10.0,3.0,2.0,4.0,1.0,-4.0,0.0,-4.0,False,False,False,False,False,False,2.0,4.0,1.0,-4.0,0.0,-4.0
BGDiA,30.0,humanoid,unique,N,3.0,2.0,medium,12.0,18.0,12.0,14.0,14.0,15.0,1.0,4.0,1.0,2.0,2.0,2.0,False,False,False,False,False,False,1.0,4.0,1.0,2.0,2.0,2.0
GGtR,239.0,humanoid,generic,N,0.25,2.0,medium,14.0,13.0,12.0,9.0,11.0,10.0,2.0,1.0,1.0,-1.0,0.0,0.0,False,False,False,False,False,False,2.0,1.0,1.0,-1.0,0.0,0.0
GGtR,191.0,celestial,generic,N,14.0,5.0,medium,16.0,18.0,14.0,19.0,20.0,23.0,3.0,4.0,2.0,4.0,5.0,6.0,False,False,False,True,True,True,3.0,4.0,2.0,9.0,10.0,11.0
MM,16.0,celestial,generic,N,10.0,4.0,medium,18.0,18.0,18.0,17.0,20.0,20.0,4.0,4.0,4.0,3.0,5.0,5.0,False,False,False,False,True,True,4.0,4.0,4.0,3.0,9.0,9.0
GGtR,190.0,celestial,generic,N,12.0,4.0,medium,22.0,15.0,17.0,12.0,14.0,23.0,6.0,2.0,3.0,1.0,2.0,6.0,True,False,False,False,True,True,10.0,2.0,3.0,1.0,6.0,10.0
MM,17.0,celestial,generic,N,16.0,5.0,large,24.0,20.0,24.0,19.0,22.0,25.0,7.0,5.0,7.0,4.0,6.0,7.0,False,False,True,False,True,True,7.0,5.0,12.0,4.0,11.0,12.0
MPMotM,222.0,monstrosity,generic,N,13.0,5.0,medium,17.0,10.0,19.0,8.0,13.0,6.0,3.0,0.0,4.0,-1.0,1.0,-2.0,False,False,False,False,False,False,3.0,0.0,4.0,-1.0,1.0,-2.0
MToF,231.0,monstrosity,legacy,N,13.0,5.0,medium,17.0,10.0,19.0,8.0,13.0,6.0,3.0,0.0,4.0,-1.0,1.0,-2.0,False,False,False,False,False,False,3.0,0.0,4.0,-1.0,1.0,-2.0
MM,19.0,construct,generic,N,1.0,2.0,medium,14.0,11.0,13.0,1.0,3.0,1.0,2.0,0.0,1.0,-5.0,-4.0,-5.0,False,False,False,False,False,False,2.0,0.0,1.0,-5.0,-4.0,-5.0
FToD,163.0,elemental,generic,N,6.0,3.0,large,19.0,11.0,18.0,6.0,10.0,5.0,4.0,0.0,4.0,-2.0,0.0,-3.0,False,False,False,False,False,False,4.0,0.0,4.0,-2.0,0.0,-3.0
FToD,163.0,elemental,generic,N,6.0,3.0,large,19.0,11.0,18.0,6.0,10.0,5.0,4.0,0.0,4.0,-2.0,0.0,-3.0,False,False,False,False,False,False,4.0,0.0,4.0,-2.0,0.0,-3.0
FToD,163.0,elemental,generic,N,6.0,3.0,large,19.0,11.0,18.0,6.0,10.0,5.0,4.0,0.0,4.0,-2.0,0.0,-3.0,False,False,False,False,False,False,4.0,0.0,4.0,-2.0,0.0,-3.0
FToD,163.0,elemental,generic,N,6.0,3.0,large,19.0,11.0,18.0,6.0,10.0,5.0,4.0,0.0,4.0,-2.0,0.0,-3.0,False,False,False,False,False,False,4.0,0.0,4.0,-2.0,0.0,-3.0
FToD,163.0,elemental,generic,N,6.0,3.0,large,19.0,11.0,18.0,6.0,10.0,5.0,4.0,0.0,4.0,-2.0,0.0,-3.0,False,False,False,False,False,False,4.0,0.0,4.0,-2.0,0.0,-3.0
CM,20.0,construct,generic,N,0.25,2.0,small,10.0,17.0,10.0,1.0,5.0,1.0,0.0,3.0,0.0,-5.0,-3.0,-5.0,False,False,False,False,False,False,0.0,3.0,0.0,-5.0,-3.0,-5.0
CM,24.0,construct,generic,N,1.0,2.0,large,15.0,8.0,14.0,1.0,5.0,1.0,2.0,-1.0,2.0,-5.0,-3.0,-5.0,False,False,False,False,False,False,2.0,-1.0,2.0,-5.0,-3.0,-5.0
EGtW,248.0,construct,generic,N,0.125,2.0,tiny,12.0,15.0,11.0,1.0,5.0,1.0,1.0,2.0,0.0,-5.0,-3.0,-5.0,False,True,False,False,False,False,1.0,4.0,0.0,-5.0,-3.0,-5.0
WDotMM,262.0,construct,unique,N,4.0,2.0,medium,12.0,12.0,10.0,18.0,14.0,10.0,1.0,1.0,0.0,4.0,2.0,0.0,False,False,False,False,False,False,1.0,1.0,0.0,4.0,2.0,0.0
TftYP,230.0,construct,generic,N,2.0,2.0,large,18.0,8.0,13.0,1.0,3.0,1.0,4.0,-1.0,1.0,-5.0,-4.0,-5.0,False,False,False,False,False,False,4.0,-1.0,1.0,-5.0,-4.0,-5.0
MM,21.0,monstrosity,generic,N,2.0,2.0,large,17.0,11.0,13.0,1.0,13.0,6.0,3.0,0.0,1.0,-5.0,1.0,-2.0,False,False,False,False,False,False,3.0,0.0,1.0,-5.0,1.0,-2.0
MM,79.0,beast,generic,N,3.0,2.0,huge,19.0,11.0,15.0,2.0,12.0,5.0,4.0,0.0,2.0,-4.0,1.0,-3.0,False,False,False,False,False,False,4.0,0.0,2.0,-4.0,1.0,-3.0
ToA,240.0,undead,generic,N,3.0,2.0,huge,19.0,9.0,15.0,2.0,6.0,3.0,4.0,-1.0,2.0,-4.0,-2.0,-4.0,False,False,False,False,False,False,4.0,-1.0,2.0,-4.0,-2.0,-4.0
MPMotM,47.0,fey,generic,N,6.0,3.0,large,21.0,12.0,14.0,13.0,14.0,15.0,5.0,1.0,2.0,1.0,2.0,2.0,False,False,True,False,False,False,5.0,1.0,5.0,1.0,2.0,2.0
VGtM,159.0,fey,legacy,N,6.0,3.0,large,21.0,12.0,14.0,13.0,14.0,15.0,5.0,1.0,2.0,1.0,2.0,2.0,False,False,True,False,False,False,5.0,1.0,5.0,1.0,2.0,2.0
MOoT,209.0,construct,generic,N,0.5,2.0,tiny,12.0,16.0,14.0,3.0,14.0,1.0,1.0,3.0,2.0,-4.0,2.0,-5.0,False,False,False,False,False,False,1.0,3.0,2.0,-4.0,2.0,-5.0
MM,317.0,beast,generic,N,0.5,2.0,medium,16.0,14.0,14.0,6.0,12.0,7.0,3.0,2.0,2.0,-2.0,1.0,-2.0,False,False,False,False,False,False,3.0,2.0,2.0,-2.0,1.0,-2.0
MM,323.0,beast,generic,N,7.0,3.0,huge,23.0,14.0,18.0,7.0,12.0,7.0,6.0,2.0,4.0,-2.0,1.0,-2.0,False,False,False,False,False,False,6.0,2.0,4.0,-2.0,1.0,-2.0
MOoT,226.0,monstrosity,unique,N,5.0,3.0,medium,13.0,16.0,15.0,13.0,14.0,16.0,1.0,3.0,2.0,1.0,2.0,3.0,False,True,False,False,False,True,1.0,6.0,2.0,1.0,2.0,6.0
MPMotM,259.0,humanoid,generic,N,0.25,2.0,medium,10.0,10.0,10.0,14.0,10.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2.0,0.0,0.0
VGtM,209.0,humanoid,legacy,N,0.25,2.0,medium,10.0,10.0,10.0,14.0,10.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2.0,0.0,0.0
MOoT,248.0,monstrosity,unique,LL,21.0,7.0,huge,24.0,16.0,23.0,15.0,22.0,17.0,7.0,3.0,6.0,2.0,6.0,3.0,False,True,True,False,True,False,7.0,10.0,13.0,2.0,13.0,3.0
MM,313.0,fiend,generic,N,12.0,4.0,medium,17.0,12.0,14.0,20.0,16.0,17.0,3.0,1.0,2.0,5.0,3.0,3.0,False,True,False,True,True,True,3.0,5.0,2.0,9.0,7.0,7.0
SaCoC,184.0,celestial,legendary,L,18.0,6.0,gargantuan,25.0,10.0,24.0,27.0,24.0,20.0,7.0,0.0,7.0,8.0,7.0,5.0,False,True,False,True,True,True,7.0,6.0,7.0,14.0,13.0,11.0
MPMotM,48.0,humanoid,generic,N,12.0,4.0,medium,14.0,14.0,12.0,12.0,20.0,11.0,2.0,2.0,1.0,1.0,5.0,0.0,False,False,False,True,True,False,2.0,2.0,1.0,5.0,9.0,0.0
VGtM,210.0,humanoid,legacy,N,12.0,4.0,medium,10.0,14.0,12.0,12.0,20.0,11.0,0.0,2.0,1.0,1.0,5.0,0.0,False,False,False,True,True,False,0.0,2.0,1.0,5.0,9.0,0.0
MPMotM,49.0,humanoid,generic,N,3.0,2.0,medium,11.0,18.0,16.0,11.0,13.0,10.0,0.0,4.0,3.0,0.0,1.0,0.0,False,False,False,False,False,False,0.0,4.0,3.0,0.0,1.0,0.0
VGtM,210.0,humanoid,legacy,N,3.0,2.0,medium,11.0,18.0,16.0,11.0,13.0,10.0,0.0,4.0,3.0,0.0,1.0,0.0,False,False,False,False,False,False,0.0,4.0,3.0,0.0,1.0,0.0
MM,342.0,humanoid,generic,N,12.0,4.0,medium,10.0,14.0,12.0,20.0,15.0,16.0,0.0,2.0,1.0,5.0,2.0,3.0,False,False,False,True,True,False,0.0,2.0,1.0,9.0,6.0,3.0
MOoT,212.0,celestial,legendary,L,12.0,4.0,medium,20.0,15.0,19.0,15.0,21.0,19.0,5.0,2.0,4.0,2.0,5.0,4.0,True,False,True,False,True,True,9.0,2.0,8.0,2.0,9.0,8.0
GGtR,192.0,celestial,legendary,L,14.0,5.0,medium,20.0,15.0,19.0,15.0,21.0,18.0,5.0,2.0,4.0,2.0,5.0,4.0,False,False,True,False,True,True,5.0,2.0,9.0,2.0,10.0,9.0
GGtR,193.0,elemental,generic,N,12.0,4.0,medium,15.0,22.0,17.0,5.0,12.0,7.0,2.0,6.0,3.0,-3.0,1.0,-2.0,False,True,False,False,False,False,2.0,10.0,3.0,-3.0,1.0,-2.0
WDotMM,296.0,undead,unique,L,21.0,7.0,medium,11.0,16.0,16.0,20.0,14.0,16.0,0.0,3.0,3.0,5.0,2.0,3.0,False,False,True,True,True,False,0.0,3.0,10.0,12.0,9.0,3.0
BGDiA,111.0,humanoid,unique,N,16.0,5.0,medium,20.0,12.0,18.0,10.0,10.0,18.0,5.0,1.0,4.0,0.0,0.0,4.0,False,False,False,False,True,True,5.0,1.0,4.0,0.0,5.0,9.0
MPMotM,50.0,fiend,generic,N,7.0,3.0,large,21.0,18.0,21.0,8.0,12.0,13.0,5.0,4.0,5.0,-1.0,1.0,1.0,False,False,False,False,False,False,5.0,4.0,5.0,-1.0,1.0,1.0
MToF,130.0,fiend,legacy,N,7.0,3.0,large,21.0,18.0,21.0,8.0,12.0,13.0,5.0,4.0,5.0,-1.0,1.0,1.0,False,False,False,False,False,False,5.0,4.0,5.0,-1.0,1.0,1.0
CM,157.0,humanoid,unique,N,11.0,4.0,medium,10.0,18.0,16.0,16.0,15.0,20.0,0.0,4.0,3.0,3.0,2.0,5.0,False,False,False,True,True,True,0.0,4.0,3.0,7.0,6.0,9.0
SaCoC,185.0,elemental,generic,N,0.25,2.0,small,6.0,13.0,12.0,8.0,11.0,15.0,-2.0,1.0,1.0,-1.0,0.0,2.0,False,False,False,False,False,False,-2.0,1.0,1.0,-1.0,0.0,2.0
ToA,212.0,humanoid,unique,N,7.0,3.0,medium,10.0,15.0,13.0,17.0,16.0,18.0,0.0,2.0,1.0,3.0,3.0,4.0,False,True,False,False,False,True,0.0,5.0,1.0,3.0,3.0,7.0
MOoT,213.0,celestial,legendary,L,16.0,5.0,medium,20.0,16.0,19.0,15.0,21.0,18.0,5.0,3.0,4.0,2.0,5.0,4.0,True,False,True,False,True,True,10.0,3.0,9.0,2.0,10.0,9.0
MM,343.0,humanoid,generic,N,8.0,3.0,medium,11.0,16.0,14.0,13.0,11.0,10.0,0.0,3.0,2.0,1.0,0.0,0.0,False,True,False,True,False,False,0.0,6.0,2.0,4.0,0.0,0.0
ToA,213.0,plant,generic,N,3.0,2.0,large,18.0,10.0,16.0,1.0,10.0,1.0,4.0,0.0,3.0,-5.0,0.0,-5.0,False,False,False,False,False,False,4.0,0.0,3.0,-5.0,0.0,-5.0
MPMotM,51.0,monstrosity,legendary,L,21.0,7.0,gargantuan,28.0,7.0,25.0,5.0,14.0,18.0,9.0,-2.0,7.0,-3.0,2.0,4.0,False,True,False,False,True,False,9.0,5.0,7.0,-3.0,9.0,4.0
MToF,117.0,monstrosity,legacy,L,21.0,7.0,gargantuan,28.0,7.0,25.0,5.0,14.0,18.0,9.0,-2.0,7.0,-3.0,2.0,4.0,False,True,False,False,True,False,9.0,5.0,7.0,-3.0,9.0,4.0
ToA,214.0,undead,legendary,L,13.0,5.0,huge,19.0,5.0,22.0,25.0,19.0,24.0,4.0,-3.0,6.0,7.0,4.0,7.0,False,False,True,False,True,False,4.0,-3.0,11.0,7.0,9.0,7.0
GGtR,230.0,celestial,unique,L,23.0,7.0,medium,26.0,24.0,25.0,17.0,25.0,30.0,8.0,7.0,7.0,3.0,7.0,10.0,False,True,True,False,False,True,8.0,14.0,14.0,3.0,7.0,17.0
IDRotF,275.0,monstrosity,unique,LL,9.0,4.0,medium,14.0,16.0,21.0,24.0,26.0,28.0,2.0,3.0,5.0,7.0,8.0,9.0,False,False,True,False,True,False,2.0,3.0,9.0,7.0,12.0,9.0
IDRotF,277.0,elemental,unique,LL,10.0,4.0,large,16.0,16.0,21.0,24.0,26.0,28.0,3.0,3.0,5.0,7.0,8.0,9.0,False,False,True,False,True,False,3.0,3.0,9.0,7.0,12.0,9.0
IDRotF,278.0,elemental,unique,LL,11.0,4.0,small,1.0,12.0,21.0,24.0,26.0,28.0,-5.0,1.0,5.0,7.0,8.0,9.0,False,False,True,False,True,False,-5.0,1.0,9.0,7.0,12.0,9.0
MPMotM,71.0,beast,generic,N,2.0,2.0,large,20.0,10.0,19.0,2.0,12.0,5.0,5.0,0.0,4.0,-4.0,1.0,-3.0,False,False,False,False,False,False,5.0,0.0,4.0,-4.0,1.0,-3.0
VGtM,208.0,beast,legacy,N,2.0,2.0,large,20.0,10.0,19.0,2.0,12.0,5.0,5.0,0.0,4.0,-4.0,1.0,-3.0,False,False,False,False,False,False,5.0,0.0,4.0,-4.0,1.0,-3.0
