Book,Page,Size,Type,CR,PB,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save
Basic Rules,162,Medium,Humanoid,0.25,2,10,10,10,10,14,11,0,0,0,0,2,0,0,0,0,0,2,0
Fizban's Treasury of Dragons,161,Huge,Dragon,16.0,5,25,14,25,20,17,21,7,2,7,5,3,5,7,7,12,5,8,10
Basic Rules,281,Huge,Dragon,14.0,5,23,14,21,14,13,17,6,2,5,2,1,3,6,7,10,2,6,8
Monster Manual,84,Huge,Undead,17.0,6,25,10,23,16,15,19,7,0,6,3,2,4,7,6,12,3,8,10
Basic Rules,283,Huge,Dragon,16.0,5,25,10,23,16,15,19,7,0,6,3,2,4,7,5,11,3,7,9
Basic Rules,291,Huge,Dragon,13.0,5,23,10,21,14,13,17,6,0,5,2,1,3,6,5,10,2,6,8
Basic Rules,294,Huge,Dragon,15.0,5,25,10,23,16,15,19,7,0,6,3,2,4,7,5,11,3,7,9
Basic Rules,296,Huge,Dragon,14.0,5,23,12,21,18,15,17,6,1,5,4,2,3,6,6,10,4,7,8
Fizban's Treasury of Dragons,171,Huge,Dragon,12.0,4,21,12,21,18,15,19,5,1,5,4,2,4,5,5,9,4,6,8
Fizban's Treasury of Dragons,174,Huge,Dragon,11.0,4,20,14,18,16,16,18,5,2,4,3,3,4,5,6,8,3,7,8
Fizban's Treasury of Dragons,196,Huge,Dragon,14.0,5,23,12,21,18,16,18,6,1,5,4,3,4,6,6,10,4,8,9
Basic Rules,299,Huge,Dragon,17.0,6,27,14,25,16,15,24,8,2,7,3,2,7,8,8,13,3,8,13
Basic Rules,285,Huge,Dragon,15.0,5,23,12,21,18,15,17,6,1,5,4,2,3,6,6,10,4,7,8
Mordenkainen’s Tome of Foes,212,Medium,Monstrosity,2.0,2,15,16,15,7,12,8,2,3,2,-2,1,-1,2,3,2,-2,1,-1
Mordenkainen Presents: Monsters of the Multiverse,169,Medium,Monstrosity,2.0,2,15,16,15,7,12,8,2,3,2,-2,1,-1,2,3,2,-2,1,-1
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,34,Huge,Dragon,13.0,5,23,12,20,10,13,15,6,1,5,0,1,2,6,1,10,0,6,2
Fizban's Treasury of Dragons,212,Huge,Dragon,15.0,5,20,18,20,22,20,23,5,4,5,6,5,6,5,4,5,11,10,11
Mordenkainen Presents: Monsters of the Multiverse,198,Medium,Ooze,5.0,3,8,19,16,19,12,15,-1,4,3,4,1,2,-1,4,3,7,1,5
Mordenkainen’s Tome of Foes,218,Medium,Ooze,5.0,3,8,19,16,19,12,15,-1,4,3,4,1,2,-1,4,3,7,1,5
Basic Rules,115,Huge,Dragon,17.0,6,27,10,25,16,13,21,8,0,7,3,1,5,8,6,13,3,7,11
Fizban's Treasury of Dragons,215,Huge,Dragon,15.0,5,23,14,22,18,17,18,6,2,6,4,3,4,6,7,11,4,8,9
Basic Rules,302,Huge,Dragon,16.0,5,27,10,25,16,13,21,8,0,7,3,1,5,8,5,12,3,6,10
,,Huge,Dragon,14.0,5,24,15,22,15,16,14,7,2,6,2,3,2,7,7,11,2,8,7
Fizban's Treasury of Dragons,221,Huge,Dragon,13.0,5,19,12,19,18,17,18,4,1,4,4,3,4,4,6,9,4,8,9
Basic Rules,289,Huge,Dragon,13.0,5,22,10,22,8,12,12,6,0,6,-1,1,1,6,5,11,-1,6,6
Explorer's Guide to Wildemount,283,Large,Monstrosity,10.0,4,21,18,18,6,14,8,5,4,4,-2,2,-1,5,4,4,-2,6,3
Explorer's Guide to Wildemount,283,Large,Monstrosity,12.0,4,19,14,18,7,14,18,4,2,4,-2,2,4,4,2,4,-2,6,8
Explorer's Guide to Wildemount,284,Large,Monstrosity,8.0,3,21,16,18,6,14,8,5,3,4,-2,2,-1,5,3,4,-2,5,2
Princes of the Apocalypse,193,Medium,Humanoid,7.0,3,8,16,12,17,10,16,-1,3,1,3,0,3,-1,3,1,3,0,3
The Wild Beyond the Witchlight,73,Medium,Fey,2.0,2,11,20,11,11,14,16,0,5,0,0,2,3,0,7,0,0,4,3
,,Medium,Humanoid,9.0,4,20,15,14,15,14,12,5,2,2,2,2,1,9,2,6,2,2,1
Basic Rules,116,Large,Elemental,5.0,3,14,20,14,6,10,6,2,5,2,-2,0,-2,2,5,2,-2,0,-2
Princes of the Apocalypse,212,Medium,Elemental,7.0,3,18,14,14,9,10,10,4,2,2,-1,0,0,4,2,2,-1,0,0
Mordenkainen Presents: Monsters of the Multiverse,122,Medium,Elemental,7.0,3,18,14,14,9,10,10,4,2,2,-1,0,0,4,2,2,-1,0,0
Mythic Odysseys of Theros,228,Medium,Humanoid,3.0,2,16,16,14,11,14,13,3,3,2,0,2,1,5,5,2,0,2,1
,,Medium,Humanoid,0.25,2,13,13,17,12,14,11,1,1,3,1,2,0,1,1,3,1,2,0
,,Medium,Monstrosity,1.0,2,13,8,12,10,14,10,1,-1,1,0,2,0,1,-1,1,0,2,0
Volo's Guide to Monsters,172,Medium,Undead,10.0,4,11,12,16,19,17,17,0,1,3,4,3,3,0,1,7,8,7,7
Mordenkainen Presents: Monsters of the Multiverse,43,Medium,Undead,10.0,4,11,12,16,19,17,17,0,1,3,4,3,3,0,1,7,8,7,7
Mordenkainen Presents: Monsters of the Multiverse,44,Medium,Fiend,11.0,4,12,19,22,6,11,7,1,4,6,-2,0,-2,1,8,10,-2,0,-2
Mordenkainen’s Tome of Foes,130,Medium,Fiend,11.0,4,12,19,22,6,11,7,1,4,6,-2,0,-2,1,8,10,-2,0,-2
Mordenkainen’s Tome of Foes,116,Medium,Undead,5.0,3,6,17,10,17,15,16,-2,3,0,3,2,3,-2,3,0,6,5,3
Mordenkainen Presents: Monsters of the Multiverse,45,Medium,Undead,5.0,3,6,17,10,17,15,16,-2,3,0,3,2,3,-2,3,0,6,5,3
Basic Rules,116,Large,Beast,2.0,2,19,13,17,2,12,5,4,1,3,-4,1,-3,4,1,3,-4,1,-3
,,Small,Beast,0.0,2,2,16,10,2,14,10,-4,3,0,-4,2,0,-4,3,0,-4,2,0
Mythic Odysseys of Theros,235,Medium,Fey,1.0,2,15,10,12,13,14,18,2,0,1,1,2,4,2,0,1,1,2,4
Critical Role: Call of the Netherdeep,195,Large,Aberration,12.0,4,21,9,15,18,18,18,5,-1,2,4,4,4,5,-1,6,8,8,4
Critical Role: Call of the Netherdeep,182,Medium,Humanoid,14.0,5,19,15,18,13,14,19,4,2,4,1,2,4,9,2,9,1,7,4
Critical Role: Call of the Netherdeep,179,Large,Celestial,12.0,4,23,18,21,15,16,20,6,4,5,2,3,5,10,4,9,2,7,5
Critical Role: Call of the Netherdeep,180,Medium,Humanoid,13.0,5,19,15,18,13,14,20,4,2,4,1,2,5,9,2,9,1,7,5
Critical Role: Call of the Netherdeep,178,Huge,Aberration,11.0,4,21,18,22,15,16,20,5,4,6,2,3,5,9,4,10,2,7,5
,,Medium,Humanoid,10.0,4,14,10,16,10,18,14,2,0,3,0,4,2,3,1,4,5,9,3
,,Medium,Dragon,0.5,2,13,15,14,4,11,6,1,2,2,-3,0,-2,1,2,2,-3,0,-2
Fizban's Treasury of Dragons,162,Medium,Dragon,4.0,2,19,10,17,16,13,17,4,0,3,3,1,3,4,2,5,3,3,5
The Wild Beyond the Witchlight,135,Small,Plant,0.5,2,6,15,10,13,12,17,-2,2,0,1,1,3,0,4,2,1,3,3
,,Medium,Humanoid,5.0,3,9,14,11,17,12,15,-1,2,0,3,1,2,-1,2,0,6,4,2
Mordenkainen’s Tome of Foes,163,Medium,Fiend,18.0,6,11,13,16,20,12,18,0,1,3,5,1,4,0,7,9,5,7,10
Mordenkainen Presents: Monsters of the Multiverse,46,Medium,Fiend,18.0,6,11,13,16,20,12,18,0,1,3,5,1,4,0,7,9,5,7,10
,,Medium,Monstrosity,0.5,2,14,18,12,3,10,3,2,4,1,-4,0,-4,2,4,1,-4,0,-4
Baldur's Gate: Descent into Avernus,30,Medium,Humanoid,3.0,2,12,18,12,14,14,15,1,4,1,2,2,2,1,4,1,2,2,2
Guildmasters' Guide to Ravnica,239,Small or Medium,Humanoid,0.25,2,14,13,12,9,11,10,2,1,1,-1,0,0,2,1,1,-1,0,0
,,Medium,Humanoid,3.0,2,16,13,14,9,15,12,3,1,2,-1,2,1,3,1,2,-1,2,1
Fizban's Treasury of Dragons,160,Gargantuan,Dragon,23.0,7,26,14,27,26,19,23,8,2,8,8,4,6,8,9,15,8,11,13
Basic Rules,280,Gargantuan,Dragon,21.0,7,27,14,25,16,15,19,8,2,7,3,2,4,8,9,14,3,9,11
Basic Rules,282,Gargantuan,Dragon,23.0,7,29,10,27,18,17,21,9,0,8,4,3,5,9,7,15,4,10,12
Basic Rules,290,Gargantuan,Dragon,20.0,6,27,10,25,16,15,19,8,0,7,3,2,4,8,6,13,3,8,10
Basic Rules,293,Gargantuan,Dragon,22.0,7,29,10,27,18,17,21,9,0,8,4,3,5,9,7,15,4,10,12
Basic Rules,295,Gargantuan,Dragon,21.0,7,27,12,25,20,17,19,8,1,7,5,3,4,8,8,14,5,10,11
Fizban's Treasury of Dragons,170,Gargantuan,Dragon,19.0,6,25,12,26,20,16,21,7,1,8,5,3,5,7,7,14,5,9,11
Acquisitions Incorporated,211,Huge,Monstrosity,15.0,5,23,16,23,10,15,19,6,3,6,0,2,4,6,3,11,0,7,4
Fizban's Treasury of Dragons,173,Gargantuan,Dragon,18.0,6,23,16,20,19,18,21,6,3,5,4,4,5,6,9,11,4,10,11
Fizban's Treasury of Dragons,191,Gargantuan,Dragon,24.0,7,28,12,29,14,19,15,9,1,9,2,4,2,9,8,16,2,11,2
Fizban's Treasury of Dragons,195,Gargantuan,Dragon,21.0,7,25,12,25,20,18,20,7,1,7,5,4,5,7,8,14,5,11,12
Basic Rules,298,Gargantuan,Dragon,24.0,7,30,14,29,18,17,28,10,2,9,4,3,9,10,9,16,4,10,16
Basic Rules,284,Gargantuan,Dragon,22.0,7,27,12,25,20,17,19,8,1,7,5,3,4,8,8,14,5,10,11
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,32,Gargantuan,Dragon,19.0,6,27,12,24,12,15,17,8,1,7,1,2,3,8,1,13,1,8,3
Fizban's Treasury of Dragons,211,Gargantuan,Dragon,21.0,7,22,18,23,20,22,26,6,4,6,5,6,8,6,4,6,12,13,15
Basic Rules,286,Gargantuan,Dragon,24.0,7,30,10,29,18,15,23,10,0,9,4,2,6,10,7,16,4,9,13
Fizban's Treasury of Dragons,214,Gargantuan,Dragon,22.0,7,27,14,27,21,19,20,8,2,8,5,4,5,8,9,15,5,11,12
Fizban's Treasury of Dragons,219,Gargantuan,Dragon,14.0,5,24,15,20,13,16,12,7,2,5,1,3,1,12,2,10,1,3,1
Basic Rules,301,Gargantuan,Dragon,23.0,7,30,10,29,18,15,23,10,0,9,4,2,6,10,7,16,4,9,13
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,50,Gargantuan,Dragon,21.0,7,28,15,26,17,18,16,9,2,8,3,4,3,9,9,15,3,11,10
Fizban's Treasury of Dragons,220,Gargantuan,Dragon,20.0,6,23,12,23,20,19,20,6,1,6,5,4,5,6,7,12,5,10,11
Basic Rules,288,Gargantuan,Dragon,20.0,6,26,10,26,10,13,14,8,0,8,0,1,2,8,6,14,0,7,8
Basic Rules,347,Large,Monstrosity,17.0,6,22,10,20,16,18,23,6,0,5,3,4,6,6,6,11,9,10,6
Mordenkainen Presents: Monsters of the Multiverse,222,Medium,Monstrosity,13.0,5,17,10,19,8,13,6,3,0,4,-1,1,-2,3,0,4,-1,1,-2
Basic Rules,116,Medium,Construct,1.0,2,14,11,13,1,3,1,2,0,1,-5,-4,-5,2,0,1,-5,-4,-5
Fizban's Treasury of Dragons,163,Large,Elemental,6.0,3,19,11,18,6,10,5,4,0,4,-2,0,-3,4,0,4,-2,0,-3
Candlekeep Mysteries,20,Small,Construct,0.25,2,10,17,10,1,5,1,0,3,0,-5,-3,-5,0,3,0,-5,-3,-5
Candlekeep Mysteries,24,Large,Construct,1.0,2,15,8,14,1,5,1,2,-1,2,-5,-3,-5,2,-1,2,-5,-3,-5
,,Large,Construct,2.0,2,18,8,13,1,3,1,4,-1,1,-5,-4,-5,4,-1,1,-5,-4,-5
Basic Rules,264,Large,Monstrosity,2.0,2,17,11,13,1,13,6,3,0,1,-5,1,-2,3,0,1,-5,1,-2
Basic Rules,117,Huge,Beast,3.0,2,19,11,15,2,12,5,4,0,2,-4,1,-3,4,0,2,-4,1,-3
,,Huge,Undead,3.0,2,19,9,15,2,6,3,4,-1,2,-4,-2,-4,4,-1,2,-4,-2,-4
Volo's Guide to Monsters,159,Large,Fey,6.0,3,21,12,14,13,14,15,5,1,2,1,2,2,5,1,5,1,2,2
Mordenkainen Presents: Monsters of the Multiverse,47,Large,Fey,6.0,3,21,12,14,13,14,15,5,1,2,1,2,2,5,1,5,1,2,2
Mythic Odysseys of Theros,209,Tiny,Construct,0.5,2,12,16,14,3,14,1,1,3,2,-4,2,-5,1,3,2,-4,2,-5
Basic Rules,117,Medium,Beast,0.5,2,16,14,14,6,12,7,3,2,2,-2,1,-2,3,2,2,-2,1,-2
Mythic Odysseys of Theros,226,Medium,Monstrosity,5.0,3,13,16,15,13,14,16,1,3,2,1,2,3,1,6,2,1,2,6
Mordenkainen Presents: Monsters of the Multiverse,259,Medium,Humanoid,0.25,2,10,10,10,14,10,11,0,0,0,2,0,0,0,0,0,2,0,0
Volo's Guide to Monsters,209,Medium,Humanoid,0.25,2,10,10,10,14,10,11,0,0,0,2,0,0,0,0,0,2,0,0
Mythic Odysseys of Theros,248,Huge,Monstrosity,21.0,7,24,16,23,15,22,17,7,3,6,2,6,3,7,10,13,2,13,3
Monster Manual,313,Medium,Fiend,12.0,4,17,12,14,20,16,17,3,1,2,5,3,3,3,5,2,9,7,7
Strixhaven: A Curriculum of Chaos,184,Gargantuan,Celestial,18.0,6,25,10,24,27,24,20,7,0,7,8,7,5,7,6,7,14,13,11
Mordenkainen Presents: Monsters of the Multiverse,48,Medium,Humanoid,12.0,4,14,14,12,12,20,11,2,2,1,1,5,0,2,2,1,5,9,0
Volo's Guide to Monsters,210,Medium,Humanoid,12.0,4,10,14,12,12,20,11,0,2,1,1,5,0,0,2,1,5,9,0
Baldur's Gate: Descent into Avernus,243,Large,Fiend,26.0,8,27,24,28,26,27,30,8,7,9,8,8,10,8,7,9,16,16,18
Mordenkainen Presents: Monsters of the Multiverse,49,Medium,Humanoid,3.0,2,11,18,16,11,13,10,0,4,3,0,1,0,0,4,3,0,1,0
Volo's Guide to Monsters,210,Medium,Humanoid,3.0,2,11,18,16,11,13,10,0,4,3,0,1,0,0,4,3,0,1,0
Basic Rules,395,Medium,Humanoid,12.0,4,10,14,12,20,15,16,0,2,1,5,2,3,0,2,1,9,6,3
Mythic Odysseys of Theros,212,Medium,Celestial,12.0,4,20,15,19,15,21,19,5,2,4,2,5,4,9,2,8,2,9,8
Guildmasters' Guide to Ravnica,192,Medium,Celestial,14.0,5,20,15,19,15,21,18,5,2,4,2,5,4,5,2,9,2,10,9
Guildmasters' Guide to Ravnica,193,Medium,Elemental,12.0,4,15,22,17,5,12,7,2,6,3,-3,1,-2,2,10,3,-3,1,-2
Baldur's Gate: Descent into Avernus,111,Medium,Humanoid,16.0,5,20,12,18,10,10,18,5,1,4,0,0,4,5,1,4,0,5,9
Mordenkainen Presents: Monsters of the Multiverse,50,Large,Fiend,7.0,3,21,18,21,8,12,13,5,4,5,-1,1,1,5,4,5,-1,1,1
Mordenkainen’s Tome of Foes,130,Large,Fiend,7.0,3,21,18,21,8,12,13,5,4,5,-1,1,1,5,4,5,-1,1,1
Candlekeep Mysteries,157,Medium,Humanoid,11.0,4,10,18,16,16,15,20,0,4,3,3,2,5,0,4,3,7,6,9
Strixhaven: A Curriculum of Chaos,185,Small,Elemental,0.25,2,6,13,12,8,11,15,-2,1,1,-1,0,2,-2,1,1,-1,0,2
,,Medium,Humanoid,7.0,3,10,15,13,17,16,18,0,2,1,3,3,4,0,5,1,3,3,7
Mythic Odysseys of Theros,213,Medium,Celestial,16.0,5,20,16,19,15,21,18,5,3,4,2,5,4,10,3,9,2,10,9
Fizban's Treasury of Dragons,165,Gargantuan,Dragon,30.0,9,30,18,29,25,28,30,10,4,9,7,9,10,10,4,18,16,18,19
Fizban's Treasury of Dragons,166,Gargantuan,Dragon,30.0,9,30,14,30,21,20,26,10,2,10,5,5,8,10,11,19,5,14,17
Basic Rules,396,Medium,Humanoid,8.0,3,11,16,14,13,11,10,0,3,2,1,0,0,0,6,2,4,0,0
Mordenkainen's Fiendish Folio Volume 1,4,Medium,Monstrosity,3.0,2,13,14,13,4,12,6,1,2,1,-3,1,-2,1,2,1,-3,1,-2
,,Large,Plant,3.0,2,18,10,16,1,10,1,4,0,3,-5,0,-5,4,0,3,-5,0,-5
Monstrous Compendium Volume One: Spelljammer Creatures,3,Gargantuan,Monstrosity,15.0,5,26,10,18,17,13,12,8,0,4,3,1,1,8,0,9,3,6,1
Spelljammer: Adventures in Space • Light of Xaryxis,10,Medium,Plant,1.0,2,16,8,14,6,10,3,3,-1,2,-2,0,-4,3,-1,2,-2,0,-4
Mordenkainen’s Tome of Foes,117,Gargantuan,Monstrosity,21.0,7,28,7,25,5,14,18,9,-2,7,-3,2,4,9,5,7,-3,9,4
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,11,Medium,Humanoid,8.0,3,11,14,10,21,18,18,0,2,0,5,4,4,0,2,0,8,7,7
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,12,Medium,Humanoid,7.0,3,12,15,13,18,18,18,1,2,1,4,4,4,1,5,4,4,7,7
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,12,Medium,Humanoid,5.0,3,14,15,12,17,16,16,2,2,1,3,3,3,2,2,1,3,6,6
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,13,Medium,Humanoid,5.0,3,11,11,10,16,20,17,0,0,0,3,5,3,0,0,0,6,8,6
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,13,Medium,Humanoid,3.0,2,12,15,10,16,16,15,1,2,0,3,3,2,1,4,0,3,5,2
,,Huge,Undead,13.0,5,19,5,22,25,19,24,4,-3,6,7,4,7,4,-3,11,7,9,7
Guildmasters' Guide to Ravnica,230,Medium,Celestial,23.0,7,26,24,25,17,25,30,8,7,7,3,7,10,8,14,14,3,7,17
Icewind Dale: Rime of the Frostmaiden,275,Medium,Monstrosity,9.0,4,14,16,21,24,26,28,2,3,5,7,8,9,2,3,9,7,12,9
Icewind Dale: Rime of the Frostmaiden,277,Large,Elemental,10.0,4,16,16,21,24,26,28,3,3,5,7,8,9,3,3,9,7,12,9
Icewind Dale: Rime of the Frostmaiden,278,Small,Elemental,11.0,4,1,12,21,24,26,28,-5,1,5,7,8,9,-5,1,9,7,12,9
Mordenkainen Presents: Monsters of the Multiverse,71,Large,Beast,2.0,2,20,10,19,2,12,5,5,0,4,-4,1,-3,5,0,4,-4,1,-3
Volo's Guide to Monsters,208,Large,Beast,2.0,2,20,10,19,2,12,5,5,0,4,-4,1,-3,5,0,4,-4,1,-3
Journeys through the Radiant Citadel,105,Small,Monstrosity,2.0,2,14,13,12,3,12,6,2,1,1,-4,1,-2,4,1,3,-4,1,-2
Journeys through the Radiant Citadel,105,Medium,Monstrosity,4.0,2,18,14,14,3,13,8,4,2,2,-4,1,-1,6,2,4,-4,1,-1
Acquisitions Incorporated,208,Medium,Humanoid,2.0,2,16,14,14,15,12,10,3,2,2,2,1,0,3,2,2,2,1,0
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,13,Small,Construct,2.0,2,13,6,16,4,11,6,1,-2,3,-3,0,-2,1,-2,5,-3,2,0
Mordenkainen Presents: Monsters of the Multiverse,115,Medium,Fey,10.0,4,12,16,16,14,17,18,1,3,3,2,3,4,1,3,3,2,3,4
Mordenkainen’s Tome of Foes,195,Medium,Fey,10.0,4,12,16,16,14,17,18,1,3,3,2,3,4,1,3,3,2,3,4
Icewind Dale: Rime of the Frostmaiden,269,Medium,Humanoid,7.0,3,8,16,14,17,10,9,-1,3,2,3,0,-1,-1,3,2,6,3,-1
Basic Rules,117,Small,Plant,0.0,2,3,8,11,10,10,6,-4,-1,0,0,0,-2,-4,-1,0,0,0,-2
Basic Rules,117,Huge,Plant,2.0,2,19,6,15,10,10,7,4,-2,2,0,0,-2,4,-2,2,0,0,-2
Icewind Dale: Rime of the Frostmaiden,82,Large,Beast,3.0,2,19,11,16,10,12,6,4,0,3,0,1,-2,4,0,3,0,1,-2
Basic Rules,118,Large,Beast,0.25,2,14,12,12,2,10,5,2,1,1,-4,0,-3,2,1,1,-4,0,-3
Critical Role: Call of the Netherdeep,188,Medium,Humanoid,3.0,2,14,14,14,10,12,12,2,2,2,0,1,1,4,4,2,0,1,1
Critical Role: Call of the Netherdeep,190,Medium,Humanoid,5.0,3,14,16,14,10,14,12,2,3,2,0,2,1,5,6,2,0,2,1
Critical Role: Call of the Netherdeep,192,Medium,Humanoid,8.0,3,16,20,16,10,16,14,3,5,3,0,3,2,6,8,3,0,3,2
,,Medium,Humanoid,4.0,2,9,16,14,16,13,11,-1,3,2,3,1,0,-1,3,2,5,3,0
Basic Rules,265,Medium,Elemental,2.0,2,17,12,15,12,13,10,3,1,2,1,1,0,3,1,4,1,1,0
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,16,Huge,Giant,6.0,3,21,14,21,5,10,7,5,2,5,-3,0,-2,5,2,5,-3,0,-2
Curse of Strahd,228,Medium,Humanoid,11.0,4,18,10,16,20,17,13,4,0,3,5,3,1,4,0,3,5,7,1
Curse of Strahd,226,Gargantuan,Construct,11.0,4,26,7,20,1,3,3,8,-2,5,-5,-4,-4,8,-2,9,-5,0,0
Volo's Guide to Monsters,136,Medium,Fiend,4.0,2,19,16,16,11,12,13,4,3,3,0,1,1,4,3,3,0,1,1
Mordenkainen Presents: Monsters of the Multiverse,52,Medium,Fiend,4.0,2,19,16,16,11,12,13,4,3,3,0,1,1,4,3,3,0,1,1
Basic Rules,118,Small,Beast,0.0,2,8,14,11,4,12,6,-1,2,0,-3,1,-2,-1,2,0,-3,1,-2
Basic Rules,118,Tiny,Beast,0.0,2,4,11,12,2,12,5,-3,0,1,-4,1,-3,-3,0,1,-4,1,-3
Mordenkainen’s Tome of Foes,170,Large,Fiend,19.0,6,24,17,20,21,24,24,7,3,5,5,7,7,7,9,11,11,7,13
Mordenkainen Presents: Monsters of the Multiverse,54,Large,Fiend,19.0,6,24,17,20,21,24,24,7,3,5,5,7,7,7,9,11,11,7,13
Candlekeep Mysteries,168,Medium,Humanoid,13.0,5,10,18,18,13,17,16,0,4,4,1,3,3,5,9,9,6,8,8
Journeys through the Radiant Citadel,147,Gargantuan,Dragon,12.0,4,21,12,15,14,17,16,5,1,2,2,3,3,5,5,6,2,7,3
Mordenkainen Presents: Monsters of the Multiverse,55,Large,Aberration,11.0,4,17,8,18,6,15,8,3,-1,4,-2,2,-1,3,-1,8,-2,2,-1
Mordenkainen’s Tome of Foes,118,Large,Aberration,11.0,4,17,8,18,6,15,8,3,-1,4,-2,2,-1,3,-1,8,-2,2,-1
Basic Rules,270,Huge,Fiend,19.0,6,26,15,22,20,16,22,8,2,6,5,3,6,14,2,12,5,9,12
Mordenkainen Presents: Monsters of the Multiverse,56,Large,Monstrosity,5.0,3,20,12,20,11,14,8,5,1,5,0,2,-1,5,1,5,0,2,-1
Volo's Guide to Monsters,122,Large,Monstrosity,5.0,3,20,12,20,11,14,8,5,1,5,0,2,-1,5,1,5,0,2,-1
Basic Rules,162,Medium,Humanoid,0.125,2,11,12,12,10,10,10,0,1,1,0,0,0,0,1,1,0,0,0
Basic Rules,397,Medium,Humanoid,2.0,2,15,16,14,14,11,14,2,3,2,2,0,2,4,5,2,2,2,2
Basic Rules,118,Medium,Undead,4.0,2,1,14,10,12,11,17,-5,2,0,1,0,3,-5,2,0,1,2,5
,,Huge,Fiend,23.0,7,30,14,26,18,24,16,10,2,8,4,7,3,10,9,15,4,14,3
Mordenkainen Presents: Monsters of the Multiverse,58,Huge,Fiend,23.0,7,30,14,26,18,24,16,10,2,8,4,7,3,10,9,15,4,14,3
Infernal Machine Rebuild,52,Medium,Humanoid,6.0,3,11,16,14,13,14,10,0,3,2,1,2,0,0,3,2,1,2,0
Basic Rules,274,Medium,Fiend,5.0,3,16,17,18,12,14,14,3,3,4,1,2,2,6,3,7,1,5,5
Mordenkainen Presents: Monsters of the Multiverse,59,Medium,Humanoid,2.0,2,11,14,12,10,13,14,0,2,1,0,1,2,0,4,1,0,3,2
Volo's Guide to Monsters,211,Medium,Humanoid,2.0,2,11,14,12,10,13,14,0,2,1,0,1,2,0,4,1,0,3,2
Volo's Guide to Monsters,123,Large,Fiend,4.0,2,19,15,14,13,12,14,4,2,2,1,1,2,4,2,2,1,1,2
Mordenkainen Presents: Monsters of the Multiverse,60,Large,Fiend,4.0,2,19,15,14,13,12,14,4,2,2,1,1,2,4,2,2,1,1,2
Monster Manual,56,Large,Fiend,5.0,3,18,15,16,7,14,9,4,2,3,-2,2,-1,4,5,6,-2,2,-1
,,Medium,Humanoid,2.0,2,9,10,9,17,15,11,-1,0,-1,3,2,0,-1,0,-1,5,4,0
Curse of Strahd,229,Medium,Humanoid,0.5,2,7,11,13,14,11,12,-2,0,1,2,0,1,-2,0,1,2,0,1
