Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder
Alhoon,MPMotM,43.0,undead,generic,N,10.0,4,5900.0,150.0,15.0,255.0,21.0,8.0,8.0,52.0,52.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0
Alhoon,VGtM,172.0,undead,legacy,N,10.0,4,5900.0,120.0,15.0,280.0,24.0,8.0,8.0,63.666668,63.666668,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0
Alkilith,MPMotM,44.0,fiend,generic,N,11.0,4,7200.0,168.0,17.0,210.0,23.0,8.0,8.0,54.0,54.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Alkilith,MToF,130.0,fiend,legacy,N,11.0,4,7200.0,157.5,17.0,196.9,21.0,8.0,8.0,54.0,54.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Allip,MPMotM,45.0,undead,generic,N,5.0,3,1800.0,40.5,13.0,109.0,13.0,6.0,6.0,32.0,46.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7,0.7,0.7,0.5,0.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.5
Allip,MToF,116.0,undead,legacy,N,5.0,3,1800.0,40.5,13.0,109.0,13.0,6.0,6.0,23.0,37.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7,0.7,0.7,0.5,0.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.5
Amnizu,MPMotM,46.0,fiend,generic,N,18.0,6,20000.0,202.5,21.0,247.5,25.0,11.0,11.0,104.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Amnizu,MToF,163.0,fiend,legacy,N,18.0,6,20000.0,202.5,21.0,247.5,25.0,11.0,11.0,139.5,144.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Angry Sorrowsworn,MPMotM,222.0,monstrosity,generic,N,13.0,5,10000.0,255.0,18.0,318.8,18.0,8.0,12.0,32.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Angry Sorrowsworn,MToF,231.0,monstrosity,legacy,N,13.0,5,10000.0,255.0,18.0,318.8,18.0,8.0,12.0,32.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annis Hag,MPMotM,47.0,fey,generic,N,6.0,3,2300.0,90.0,17.0,90.0,17.0,8.0,8.0,39.833332,64.166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annis Hag,VGtM,159.0,fey,legacy,N,6.0,3,2300.0,75.0,17.0,112.5,17.0,8.0,8.0,39.833332,64.166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Apprentice Wizard,MPMotM,259.0,humanoid,generic,N,0.25,2,50.0,13.5,13.0,13.5,13.0,4.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Apprentice Wizard,VGtM,209.0,humanoid,legacy,N,0.25,2,50.0,9.0,10.0,9.0,10.0,4.0,4.0,15.833333,15.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Archdruid,MPMotM,48.0,humanoid,generic,N,12.0,4,8400.0,154.0,14.0,231.0,16.0,9.0,11.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Archdruid,VGtM,210.0,humanoid,legacy,N,12.0,4,8400.0,132.0,16.0,132.0,16.0,9.0,9.0,115.5,115.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Archer,MPMotM,49.0,humanoid,generic,N,3.0,2,700.0,75.0,16.0,75.0,16.0,6.0,6.0,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Archer,VGtM,210.0,humanoid,legacy,N,3.0,2,700.0,75.0,16.0,75.0,16.0,6.0,6.0,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Armanite,MPMotM,50.0,fiend,generic,N,7.0,3,2900.0,94.5,16.0,118.1,18.0,8.0,8.0,55.333332,55.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Armanite,MToF,130.0,fiend,legacy,N,7.0,3,2900.0,84.0,16.0,105.0,18.0,8.0,8.0,43.333332,43.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Astral Dreadnought,MPMotM,51.0,monstrosity,legendary,L,21.0,7,33000.0,297.5,20.0,387.5,20.0,16.0,16.0,134.0,134.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Astral Dreadnought,MToF,117.0,monstrosity,legacy,L,21.0,7,33000.0,297.5,20.0,387.5,20.0,16.0,16.0,134.0,134.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aurochs,MPMotM,71.0,beast,generic,N,2.0,2,450.0,38.0,11.0,38.0,11.0,7.0,7.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aurochs,VGtM,208.0,beast,legacy,N,2.0,2,450.0,38.0,11.0,38.0,11.0,7.0,7.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Babau,MPMotM,52.0,fiend,generic,N,4.0,2,1100.0,82.5,16.0,183.0,16.0,6.0,6.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Babau,VGtM,136.0,fiend,legacy,N,4.0,2,1100.0,82.5,16.0,183.0,16.0,6.0,6.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Bael,MPMotM,54.0,fiend,unique,L,19.0,6,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,120.0,120.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Bael,MToF,170.0,fiend,legacy,L,19.0,6,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,88.5,88.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Balhannoth,MPMotM,55.0,aberration,legendary,LL,11.0,4,7200.0,114.0,17.0,174.0,19.0,7.0,7.0,98.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Balhannoth,MToF,118.0,aberration,legacy,LL,11.0,4,7200.0,114.0,17.0,174.0,19.0,7.0,7.0,120.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Banderhobb,MPMotM,56.0,monstrosity,generic,N,5.0,3,1800.0,84.0,15.0,84.0,19.0,8.0,8.0,29.5,29.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Banderhobb,VGtM,122.0,monstrosity,legacy,N,5.0,3,1800.0,84.0,15.0,84.0,19.0,8.0,8.0,33.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baphomet,MPMotM,58.0,fiend,unique,LL,23.0,7,50000.0,319.0,22.0,511.3,26.0,17.0,17.0,136.5,136.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Baphomet,MToF,143.0,fiend,legacy,LL,23.0,7,50000.0,275.5,22.0,456.3,26.0,17.0,17.0,153.33333,153.33333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Bard,MPMotM,59.0,humanoid,generic,N,2.0,2,450.0,44.0,15.0,44.0,17.0,4.0,4.0,19.333334,19.333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bard,VGtM,211.0,humanoid,legacy,N,2.0,2,450.0,44.0,15.0,44.0,17.0,4.0,4.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barghest,MPMotM,60.0,fiend,generic,N,4.0,2,1100.0,60.0,17.0,120.0,17.0,6.0,6.0,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Barghest,VGtM,123.0,fiend,legacy,N,4.0,2,1100.0,90.0,17.0,180.0,17.0,6.0,6.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Berbalang,MPMotM,61.0,aberration,generic,N,2.0,2,450.0,49.0,14.0,49.0,14.0,5.0,5.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Berbalang,MToF,120.0,aberration,legacy,N,2.0,2,450.0,38.5,14.0,38.5,14.0,5.0,5.0,16.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bheur Hag,MPMotM,62.0,fey,generic,N,7.0,3,2900.0,91.0,17.0,91.0,19.0,6.0,6.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bheur Hag,VGtM,160.0,fey,legacy,N,7.0,3,2900.0,91.0,17.0,91.0,17.0,6.0,6.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Blackguard,MPMotM,63.0,humanoid,generic,N,8.0,3,3900.0,119.0,18.0,119.0,20.0,7.0,9.0,55.5,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Blackguard,VGtM,211.0,humanoid,legacy,N,8.0,3,3900.0,153.0,18.0,153.0,19.0,7.0,8.0,39.833332,39.833332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bodak,MPMotM,64.0,undead,generic,N,6.0,3,2300.0,58.5,15.0,87.8,19.0,5.0,5.0,22.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Bodak,VGtM,127.0,undead,legacy,N,6.0,3,2300.0,58.5,15.0,87.8,19.0,5.0,5.0,22.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,1.0,1.0
Boggle,MPMotM,65.0,fey,generic,N,0.125,2,25.0,18.0,14.0,18.0,14.0,1.0,1.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Boggle,VGtM,128.0,fey,legacy,N,0.125,2,25.0,18.0,14.0,18.0,14.0,1.0,1.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Boneclaw,MPMotM,66.0,undead,generic,N,12.0,4,8400.0,150.0,16.0,150.0,20.0,8.0,10.0,65.0,96.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
Boneclaw,MToF,121.0,undead,legacy,N,12.0,4,8400.0,127.5,16.0,159.4,20.0,8.0,10.0,41.0,82.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
Brontosaurus,MPMotM,95.0,beast,generic,N,5.0,3,1800.0,121.5,15.0,121.5,15.0,8.0,8.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brontosaurus,VGtM,139.0,beast,legacy,N,5.0,3,1800.0,121.5,15.0,121.5,15.0,8.0,8.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cadaver Collector,MPMotM,68.0,construct,generic,N,14.0,5,11500.0,189.0,17.0,283.5,19.0,10.0,10.0,70.0,91.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Cadaver Collector,MToF,122.0,construct,legacy,N,14.0,5,11500.0,189.0,17.0,283.5,19.0,10.0,10.0,70.0,101.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Canoloth,MPMotM,69.0,fiend,generic,N,8.0,3,3900.0,120.0,16.0,180.0,18.0,7.0,7.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Canoloth,MToF,247.0,fiend,legacy,N,8.0,3,3900.0,120.0,16.0,180.0,18.0,7.0,7.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0
Catoblepas,MPMotM,70.0,monstrosity,generic,N,5.0,3,1800.0,84.0,14.0,94.0,15.0,7.0,7.0,26.333334,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Catoblepas,VGtM,129.0,monstrosity,legacy,N,5.0,3,1800.0,84.0,14.0,94.0,15.0,7.0,7.0,26.333334,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cave Fisher,MPMotM,73.0,monstrosity,generic,N,3.0,2,700.0,58.5,16.0,58.5,16.0,5.0,5.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cave Fisher,VGtM,130.0,monstrosity,legacy,N,3.0,2,700.0,58.5,16.0,58.5,16.0,5.0,5.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Champion,MPMotM,74.0,humanoid,generic,N,9.0,4,5000.0,143.0,18.0,163.0,20.0,9.0,9.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Champion,VGtM,212.0,humanoid,legacy,N,9.0,4,5000.0,143.0,18.0,163.0,20.0,9.0,9.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chitine,MPMotM,75.0,monstrosity,generic,N,0.5,2,100.0,18.0,14.0,18.0,14.0,4.0,4.0,13.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
