source.book,source.page,size,type,cr,legacy,damage immunities,damage resistances,damage vulnerabilities,damage modifiers.acid,damage modifiers.bludgeoning,damage modifiers.cold,damage modifiers.fire,damage modifiers.force,damage modifiers.lightning,damage modifiers.necrotic,damage modifiers.piercing,damage modifiers.poison,damage modifiers.psychic,damage modifiers.radiant,damage modifiers.slashing,damage modifiers.thunder
Explorer's Guide to Wildemount,284,Large,Monstrosity,8.0,False,"radiant, necrotic",,,,,,,,,I,,,,I,,
Princes of the Apocalypse,193,Medium,Humanoid,7.0,False,,lightning,,,,,,,R,,,,,,,
The Wild Beyond the Witchlight,73,Medium,Fey,2.0,False,,,,,,,,,,,,,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,9.0,False,,poison,,,,,,,,,,R,,,,
Basic Rules,116,Large,Elemental,5.0,False,poison,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,R,,R-N,I,,,R-N,R
Princes of the Apocalypse,212,Medium,Elemental,7.0,True,poison,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical weapons",,,R-N,,,,R,,R-N,I,,,R-N,R
Mordenkainen Presents: Monsters of the Multiverse,122,Medium,Elemental,7.0,False,poison,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,R,,R-N,I,,,R-N,R
Mythic Odysseys of Theros,228,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Tomb of Annihilation,,Medium,Humanoid,0.25,False,,poison,,,,,,,,,,R,,,,
Tomb of Annihilation,,Medium,Monstrosity,1.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,172,Medium,Undead,10.0,True,"poison; bludgeoning, piercing, and slashing from nonmagical attacks","cold, lightning, necrotic",,,I-N,R,,,R,R,I-N,I,,,I-N,
Mordenkainen Presents: Monsters of the Multiverse,43,Medium,Undead,10.0,False,poison,"cold, lightning, necrotic",,,,R,,,R,R,,I,,,,
Mordenkainen Presents: Monsters of the Multiverse,44,Medium,Fiend,11.0,False,poison,"acid, cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,R,R,,R,,R-N,I,,,R-N,
Mordenkainen’s Tome of Foes,130,Medium,Fiend,11.0,True,poison,"acid, cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,R,R,,R,,R-N,I,,,R-N,
Mordenkainen’s Tome of Foes,116,Medium,Undead,5.0,True,"cold; necrotic, poison","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,I,R,,R,I,R-N,I,,,R-N,R
Mordenkainen Presents: Monsters of the Multiverse,45,Medium,Undead,5.0,False,"cold, necrotic, poison","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,I,R,,R,I,R-N,I,,,R-N,R
Basic Rules,116,Large,Beast,2.0,False,,,,,,,,,,,,,,,,
Tomb of Annihilation,,Small,Beast,0.0,False,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,235,Medium,Fey,1.0,False,poison,radiant,,,,,,,,,,I,,R,,
Critical Role: Call of the Netherdeep,195,Large,Aberration,12.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,182,Medium,Humanoid,14.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,179,Large,Celestial,12.0,False,radiant,,,,,,,,,,,,,I,,
Critical Role: Call of the Netherdeep,180,Medium,Humanoid,13.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,178,Huge,Aberration,11.0,False,necrotic,,,,,,,,,I,,,,,,
Locathah Rising,,Medium,Humanoid,10.0,False,,,,,,,,,,,,,,,,
Hoard of the Dragon Queen,,Medium,Dragon,0.5,False,,poison,,,,,,,,,,R,,,,
Fizban's Treasury of Dragons,162,Medium,Dragon,4.0,False,,"force, psychic",,,,,,R,,,,,R,,,
The Wild Beyond the Witchlight,135,Small,Plant,0.5,False,,,,,,,,,,,,,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,5.0,False,poison,,,,,,,,,,,I,,,,
Mordenkainen’s Tome of Foes,163,Medium,Fiend,18.0,True,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,46,Medium,Fiend,18.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Ghosts of Saltmarsh,,Medium,Monstrosity,0.5,False,,,,,,,,,,,,,,,,
Baldur's Gate: Descent into Avernus,30,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,239,Small or Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Dragon of Icespire Peak,,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,160,Gargantuan,Dragon,23.0,False,,"force, psychic",,,,,,R,,,,,R,,,
Basic Rules,280,Gargantuan,Dragon,21.0,False,acid,,,I,,,,,,,,,,,,
Basic Rules,282,Gargantuan,Dragon,23.0,False,lightning,,,,,,,,I,,,,,,,
Basic Rules,290,Gargantuan,Dragon,20.0,False,fire,,,,,,I,,,,,,,,,
Basic Rules,293,Gargantuan,Dragon,22.0,False,lightning,,,,,,,,I,,,,,,,
Basic Rules,295,Gargantuan,Dragon,21.0,False,acid,,,I,,,,,,,,,,,,
Fizban's Treasury of Dragons,170,Gargantuan,Dragon,19.0,False,,"cold, radiant",,,,R,,,,,,,,R,,
Acquisitions Incorporated,211,Huge,Monstrosity,15.0,False,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Fizban's Treasury of Dragons,173,Gargantuan,Dragon,18.0,False,,"poison, psychic",,,,,,,,,,R,R,,,
Fizban's Treasury of Dragons,191,Gargantuan,Dragon,24.0,False,"cold, fire",,,,,I,I,,,,,,,,,
Fizban's Treasury of Dragons,195,Gargantuan,Dragon,21.0,False,,"fire, psychic",,,,,R,,,,,,R,,,
Basic Rules,298,Gargantuan,Dragon,24.0,False,fire,,,,,,I,,,,,,,,,
Basic Rules,284,Gargantuan,Dragon,22.0,False,poison,,,,,,,,,,,I,,,,
Spelljammer: Adventures in Space ,32,Gargantuan,Dragon,19.0,False,cold,,,,,I,,,,,,,,,,
Fizban's Treasury of Dragons,211,Gargantuan,Dragon,21.0,False,,,,,,,,,,,,,,,,
Basic Rules,286,Gargantuan,Dragon,24.0,False,fire,,,,,,I,,,,,,,,,
Fizban's Treasury of Dragons,214,Gargantuan,Dragon,22.0,False,,"lightning, thunder",,,,,,,R,,,,,,,R
Fizban's Treasury of Dragons,219,Gargantuan,Dragon,14.0,False,cold,,,,,I,,,,,,,,,,
Basic Rules,301,Gargantuan,Dragon,23.0,False,cold,,,,,I,,,,,,,,,,
Spelljammer: Adventures in Space ,50,Gargantuan,Dragon,21.0,False,radiant,,,,,,,,,,,,,I,,
Fizban's Treasury of Dragons,220,Gargantuan,Dragon,20.0,False,,"cold, necrotic",,,,R,,,,R,,,,,,
Basic Rules,288,Gargantuan,Dragon,20.0,False,cold,,,,,I,,,,,,,,,,
Basic Rules,347,Large,Monstrosity,17.0,False,"psychic; bludgeoning, piercing, and slashing from nonmagical attacks",,,,I-N,,,,,,I-N,,I,,I-N,
Mordenkainen Presents: Monsters of the Multiverse,222,Medium,Monstrosity,13.0,False,,"bludgeoning, piercing, and slashing while in dim light or darkness",,,R-D,,,,,,R-D,,,,R-D,
Basic Rules,116,Medium,Construct,1.0,False,"poison, psychic",,,,,,,,,,,I,I,,,
Fizban's Treasury of Dragons,163,Large,Elemental,6.0,False,,"damage of the type matching the animated breath’s form (acid, cold, fire, lightning, or poison)",,R,,R,R,,R,,,R,,,,
Candlekeep Mysteries,20,Small,Construct,0.25,False,"poison, psychic",,,,,,,,,,,I,I,,,
Candlekeep Mysteries,24,Large,Construct,1.0,False,"poison, psychic",,,,,,,,,,,I,I,,,
The Forge of Fury,,Large,Construct,2.0,False,"poison, psychic",,,,,,,,,,,I,I,,,
Basic Rules,264,Large,Monstrosity,2.0,False,,,,,,,,,,,,,,,,
Basic Rules,117,Huge,Beast,3.0,False,,,,,,,,,,,,,,,,
Tomb of Annihilation,,Huge,Undead,3.0,False,poison,,,,,,,,,,,I,,,,
Volo's Guide to Monsters,159,Large,Fey,6.0,True,,"cold; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,,,,,R-N,,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,47,Large,Fey,6.0,False,,cold,,,,R,,,,,,,,,,
Mythic Odysseys of Theros,209,Tiny,Construct,0.5,False,"fire, poison",,,,,,I,,,,,I,,,,
Basic Rules,117,Medium,Beast,0.5,False,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,226,Medium,Monstrosity,5.0,False,,necrotic,,,,,,,,R,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,259,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,209,Medium,Humanoid,0.25,True,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,248,Huge,Monstrosity,21.0,False,"acid, poison","bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,,,,,,R-N,I,,,R-N,
Monster Manual,313,Medium,Fiend,12.0,False,"acid, poison","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,R,,R,,R-N,I,,,R-N,
Strixhaven: A Curriculum of Chaos,184,Gargantuan,Celestial,18.0,False,"poison, psychic",force,,,,,,R,,,,I,I,,,
Mordenkainen Presents: Monsters of the Multiverse,48,Medium,Humanoid,12.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,210,Medium,Humanoid,12.0,True,,,,,,,,,,,,,,,,
Baldur's Gate: Descent into Avernus,243,Large,Fiend,26.0,False,"cold, necrotic, poison","fire, radiant; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,I,R,,,I,R-NS,I,,R,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,49,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,210,Medium,Humanoid,3.0,True,,,,,,,,,,,,,,,,
Basic Rules,395,Medium,Humanoid,12.0,False,,"damage from spells; nonmagical bludgeoning, piercing, and slashing (from stoneskin)",,,R,,,,,,R,,,,R,
Mythic Odysseys of Theros,212,Medium,Celestial,12.0,False,radiant,,,,,,,,,,,,,I,,
Guildmasters' Guide to Ravnica,192,Medium,Celestial,14.0,False,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Guildmasters' Guide to Ravnica,193,Medium,Elemental,12.0,False,"lightning, poison","thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,I,,R-N,I,,,R-N,R
Baldur's Gate: Descent into Avernus,111,Medium,Humanoid,16.0,False,,"fire, poison; bludgeoning, piercing, and slashing damage from nonmagical weapons",,,R-N,,R,,,,R-N,R,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,50,Large,Fiend,7.0,False,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Mordenkainen’s Tome of Foes,130,Large,Fiend,7.0,True,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Candlekeep Mysteries,157,Medium,Humanoid,11.0,False,,,,,,,,,,,,,,,,
Strixhaven: A Curriculum of Chaos,185,Small,Elemental,0.25,False,poison,"cold, fire",,,,R,R,,,,,I,,,,
Tomb of Annihilation,,Medium,Humanoid,7.0,False,cold (while wearing the Ring of Winter),,,,,I,,,,,,,,,,
Mythic Odysseys of Theros,213,Medium,Celestial,16.0,False,thunder,,,,,,,,,,,,,,,I
Fizban's Treasury of Dragons,165,Gargantuan,Dragon,30.0,False,"acid, cold, fire, lightning, radiant; bludgeoning, piercing, and slashing from nonmagical attacks",,,I,I-N,I,I,,I,,I-N,,,I,I-N,
Fizban's Treasury of Dragons,166,Gargantuan,Dragon,30.0,False,"acid, cold, fire, lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks",,,I,I-N,I,I,,I,,I-N,I,,,I-N,
Basic Rules,396,Medium,Humanoid,8.0,False,,poison,,,,,,,,,,R,,,,
Mordenkainen's Fiendish Folio Volume 1,4,Medium,Monstrosity,3.0,False,,poison,,,,,,,,,,R,,,,
Tomb of Annihilation,,Large,Plant,3.0,False,,"cold, fire",,,,R,R,,,,,,,,,
Monstrous Compendium Volume One: Spelljammer Creatures,3,Gargantuan,Monstrosity,15.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,10,Medium,Plant,1.0,False,,"cold, radiant",,,,R,,,,,,,,R,,
Mordenkainen’s Tome of Foes,117,Gargantuan,Monstrosity,21.0,True,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Spelljammer: Adventures in Space ,11,Medium,Humanoid,8.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,12,Medium,Humanoid,7.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,12,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,13,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,13,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Tomb of Annihilation,,Huge,Undead,13.0,False,"cold, necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks",,radiant,,I-N,I,,,,I,I-N,I,,V,I-N,
Guildmasters' Guide to Ravnica,230,Medium,Celestial,23.0,False,poison,"necrotic, radiant; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,R,R-N,I,,R,R-N,
Icewind Dale: Rime of the Frostmaiden,275,Medium,Monstrosity,9.0,False,"cold, poison",,radiant,,,I,,,,,,I,,V,,
Icewind Dale: Rime of the Frostmaiden,277,Large,Elemental,10.0,False,"cold, poison",,fire,,,I,V,,,,,I,,,,
Icewind Dale: Rime of the Frostmaiden,278,Small,Elemental,11.0,False,"cold, poison",,thunder,,,I,,,,,,I,,,,V
Mordenkainen Presents: Monsters of the Multiverse,71,Large,Beast,2.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,208,Large,Beast,2.0,True,,,,,,,,,,,,,,,,
Journeys through the Radiant Citadel,105,Small,Monstrosity,2.0,False,,,,,,,,,,,,,,,,
Journeys through the Radiant Citadel,105,Medium,Monstrosity,4.0,False,,,,,,,,,,,,,,,,
Acquisitions Incorporated,208,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,13,Small,Construct,2.0,False,poison,,,,,,,,,,,I,,,,
Mordenkainen Presents: Monsters of the Multiverse,115,Medium,Fey,10.0,False,,psychic,,,,,,,,,,,R,,,
Mordenkainen’s Tome of Foes,195,Medium,Fey,10.0,True,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Icewind Dale: Rime of the Frostmaiden,269,Medium,Humanoid,7.0,False,,"cold (granted by staff of frost), fire",,,,R,R,,,,,,,,,
Basic Rules,117,Small,Plant,0.0,False,,piercing,fire,,,,V,,,,R,,,,,
Basic Rules,117,Huge,Plant,2.0,False,,"bludgeoning, piercing",fire,,R,,V,,,,R,,,,,
Icewind Dale: Rime of the Frostmaiden,82,Large,Beast,3.0,False,,,,,,,,,,,,,,,,
Basic Rules,118,Large,Beast,0.25,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,188,Medium,Humanoid,3.0,False,,acid,,R,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,190,Medium,Humanoid,5.0,False,,acid,,R,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,192,Medium,Humanoid,8.0,False,,acid,,R,,,,,,,,,,,,
Hoard of the Dragon Queen,,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Basic Rules,265,Medium,Elemental,2.0,False,"fire, poison",,,,,,I,,,,,I,,,,
Spelljammer: Adventures in Space ,16,Huge,Giant,6.0,False,,,,,,,,,,,,,,,,
Curse of Strahd,228,Medium,Humanoid,11.0,False,,,,,,,,,,,,,,,,
Curse of Strahd,226,Gargantuan,Construct,11.0,False,"poison, psychic",,,,,,,,,,,I,I,,,
Volo's Guide to Monsters,136,Medium,Fiend,4.0,True,poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,52,Medium,Fiend,4.0,False,poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,,R-N,I,,,R-N,
Basic Rules,118,Small,Beast,0.0,False,,,,,,,,,,,,,,,,
Basic Rules,118,Tiny,Beast,0.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,170,Large,Fiend,19.0,True,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,54,Large,Fiend,19.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Candlekeep Mysteries,168,Medium,Humanoid,13.0,False,,"poison, thunder",,,,,,,,,,R,,,,R
Journeys through the Radiant Citadel,147,Gargantuan,Dragon,12.0,False,,"lightning, thunder",,,,,,,R,,,,,,,R
Mordenkainen Presents: Monsters of the Multiverse,55,Large,Aberration,11.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,118,Large,Aberration,11.0,True,,,,,,,,,,,,,,,,
Basic Rules,270,Huge,Fiend,19.0,False,"fire, poison","cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,I,,R,,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,56,Large,Monstrosity,5.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,122,Large,Monstrosity,5.0,True,,,,,,,,,,,,,,,,
Basic Rules,162,Medium,Humanoid,0.125,False,,,,,,,,,,,,,,,,
Basic Rules,397,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Basic Rules,118,Medium,Undead,4.0,False,"cold, necrotic, poison","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,I,R,,R,I,R-N,I,,,R-N,R
Out of the Abyss,,Huge,Fiend,23.0,True,"poison; bludgeoning, piercing, and slashing that is nonmagical","cold, fire, lightning",,,I-N,R,R,,R,,I-N,I,,,I-N,
Mordenkainen Presents: Monsters of the Multiverse,58,Huge,Fiend,23.0,False,"poison; bludgeoning, piercing, and slashing that is nonmagical","cold, fire, lightning",,,I-N,R,R,,R,,I-N,I,,,I-N,
Infernal Machine Rebuild,52,Medium,Humanoid,6.0,False,,poison,,,,,,,,,,R,,,,
Basic Rules,274,Medium,Fiend,5.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,59,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,211,Medium,Humanoid,2.0,True,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,123,Large,Fiend,4.0,True,"acid, poison","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,R,,R,,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,60,Large,Fiend,4.0,False,"acid, poison","cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,,,R,,R-N,I,,,R-N,
Monster Manual,56,Large,Fiend,5.0,False,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Curse of Strahd,229,Medium,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Basic Rules,119,Medium,Monstrosity,3.0,False,,,,,,,,,,,,,,,,
Princes of the Apocalypse,201,Medium,Humanoid,8.0,False,,fire,,,,,R,,,,,,,,,
Basic Rules,119,Tiny,Beast,0.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,189,Medium,Celestial,5.0,False,,"fire, radiant",,,,,R,,,,,,,R,,
The Wild Beyond the Witchlight,216,Medium,Fey,7.0,False,,,,,,,,,,,,,,,,
Basic Rules,274,Medium,Fiend,3.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Basic Rules,265,Huge,Monstrosity,11.0,False,lightning,,,,,,,,I,,,,,,,
Monster Manual,28,Large,Aberration,13.0,False,,,,,,,,,,,,,,,,
Monster Manual,316,Large,Undead,5.0,False,poison,,,,,,,,,,,I,,,,
Baldur's Gate: Descent into Avernus,115,Large,Fiend,25.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing damage from nonmagical attacks not made with silvered weapons",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Eberron: Rising from the Last War,286,Medium,Aberration,22.0,False,,"poison, psychic",,,,,,,,,,R,R,,,
Strixhaven: A Curriculum of Chaos,186,Gargantuan,Dragon,24.0,False,"necrotic, poison",,,,,,,,,I,,I,,,,
Mordenkainen Presents: Monsters of the Multiverse,61,Medium,Aberration,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,120,Medium,Aberration,2.0,True,,,,,,,,,,,,,,,,
Basic Rules,162,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,160,Medium,Fey,7.0,True,cold,,,,,I,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,62,Medium,Fey,7.0,False,cold,,,,,I,,,,,,,,,,
Guildmasters' Guide to Ravnica,256,Medium,Humanoid,10.0,False,,,,,,,,,,,,,,,,
Icewind Dale: Rime of the Frostmaiden,306,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,38,Medium,Fiend,7.0,False,"acid, fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,I,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen’s Tome of Foes,160,Medium,Fiend,7.0,True,"acid, fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered",,I,R-NS,R,I,,,,R-NS,I,,,R-NS,
Basic Rules,119,Medium,Beast,0.5,False,,,,,,,,,,,,,,,,
Basic Rules,282,Medium,Dragon,2.0,False,acid,,,I,,,,,,,,,,,,
Princes of the Apocalypse,195,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Princes of the Apocalypse,195,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Baldur's Gate: Descent into Avernus,235,Medium,Humanoid,6.0,False,,,,,,,,,,,,,,,,
