Book,Page,Type,Category,Legendary,CR,PB,AC,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Magic Resistance
GGtR,190.0,celestial,generic,N,12.0,4,18.0,22,15,17,12,14,23,6.0,2.0,3.0,1.0,2.0,6.0,True,False,False,False,True,True,10,2,3,1,6,10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MM,17.0,celestial,generic,N,16.0,5,19.0,24,20,24,19,22,25,7.0,5.0,7.0,4.0,6.0,7.0,False,False,True,False,True,True,7,5,12,4,11,12,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MM,19.0,construct,generic,N,1.0,2,18.0,14,11,13,1,3,1,2.0,0.0,1.0,-5.0,-4.0,-5.0,False,False,False,False,False,False,2,0,1,-5,-4,-5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False
CM,20.0,construct,generic,N,0.25,2,15.0,10,17,10,1,5,1,0.0,3.0,0.0,-5.0,-3.0,-5.0,False,False,False,False,False,False,0,3,0,-5,-3,-5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,False
CM,24.0,construct,generic,N,1.0,2,14.0,15,8,14,1,5,1,2.0,-1.0,2.0,-5.0,-3.0,-5.0,False,False,False,False,False,False,2,-1,2,-5,-3,-5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,False
EGtW,248.0,construct,generic,N,0.125,2,17.0,12,15,11,1,5,1,1.0,2.0,0.0,-5.0,-3.0,-5.0,False,True,False,False,False,False,1,4,0,-5,-3,-5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False
WDotMM,262.0,construct,unique,N,4.0,2,17.0,12,12,10,18,14,10,1.0,1.0,0.0,4.0,2.0,0.0,False,False,False,False,False,False,1,1,0,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TftYP,230.0,construct,generic,N,2.0,2,15.0,18,8,13,1,3,1,4.0,-1.0,1.0,-5.0,-4.0,-5.0,False,False,False,False,False,False,4,-1,1,-5,-4,-5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False
MM,21.0,monstrosity,generic,N,2.0,2,14.0,17,11,13,1,13,6,3.0,0.0,1.0,-5.0,1.0,-2.0,False,False,False,False,False,False,3,0,1,-5,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,79.0,beast,generic,N,3.0,2,15.0,19,11,15,2,12,5,4.0,0.0,2.0,-4.0,1.0,-3.0,False,False,False,False,False,False,4,0,2,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ToA,240.0,undead,generic,N,3.0,2,14.0,19,9,15,2,6,3,4.0,-1.0,2.0,-4.0,-2.0,-4.0,False,False,False,False,False,False,4,-1,2,-4,-2,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MOoT,209.0,construct,generic,N,0.5,2,14.0,12,16,14,3,14,1,1.0,3.0,2.0,-4.0,2.0,-5.0,False,False,False,False,False,False,1,3,2,-4,2,-5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False
MM,317.0,beast,generic,N,0.5,2,12.0,16,14,14,6,12,7,3.0,2.0,2.0,-2.0,1.0,-2.0,False,False,False,False,False,False,3,2,2,-2,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,323.0,beast,generic,N,7.0,3,12.0,23,14,18,7,12,7,6.0,2.0,4.0,-2.0,1.0,-2.0,False,False,False,False,False,False,6,2,4,-2,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MOoT,226.0,monstrosity,unique,N,5.0,3,15.0,13,16,15,13,14,16,1.0,3.0,2.0,1.0,2.0,3.0,False,True,False,False,False,True,1,6,2,1,2,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
VGtM,209.0,humanoid,generic,N,0.25,2,10.0,10,10,10,14,10,11,0.0,0.0,0.0,2.0,0.0,0.0,False,False,False,False,False,False,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MOoT,248.0,monstrosity,unique,LL,21.0,7,19.0,24,16,23,15,22,17,7.0,3.0,6.0,2.0,6.0,3.0,False,True,True,False,True,False,7,10,13,2,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MM,313.0,fiend,generic,N,12.0,4,17.0,17,12,14,20,16,17,3.0,1.0,2.0,5.0,3.0,3.0,False,True,False,True,True,True,3,5,2,9,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
SaCoC,184.0,celestial,legendary,L,18.0,6,20.0,25,10,24,27,24,20,7.0,0.0,7.0,8.0,7.0,5.0,False,True,False,True,True,True,7,6,7,14,13,11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,False
VGtM,210.0,humanoid,generic,N,12.0,4,16.0,10,14,12,12,20,11,0.0,2.0,1.0,1.0,5.0,0.0,False,False,False,True,True,False,0,2,1,5,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VGtM,210.0,humanoid,generic,N,3.0,2,16.0,11,18,16,11,13,10,0.0,4.0,3.0,0.0,1.0,0.0,False,False,False,False,False,False,0,4,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,342.0,humanoid,generic,N,12.0,4,15.0,10,14,12,20,15,16,0.0,2.0,1.0,5.0,2.0,3.0,False,False,False,True,True,False,0,2,1,9,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MOoT,212.0,celestial,legendary,L,12.0,4,18.0,20,15,19,15,21,19,5.0,2.0,4.0,2.0,5.0,4.0,True,False,True,False,True,True,9,2,8,2,9,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
GGtR,192.0,celestial,legendary,L,14.0,5,18.0,20,15,19,15,21,18,5.0,2.0,4.0,2.0,5.0,4.0,False,False,True,False,True,True,5,2,9,2,10,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GGtR,193.0,elemental,generic,N,12.0,4,16.0,15,22,17,5,12,7,2.0,6.0,3.0,-3.0,1.0,-2.0,False,True,False,False,False,False,2,10,3,-3,1,-2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,False
WDotMM,296.0,undead,unique,L,21.0,7,17.0,11,16,16,20,14,16,0.0,3.0,3.0,5.0,2.0,3.0,False,False,True,True,True,False,0,3,10,12,9,3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False
BGDiA,111.0,humanoid,unique,N,16.0,5,23.0,20,12,18,10,10,18,5.0,1.0,4.0,0.0,0.0,4.0,False,False,False,False,True,True,5,1,4,0,5,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MToF,130.0,fiend,generic,N,7.0,3,16.0,21,18,21,8,12,13,5.0,4.0,5.0,-1.0,1.0,1.0,False,False,False,False,False,False,5,4,5,-1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
CM,157.0,humanoid,unique,N,11.0,4,14.0,10,18,16,16,15,20,0.0,4.0,3.0,3.0,2.0,5.0,False,False,False,True,True,True,0,4,3,7,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
SaCoC,185.0,elemental,generic,N,0.25,2,11.0,6,13,12,8,11,15,-2.0,1.0,1.0,-1.0,0.0,2.0,False,False,False,False,False,False,-2,1,1,-1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
ToA,212.0,humanoid,unique,N,7.0,3,14.0,10,15,13,17,16,18,0.0,2.0,1.0,3.0,3.0,4.0,False,True,False,False,False,True,0,5,1,3,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MOoT,213.0,celestial,legendary,L,16.0,5,18.0,20,16,19,15,21,18,5.0,3.0,4.0,2.0,5.0,4.0,True,False,True,False,True,True,10,3,9,2,10,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,343.0,humanoid,generic,N,8.0,3,15.0,11,16,14,13,11,10,0.0,3.0,2.0,1.0,0.0,0.0,False,True,False,True,False,False,0,6,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ToA,213.0,plant,generic,N,3.0,2,13.0,18,10,16,1,10,1,4.0,0.0,3.0,-5.0,0.0,-5.0,False,False,False,False,False,False,4,0,3,-5,0,-5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
MToF,117.0,monstrosity,legendary,L,21.0,7,20.0,28,7,25,5,14,18,9.0,-2.0,7.0,-3.0,2.0,4.0,False,True,False,False,True,False,9,5,7,-3,9,4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,False
ToA,214.0,undead,legendary,L,13.0,5,7.0,19,5,22,25,19,24,4.0,-3.0,6.0,7.0,4.0,7.0,False,False,True,False,True,False,4,-3,11,7,9,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,True
GGtR,230.0,celestial,unique,L,23.0,7,22.0,26,24,25,17,25,30,8.0,7.0,7.0,3.0,7.0,10.0,False,True,True,False,False,True,8,14,14,3,7,17,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True
IDRotF,275.0,monstrosity,unique,LL,9.0,4,13.0,14,16,21,24,26,28,2.0,3.0,5.0,7.0,8.0,9.0,False,False,True,False,True,False,2,3,9,7,12,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,True
IDRotF,277.0,elemental,unique,LL,10.0,4,16.0,16,16,21,24,26,28,3.0,3.0,5.0,7.0,8.0,9.0,False,False,True,False,True,False,3,3,9,7,12,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,True
IDRotF,278.0,elemental,unique,LL,11.0,4,19.0,1,12,21,24,26,28,-5.0,1.0,5.0,7.0,8.0,9.0,False,False,True,False,True,False,-5,1,9,7,12,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,True
VGtM,208.0,beast,generic,N,2.0,2,11.0,20,10,19,2,12,5,5.0,0.0,4.0,-4.0,1.0,-3.0,False,False,False,False,False,False,5,0,4,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRotF,269.0,humanoid,unique,N,7.0,3,16.0,8,16,14,17,10,9,-1.0,3.0,2.0,3.0,0.0,-1.0,False,False,False,True,True,False,-1,3,2,6,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,317.0,plant,generic,N,2.0,2,13.0,19,6,15,10,10,7,4.0,-2.0,2.0,0.0,0.0,-2.0,False,False,False,False,False,False,4,-2,2,0,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRotF,82.0,beast,generic,N,3.0,2,11.0,19,11,16,10,12,6,4.0,0.0,3.0,0.0,1.0,-2.0,False,False,False,False,False,False,4,0,3,0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,317.0,beast,generic,N,0.25,2,11.0,14,12,12,2,10,5,2.0,1.0,1.0,-4.0,0.0,-3.0,False,False,False,False,False,False,2,1,1,-4,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
HotDQ,88.0,humanoid,unique,N,4.0,2,16.0,9,16,14,16,13,11,-1.0,3.0,2.0,3.0,1.0,0.0,False,False,False,True,True,False,-1,3,2,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,22.0,elemental,generic,N,2.0,2,17.0,17,12,15,12,13,10,3.0,1.0,2.0,1.0,1.0,0.0,False,False,True,False,False,False,3,1,4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
CoS,228.0,humanoid,unique,N,11.0,4,15.0,18,10,16,20,17,13,4.0,0.0,3.0,5.0,3.0,1.0,False,False,False,False,True,False,4,0,3,5,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CoS,226.0,construct,unique,N,11.0,4,16.0,26,7,20,1,3,3,8.0,-2.0,5.0,-5.0,-4.0,-4.0,False,False,True,False,True,True,8,-2,9,-5,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,False
VGtM,136.0,fiend,generic,N,4.0,2,16.0,19,16,16,11,12,13,4.0,3.0,3.0,0.0,1.0,1.0,False,False,False,False,False,False,4,3,3,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MToF,170.0,fiend,unique,L,19.0,6,18.0,24,17,20,21,24,24,7.0,3.0,5.0,5.0,7.0,7.0,False,True,True,True,False,True,7,9,11,11,7,13,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
CM,168.0,humanoid,unique,L,13.0,5,17.0,10,18,18,13,17,16,0.0,4.0,4.0,1.0,3.0,3.0,True,True,True,True,True,True,5,9,9,6,8,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
