Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
Aeorin Nullifier,EGtW,283.0,monstrosity,generic,N,12.0,4.0,8400.0,180.5,17.0,240.5,22.0,8.0,8.0,72.0,72.0
Aerisi Kalinoth,PotA,193.0,humanoid,unique,N,7.0,3.0,2900.0,66.0,16.0,106.0,16.0,6.0,6.0,76.666664,76.666664
Agdon Longscarf,WBtW,73.0,fey,unique,N,2.0,2.0,450.0,36.0,19.0,36.0,22.0,7.0,9.0,21.0,21.0
Ahmaergo,WDH,193.0,humanoid,unique,N,9.0,4.0,5000.0,143.0,18.0,183.0,18.0,9.0,9.0,47.0,47.0
Air Elemental,MM,124.0,elemental,generic,N,5.0,3.0,1800.0,90.0,15.0,135.0,15.0,8.0,8.0,31.333334,31.333334
Air Elemental Myrmidon,MPMotM,122.0,elemental,generic,N,7.0,3.0,2900.0,117.0,18.0,190.5,18.0,7.0,7.0,25.833334,25.833334
Air Elemental Myrmidon,PotA,212.0,elemental,generic,N,7.0,3.0,2900.0,117.0,18.0,175.5,18.0,7.0,7.0,24.666666,24.666666
Akroan Hoplite,MOoT,228.0,humanoid,generic,N,3.0,2.0,700.0,52.0,18.0,52.0,18.0,5.0,5.0,28.0,28.0
Albino Dwarf Warrior,ToA,210.0,humanoid,generic,N,0.25,2.0,50.0,30.0,13.0,30.0,13.0,3.0,3.0,4.0,4.0
Aldani,ToA,210.0,monstrosity,generic,N,1.0,2.0,200.0,49.5,14.0,49.5,14.0,3.0,3.0,10.0,10.0
Alhoon,MPMotM,43.0,undead,generic,N,10.0,4.0,5900.0,150.0,15.0,315.0,21.0,8.0,8.0,52.0,52.0
Alhoon,VGtM,172.0,undead,legacy,N,10.0,4.0,5900.0,120.0,15.0,240.0,24.0,8.0,8.0,72.333336,72.333336
Alkilith,MPMotM,44.0,fiend,generic,N,11.0,4.0,7200.0,168.0,17.0,210.0,21.0,8.0,8.0,54.0,54.0
Alkilith,MToF,130.0,fiend,legacy,N,11.0,4.0,7200.0,157.5,17.0,245.3,19.0,8.0,8.0,54.0,54.0
Allip,MPMotM,45.0,undead,generic,N,5.0,3.0,1800.0,40.5,13.0,75.8,13.0,6.0,6.0,32.0,37.0
Allip,MToF,116.0,undead,legacy,N,5.0,3.0,1800.0,40.5,13.0,80.0,15.0,6.0,6.0,42.0,42.0
Allosaurus,MM,79.0,beast,generic,N,2.0,2.0,450.0,51.0,13.0,51.0,13.0,6.0,6.0,17.666666,17.666666
Alseid,MOoT,235.0,fey,generic,N,1.0,2.0,200.0,22.0,15.0,22.0,17.0,6.0,6.0,18.0,18.0
Alyxian Aboleth,CRCotN,195.0,aberration,unique,L,12.0,4.0,8400.0,135.0,17.0,195.0,21.0,9.0,9.0,73.0,73.0
Alyxian the Absolved,CRCotN,182.0,humanoid,unique,LL,14.0,5.0,11500.0,161.5,15.0,231.5,18.0,9.0,9.0,94.833336,97.666664
Alyxian the Callous,CRCotN,179.0,celestial,unique,LL,12.0,4.0,8400.0,157.5,17.0,227.5,19.0,10.0,10.0,91.0,93.833336
Alyxian the Callous,CRCotN,179.0,celestial,unique,LL,12.0,4.0,8400.0,157.5,17.0,385.0,19.0,10.0,10.0,131.5,134.33333
Alyxian the Dispossessed,CRCotN,180.0,humanoid,unique,LL,13.0,5.0,10000.0,153.0,15.0,253.0,18.0,9.0,9.0,77.5,80.333336
Alyxian the Dispossessed,CRCotN,180.0,humanoid,unique,LL,13.0,5.0,10000.0,153.0,15.0,406.0,18.0,9.0,9.0,110.5,113.333336
Alyxian the Tormented,CRCotN,179.0,aberration,unique,LL,11.0,4.0,7200.0,150.0,16.0,220.0,18.0,9.0,9.0,90.833336,93.666664
Alyxian the Tormented,CRCotN,179.0,aberration,unique,LL,11.0,4.0,7200.0,150.0,16.0,415.0,18.0,9.0,9.0,143.5,146.33333
Amethyst Dragon Wyrmling,FToD,162.0,dragon,generic,N,4.0,2.0,1100.0,75.0,17.0,75.0,19.0,6.0,6.0,24.333334,24.333334
"Amethyst Dragon, Adult",FToD,161.0,dragon,legendary,L,16.0,5.0,15000.0,229.5,19.0,319.5,21.0,12.0,12.0,97.833336,97.833336
"Amethyst Dragon, Adult",FToD,161.0,dragon,legendary,LL,17.0,6.0,18000.0,229.5,19.0,394.5,21.0,12.0,12.0,97.833336,97.833336
"Amethyst Dragon, Ancient",FToD,160.0,dragon,legendary,L,23.0,7.0,50000.0,444.0,20.0,534.0,22.0,15.0,15.0,128.66667,128.66667
"Amethyst Dragon, Ancient",FToD,160.0,dragon,legendary,LL,24.0,7.0,62000.0,444.0,20.0,609.0,22.0,15.0,15.0,128.66667,128.66667
"Amethyst Dragon, Young",FToD,161.0,dragon,generic,N,9.0,4.0,5000.0,168.0,18.0,168.0,20.0,9.0,9.0,50.333332,50.333332
Amethyst Greatwyrm,FToD,201.0,dragon,legendary,L,26.0,8.0,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
Amidor the Dandelion,WBtW,135.0,plant,unique,N,0.5,2.0,100.0,28.0,12.0,28.0,15.0,4.0,4.0,6.5,6.5
Ammalia Cassalanter,WDH,193.0,humanoid,unique,N,5.0,3.0,1800.0,45.0,15.0,67.5,15.0,6.0,6.0,64.666664,64.666664
Amnizu,MPMotM,46.0,fiend,generic,N,18.0,6.0,20000.0,202.5,21.0,247.5,27.0,11.0,11.0,95.333336,100.333336
Amnizu,MToF,163.0,fiend,legacy,N,18.0,6.0,20000.0,202.5,21.0,262.0,25.0,11.0,11.0,103.0,103.0
Amphisbaena,TftYP,84.0,beast,generic,N,3.0,2.0,700.0,60.0,12.0,60.0,12.0,6.0,6.0,24.0,24.0
Amphisbaena (Monstrosity),GoS,230.0,monstrosity,generic,N,0.5,2.0,100.0,11.0,14.0,11.0,14.0,6.0,6.0,22.0,22.0
Amrik Vanthampur,BGDiA,30.0,humanoid,unique,N,3.0,2.0,700.0,66.0,17.0,66.0,17.0,6.0,6.0,18.0,18.0
Anarch,GGtR,239.0,humanoid,generic,N,0.25,2.0,50.0,11.0,13.0,11.0,13.0,4.0,4.0,9.5,9.5
"Angel, Deathpact",GGtR,191.0,celestial,generic,N,14.0,5.0,11500.0,175.5,18.0,219.4,22.0,9.0,9.0,72.0,72.0
"Angel, Deva",MM,16.0,celestial,generic,N,10.0,4.0,5900.0,136.0,17.0,204.0,21.0,8.0,8.0,50.0,50.0
"Angel, Firemane",GGtR,190.0,celestial,generic,N,12.0,4.0,8400.0,135.0,18.0,195.0,22.0,10.0,10.0,69.333336,69.333336
"Angel, Planetar",MM,17.0,celestial,generic,N,16.0,5.0,15000.0,200.0,19.0,250.0,23.0,12.0,12.0,86.0,86.0
Angry Sorrowsworn,MPMotM,222.0,monstrosity,generic,N,13.0,5.0,10000.0,255.0,18.0,318.8,18.0,8.0,12.0,32.0,51.5
Angry Sorrowsworn,MToF,231.0,monstrosity,legacy,N,13.0,5.0,10000.0,255.0,18.0,318.8,18.0,8.0,11.0,51.0,51.0
Animated Armor,MM,19.0,construct,generic,N,1.0,2.0,200.0,33.0,18.0,33.0,18.0,4.0,4.0,10.0,10.0
Animated Breath (Acid),FToD,163.0,elemental,generic,N,6.0,3.0,2300.0,95.0,15.0,95.0,16.0,7.0,7.0,55.0,55.0
Animated Breath (Cold),FToD,163.0,elemental,generic,N,6.0,3.0,2300.0,95.0,17.0,95.0,17.0,7.0,7.0,48.0,48.0
Animated Breath (Fire),FToD,163.0,elemental,generic,N,6.0,3.0,2300.0,95.0,15.0,95.0,15.0,7.0,7.0,58.5,58.5
Animated Breath (Lightning),FToD,163.0,elemental,generic,N,6.0,3.0,2300.0,95.0,15.0,95.0,15.0,7.0,7.0,55.0,55.0
Animated Breath (Poison),FToD,163.0,elemental,generic,N,6.0,3.0,2300.0,95.0,15.0,95.0,16.0,7.0,7.0,55.0,55.0
Animated Broom,CM,20.0,construct,generic,N,0.25,2.0,50.0,17.5,15.0,17.5,17.0,5.0,5.0,11.0,11.0
Animated Chained Library,CM,24.0,construct,generic,N,1.0,2.0,200.0,45.0,14.0,45.0,14.0,4.0,4.0,13.0,13.0
Animated Knife,EGtW,248.0,construct,generic,N,0.125,2.0,25.0,12.5,17.0,12.5,17.0,4.0,4.0,5.5,5.5
Animated Staff of Frost,WDotMM,262.0,construct,unique,N,4.0,2.0,1100.0,40.0,17.0,40.0,19.0,5.0,5.0,74.666664,74.666664
Animated Table,TftYP,230.0,construct,generic,N,2.0,2.0,450.0,39.0,15.0,39.0,15.0,6.0,6.0,16.0,16.0
Ankheg,MM,21.0,monstrosity,generic,N,2.0,2.0,450.0,39.0,14.0,39.0,14.0,5.0,5.0,18.666666,18.666666
Ankylosaurus,MM,79.0,beast,generic,N,3.0,2.0,700.0,68.0,15.0,68.0,15.0,7.0,7.0,18.0,18.0
Ankylosaurus Zombie,ToA,240.0,undead,generic,N,3.0,2.0,700.0,68.0,14.0,75.0,14.0,6.0,6.0,18.0,18.0
Annis Hag,MPMotM,47.0,fey,generic,N,6.0,3.0,2300.0,90.0,17.0,90.0,17.0,8.0,8.0,46.5,46.5
Annis Hag,VGtM,159.0,fey,legacy,N,6.0,3.0,2300.0,75.0,17.0,112.5,17.0,8.0,8.0,45.0,45.0
Anvilwrought Raptor,MOoT,209.0,construct,generic,N,0.5,2.0,100.0,18.0,14.0,18.0,14.0,5.0,5.0,11.0,11.0
Ape,MM,317.0,beast,generic,N,0.5,2.0,100.0,19.5,12.0,19.5,12.0,5.0,5.0,12.0,12.0
"Ape, Giant",MM,323.0,beast,generic,N,7.0,3.0,2900.0,157.5,12.0,157.5,12.0,9.0,9.0,44.0,44.0
Aphemia,MOoT,226.0,monstrosity,unique,N,5.0,3.0,1800.0,52.0,15.0,92.0,17.0,6.0,6.0,31.0,31.0
Apprentice Wizard,MPMotM,259.0,humanoid,generic,N,0.25,2.0,50.0,13.5,13.0,13.5,13.0,4.0,4.0,12.0,12.0
Apprentice Wizard,VGtM,209.0,humanoid,legacy,N,0.25,2.0,50.0,9.0,10.0,9.0,10.0,4.0,4.0,15.833333,15.833333
Arasta,MOoT,248.0,monstrosity,unique,LL,21.0,7.0,33000.0,300.0,19.0,440.0,23.0,14.0,14.0,137.0,137.0
Arcanaloth,MM,313.0,fiend,generic,N,12.0,4.0,8400.0,104.0,17.0,130.0,21.0,9.0,9.0,115.666664,115.666664
Archaic,SaCoC,184.0,celestial,legendary,L,18.0,6.0,20000.0,245.0,20.0,335.0,22.0,14.0,14.0,106.666664,118.333336
Archdruid,MPMotM,48.0,humanoid,generic,N,12.0,4.0,8400.0,154.0,14.0,308.0,14.0,9.0,9.0,78.0,78.0
Archdruid,VGtM,210.0,humanoid,legacy,N,12.0,4.0,8400.0,132.0,16.0,132.0,16.0,9.0,9.0,115.5,115.5
Archer,MPMotM,49.0,humanoid,generic,N,3.0,2.0,700.0,75.0,16.0,75.0,16.0,6.0,6.0,17.0,22.5
Archer,VGtM,210.0,humanoid,legacy,N,3.0,2.0,700.0,75.0,16.0,75.0,16.0,6.0,6.0,21.0,21.0
Archmage,MM,342.0,humanoid,generic,N,12.0,4.0,8400.0,99.0,15.0,123.8,22.0,9.0,9.0,122.5,122.5
Archon of Falling Stars,MOoT,212.0,celestial,legendary,L,12.0,4.0,8400.0,144.5,18.0,174.5,22.0,9.0,9.0,118.666664,118.666664
Archon of the Triumvirate,GGtR,192.0,celestial,legendary,L,14.0,5.0,11500.0,144.5,18.0,180.6,20.0,10.0,10.0,107.0,107.0
Arclight Phoenix,GGtR,193.0,elemental,generic,N,12.0,4.0,8400.0,142.5,16.0,178.1,16.0,10.0,10.0,105.0,105.0
Arcturia,WDotMM,296.0,undead,unique,L,21.0,7.0,33000.0,135.0,17.0,281.3,24.0,12.0,12.0,145.0,145.0
Arkhan the Cruel,BGDiA,111.0,humanoid,unique,N,16.0,5.0,15000.0,221.0,23.0,276.3,23.0,13.0,13.0,89.0,89.0
Armanite,MPMotM,50.0,fiend,generic,N,7.0,3.0,2900.0,94.5,16.0,141.8,18.0,8.0,8.0,56.666668,56.666668
Armanite,MToF,130.0,fiend,legacy,N,7.0,3.0,2900.0,84.0,16.0,126.0,18.0,8.0,8.0,43.333332,43.333332
Arrant Quill,CM,157.0,humanoid,unique,N,11.0,4.0,7200.0,135.0,14.0,135.0,16.0,9.0,9.0,88.666664,88.666664
Art Elemental Mascot,SaCoC,185.0,elemental,generic,N,0.25,2.0,50.0,18.0,11.0,18.0,11.0,3.0,3.0,6.0,6.0
Artus Cimber,ToA,212.0,humanoid,unique,N,7.0,3.0,2900.0,82.5,14.0,82.5,14.0,9.0,9.0,56.0,56.0
Ashen Rider,MOoT,213.0,celestial,legendary,L,16.0,5.0,15000.0,178.5,18.0,178.5,20.0,10.0,10.0,162.0,162.0
Assassin,MM,343.0,humanoid,generic,N,8.0,3.0,3900.0,78.0,15.0,78.0,17.0,6.0,6.0,76.0,83.166664
Assassin Vine,ToA,213.0,plant,generic,N,3.0,2.0,700.0,85.0,13.0,85.0,13.0,6.0,6.0,37.0,37.0
Astral Dreadnought,MPMotM,51.0,monstrosity,legendary,L,21.0,7.0,33000.0,297.5,20.0,387.5,20.0,16.0,16.0,134.0,134.0
Astral Dreadnought,MToF,117.0,monstrosity,legacy,L,21.0,7.0,33000.0,297.5,20.0,387.0,20.0,16.0,16.0,131.0,131.0
Atropal,ToA,214.0,undead,legendary,L,13.0,5.0,10000.0,225.0,7.0,418.5,9.0,11.0,11.0,67.0,67.0
Aurelia,GGtR,230.0,celestial,unique,L,23.0,7.0,50000.0,287.5,22.0,377.5,27.0,15.0,15.0,160.0,160.0
Auril (1st Form),IDRotF,275.0,monstrosity,unique,LL,9.0,4.0,5000.0,95.0,13.0,135.0,15.0,10.0,10.0,71.0,71.0
Auril (2nd Form),IDRotF,277.0,elemental,unique,LL,10.0,4.0,5900.0,136.5,16.0,196.5,18.0,10.0,10.0,108.666664,108.666664
Auril (3rd Form),IDRotF,278.0,elemental,unique,LL,11.0,4.0,7200.0,136.0,19.0,166.0,21.0,13.0,13.0,80.0,80.0
Aurochs,MPMotM,71.0,beast,generic,N,2.0,2.0,450.0,38.0,11.0,38.0,11.0,7.0,7.0,14.0,23.0
Aurochs,VGtM,208.0,beast,legacy,N,2.0,2.0,450.0,38.0,11.0,38.0,11.0,7.0,7.0,17.0,17.0
Avarice,IDRotF,269.0,humanoid,unique,N,7.0,3.0,2900.0,84.5,16.0,84.5,19.0,6.0,6.0,95.333336,95.333336
Awakened Tree,MM,317.0,plant,generic,N,2.0,2.0,450.0,59.5,13.0,59.5,13.0,6.0,6.0,14.0,14.0
Awakened White Moose,IDRotF,82.0,beast,generic,N,3.0,2.0,700.0,68.0,11.0,68.0,11.0,6.0,6.0,25.0,25.0
Axe Beak,MM,317.0,beast,generic,N,0.25,2.0,50.0,19.5,11.0,19.5,11.0,4.0,4.0,6.5,6.5
Ayo Jabe (tier 1),CRCotN,188.0,humanoid,unique,N,3.0,2.0,700.0,65.0,14.0,65.0,14.0,4.0,4.0,22.0,22.0
Ayo Jabe (tier 2),CRCotN,190.0,humanoid,unique,N,5.0,3.0,1800.0,97.5,15.0,97.5,15.0,6.0,6.0,36.0,36.0
Ayo Jabe (tier 3),CRCotN,192.0,humanoid,unique,N,8.0,3.0,3900.0,150.0,17.0,150.0,17.0,8.0,8.0,54.0,54.0
Azbara Jos,HotDQ,88.0,humanoid,unique,N,4.0,2.0,1100.0,39.0,16.0,39.0,21.0,5.0,5.0,56.0,56.0
Azer,MM,22.0,elemental,generic,N,2.0,2.0,450.0,39.0,17.0,39.0,17.0,5.0,5.0,10.0,10.0
Baba Lysaga,CoS,228.0,humanoid,unique,N,11.0,4.0,7200.0,120.0,15.0,120.0,15.0,9.0,9.0,83.333336,83.333336
Baba Lysaga's Creeping Hut,CoS,226.0,construct,unique,N,11.0,4.0,7200.0,263.5,16.0,263.5,16.0,12.0,12.0,90.0,90.0
Babau,MPMotM,52.0,fiend,generic,N,4.0,2.0,1100.0,82.5,16.0,165.0,16.0,6.0,6.0,18.0,18.0
Babau,VGtM,136.0,fiend,legacy,N,4.0,2.0,1100.0,82.5,16.0,206.0,16.0,6.0,6.0,16.0,16.0
Bael,MPMotM,54.0,fiend,unique,L,19.0,6.0,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,120.0,120.0
Bael,MToF,170.0,fiend,legacy,L,19.0,6.0,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,87.0,87.0
"Bahamut, Aspect of",FToD,165.0,dragon,unique,L,30.0,9.0,155000.0,585.0,23.0,918.8,25.0,19.0,19.0,172.33333,172.33333
Bak Mei,CM,168.0,humanoid,unique,L,13.0,5.0,10000.0,102.0,17.0,304.5,21.0,9.0,9.0,66.0,66.0
Balhannoth,MPMotM,55.0,aberration,legendary,LL,11.0,4.0,7200.0,114.0,17.0,174.0,19.0,7.0,7.0,98.0,98.0
Balor,MM,55.0,fiend,generic,N,19.0,6.0,22000.0,262.5,19.0,262.5,23.0,14.0,14.0,125.666664,125.666664
Banderhobb,MPMotM,56.0,monstrosity,generic,N,5.0,3.0,1800.0,84.0,15.0,84.0,17.0,8.0,12.0,29.5,29.5
Banderhobb,VGtM,122.0,monstrosity,legacy,N,5.0,3.0,1800.0,84.0,15.0,84.0,19.0,8.0,8.0,35.333332,35.333332
Bandit,MM,343.0,humanoid,generic,N,0.125,2.0,25.0,11.0,12.0,11.0,12.0,3.0,3.0,5.5,5.5
Bandit Captain,MM,344.0,humanoid,generic,N,2.0,2.0,450.0,65.0,15.0,65.0,16.0,5.0,5.0,18.5,18.5
Banshee,MM,23.0,undead,generic,N,4.0,2.0,1100.0,58.5,12.0,145.0,14.0,4.0,4.0,21.333334,21.333334
Baphomet,MPMotM,58.0,fiend,unique,LL,23.0,7.0,50000.0,319.0,22.0,511.3,26.0,17.0,17.0,136.5,136.5
Baphomet,MToF,143.0,fiend,legacy,LL,23.0,7.0,50000.0,275.5,22.0,456.3,26.0,17.0,17.0,153.33333,153.33333
Baphomet,OotA,235.0,fiend,unique,LL,23.0,7.0,50000.0,333.5,22.0,528.8,26.0,17.0,17.0,171.33333,171.33333
Bard,MPMotM,59.0,humanoid,generic,N,2.0,2.0,450.0,44.0,15.0,44.0,17.0,4.0,4.0,15.666667,15.666667
Bard,VGtM,211.0,humanoid,legacy,N,2.0,2.0,450.0,44.0,15.0,44.0,16.0,4.0,4.0,26.0,26.0
Barghest,MPMotM,60.0,fiend,generic,N,4.0,2.0,1100.0,60.0,17.0,120.0,17.0,6.0,6.0,31.0,31.0
Barghest,VGtM,123.0,fiend,legacy,N,4.0,2.0,1100.0,90.0,17.0,180.0,17.0,6.0,6.0,13.0,13.0
Barlgura,MM,56.0,fiend,generic,N,5.0,3.0,1800.0,68.0,15.0,102.0,15.0,7.0,7.0,29.0,29.0
Barnibus Blastwind,WDH,195.0,humanoid,unique,N,2.0,2.0,450.0,24.5,10.0,24.5,18.0,5.0,5.0,16.0,16.0
Barovian Witch,CoS,229.0,humanoid,generic,N,0.5,2.0,100.0,16.5,10.0,16.5,10.0,4.0,4.0,11.666667,11.666667
Basilisk,MM,24.0,monstrosity,generic,N,3.0,2.0,700.0,52.0,15.0,52.0,19.0,5.0,9.0,17.0,17.0
Bastian Thermandar,PotA,201.0,humanoid,unique,N,8.0,3.0,3900.0,78.0,15.0,78.0,20.0,5.0,5.0,64.666664,64.666664
Battleforce Angle,GGtR,189.0,celestial,generic,N,5.0,3.0,1800.0,66.0,18.0,66.0,20.0,6.0,6.0,52.0,52.0
Bavlorna Blightstraw,WBtW,216.0,fey,unique,N,7.0,3.0,2900.0,110.5,15.0,130.5,17.0,8.0,8.0,37.0,47.5
"Bear, Brown",MM,319.0,beast,generic,N,1.0,2.0,200.0,34.0,11.0,34.0,11.0,6.0,6.0,20.0,20.0
"Bear, Polar",MM,334.0,beast,generic,N,2.0,2.0,450.0,42.5,12.0,42.5,12.0,7.0,7.0,21.0,21.0
Behir,MM,25.0,monstrosity,generic,N,11.0,4.0,7200.0,168.0,17.0,168.0,17.0,10.0,10.0,81.666664,81.666664
Beholder,MM,28.0,aberration,legendary,L,13.0,5.0,10000.0,180.5,18.0,180.5,20.0,8.0,8.0,136.0,136.0
Beholder,MM,28.0,aberration,legendary,LL,14.0,5.0,11500.0,180.5,18.0,180.5,20.0,8.0,8.0,181.0,181.0
Beholder Zombie,MM,316.0,undead,generic,N,5.0,3.0,1800.0,93.5,15.0,107.0,15.0,6.0,6.0,45.0,45.0
Bel,BGDiA,115.0,fiend,unique,L,25.0,8.0,75000.0,364.5,19.0,454.5,23.0,16.0,16.0,307.33334,307.33334
Belashyrra,ERftLW,286.0,aberration,unique,L,22.0,7.0,41000.0,304.0,19.0,454.0,23.0,14.0,14.0,134.0,134.0
Belashyrra,ERftLW,286.0,aberration,unique,LL,23.0,7.0,50000.0,304.0,19.0,454.0,23.0,14.0,14.0,158.0,158.0
Beledros Witherbloom,SaCoC,186.0,dragon,unique,L,24.0,7.0,62000.0,444.0,22.0,570.0,24.0,16.0,18.0,116.666664,116.666664
Berbalang,MPMotM,61.0,aberration,generic,N,2.0,2.0,450.0,49.0,14.0,49.0,14.0,5.0,5.0,21.0,21.0
Berbalang,MToF,120.0,aberration,legacy,N,2.0,2.0,450.0,38.5,14.0,38.5,14.0,5.0,5.0,16.0,16.0
Berserker,MM,344.0,humanoid,generic,N,2.0,2.0,450.0,67.5,13.0,67.5,13.0,5.0,5.0,9.0,9.0
Bheur Hag,MPMotM,62.0,fey,generic,N,7.0,3.0,2900.0,91.0,17.0,91.0,19.0,6.0,6.0,64.0,64.0
Bheur Hag,VGtM,160.0,fey,legacy,N,7.0,3.0,2900.0,91.0,17.0,91.0,17.0,6.0,6.0,72.0,72.0
Big Xorn,WDotMM,51.0,elemental,unique,N,8.0,3.0,3900.0,103.5,19.0,154.5,19.0,8.0,8.0,49.0,49.0
Bjornhild Solvigsdottir,IDRotF,306.0,humanoid,unique,N,5.0,3.0,1800.0,102.0,12.0,102.0,12.0,7.0,7.0,31.0,31.0
Black Bear,MM,318.0,beast,generic,N,0.5,2.0,100.0,19.5,11.0,19.5,11.0,4.0,4.0,12.0,12.0
Black Dragon Wyrmling,MM,88.0,dragon,generic,N,2.0,2.0,450.0,33.0,17.0,33.0,19.0,4.0,4.0,28.0,28.0
"Black Dragon, Adult",MM,88.0,dragon,legendary,L,14.0,5.0,11500.0,195.5,19.0,285.0,21.0,11.0,11.0,109.666664,109.666664
"Black Dragon, Ancient",MM,87.0,dragon,legendary,LL,21.0,7.0,33000.0,367.5,22.0,457.0,24.0,15.0,15.0,147.66667,147.66667
"Black Dragon, Young",MM,88.0,dragon,generic,N,7.0,3.0,2900.0,127.5,18.0,127.5,20.0,7.0,7.0,60.0,60.0
Black Earth Cultist,SKT,103.0,humanoid,generic,N,2.0,2.0,450.0,33.0,16.0,33.0,16.0,3.0,3.0,22.333334,22.333334
Black Earth Guard,PotA,195.0,humanoid,generic,N,2.0,2.0,450.0,39.0,18.0,39.0,18.0,5.0,5.0,14.0,14.0
Black Earth Priest,PotA,195.0,humanoid,generic,N,3.0,2.0,700.0,45.5,17.0,45.5,22.0,5.0,5.0,30.0,30.0
Black Gauntlet of Bane,BGDiA,232.0,humanoid,generic,N,6.0,3.0,2300.0,51.0,16.0,51.0,20.0,7.0,7.0,66.0,66.0
Black Greatwyrm,FToD,168.0,dragon,legendary,L,27.0,8.0,105000.0,533.0,22.0,653.0,24.0,18.0,18.0,183.0,183.0
Black Pudding,MM,241.0,ooze,generic,N,4.0,2.0,1100.0,85.0,7.0,85.0,7.0,5.0,5.0,56.0,56.0
Black Viper,WDH,196.0,humanoid,unique,N,5.0,3.0,1800.0,84.5,16.0,99.0,18.0,7.0,7.0,42.0,42.0
Blackguard,MPMotM,63.0,humanoid,generic,N,8.0,3.0,3900.0,119.0,18.0,119.0,20.0,7.0,7.0,55.5,55.5
Blackguard,VGtM,211.0,humanoid,legacy,N,8.0,3.0,3900.0,153.0,18.0,153.0,18.0,7.0,8.0,38.0,38.0
Blagothkus,HotDQ,89.0,giant,unique,N,9.0,4.0,5000.0,138.0,17.0,138.0,24.0,10.0,10.0,51.333332,51.333332
"Blight, Needle",MM,32.0,plant,generic,N,0.25,2.0,50.0,11.0,12.0,11.0,12.0,3.0,3.0,8.0,8.0
"Blight, Tree",WBtW,230.0,plant,generic,N,7.0,3.0,2900.0,138.0,15.0,138.0,15.0,9.0,9.0,51.833332,51.833332
"Blight, Twig",MM,32.0,plant,generic,N,0.125,2.0,25.0,4.5,13.0,4.5,13.0,3.0,3.0,3.5,3.5
