Monster,Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder,Initiative,AC,adj AC,HP,adj HP,SB,adj SB,AB,adj AB,DPR,adj DPR,Save DC
Adult Gold Dragon,MM,114.0,dragon,huge,legendary,L,17.0,6,18000.0,8.0,2.0,7.0,3.0,2.0,7.0,8,8,13,3,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,19.0,19.0,256.5,346.5,8.8,8.8,14.0,14.0,127.666664,127.666664,21.0
Adult Green Dragon,MM,94.0,dragon,huge,legendary,L,15.0,5,13000.0,6.0,1.0,5.0,4.0,2.0,3.0,6,6,10,4,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,19.0,19.0,207.0,297.0,6.8,6.8,11.0,11.0,115.666664,115.666664,18.0
Adult Red Dragon,MM,98.0,dragon,huge,legendary,L,17.0,6,18000.0,8.0,0.0,7.0,3.0,1.0,5.0,8,6,13,3,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,19.0,19.0,256.5,346.5,8.0,8.0,14.0,14.0,130.33333,130.33333,21.0
Adult Silver Dragon,MM,117.0,dragon,huge,legendary,L,16.0,5,15000.0,8.0,0.0,7.0,3.0,1.0,5.0,8,5,12,3,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,19.0,19.0,243.0,333.0,7.3,7.3,13.0,13.0,122.333336,122.333336,20.0
Adult White Dragon,MM,101.0,dragon,huge,legendary,L,13.0,5,10000.0,6.0,0.0,6.0,-1.0,1.0,1.0,6,5,11,-1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,18.0,18.0,200.0,290.0,5.5,5.5,11.0,11.0,112.333336,112.333336,19.0
Air Elemental,MM,124.0,elemental,large,generic,N,5.0,3,1800.0,2.0,5.0,2.0,-2.0,0.0,-2.0,2,5,2,-2,0,-2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,5,15.0,15.0,90.0,135.0,0.8,0.8,8.0,8.0,31.333334,31.333334,13.0
Allosaurus,MM,79.0,beast,large,generic,N,2.0,2,450.0,4.0,1.0,3.0,-4.0,1.0,-3.0,4,1,3,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,13.0,13.0,51.0,51.0,0.3,0.3,6.0,6.0,17.833334,17.833334,13.0
Ancient Black Dragon,MM,87.0,dragon,gargantuan,legendary,LL,21.0,7,33000.0,8.0,2.0,7.0,3.0,2.0,4.0,8,9,14,3,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,22.0,22.0,367.5,457.5,9.0,9.0,15.0,15.0,147.66667,147.66667,22.0
Ancient Blue Dragon,MM,90.0,dragon,gargantuan,legendary,LL,23.0,7,50000.0,9.0,0.0,8.0,4.0,3.0,5.0,9,7,15,4,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,22.0,22.0,481.0,586.0,9.5,9.5,16.0,16.0,173.0,173.0,23.0
Ancient Brass Dragon,MM,104.0,dragon,gargantuan,legendary,LL,20.0,6,25000.0,8.0,0.0,7.0,3.0,2.0,4.0,8,6,13,3,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,20.0,22.0,297.5,387.5,8.0,8.0,14.0,17.0,121.0,121.0,21.0
Ancient Bronze Dragon,MM,107.0,dragon,gargantuan,legendary,LL,22.0,7,41000.0,9.0,0.0,8.0,4.0,3.0,5.0,9,7,15,4,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,22.0,22.0,444.0,534.0,9.5,9.5,16.0,16.0,157.33333,157.33333,23.0
Ancient Copper Dragon,MM,110.0,dragon,gargantuan,legendary,LL,21.0,7,33000.0,8.0,1.0,7.0,5.0,3.0,4.0,8,8,14,5,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,21.0,21.0,350.0,440.0,9.3,9.3,15.0,15.0,145.66667,145.66667,22.0
Ancient Gold Dragon,MM,113.0,dragon,gargantuan,legendary,LL,24.0,7,62000.0,10.0,2.0,9.0,4.0,3.0,9.0,10,9,16,4,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,22.0,22.0,546.0,646.0,10.8,13.8,17.0,20.0,141.0,141.0,24.0
Ancient Green Dragon,MM,93.0,dragon,gargantuan,legendary,LL,22.0,7,41000.0,8.0,1.0,7.0,5.0,3.0,4.0,8,8,14,5,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,21.0,21.0,385.0,490.0,9.3,9.3,15.0,15.0,175.33333,175.33333,22.0
Ancient Red Dragon,MM,97.0,dragon,gargantuan,legendary,LL,24.0,7,62000.0,10.0,0.0,9.0,4.0,2.0,6.0,10,7,16,4,9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,22.0,22.0,546.0,636.0,9.8,9.8,17.0,17.0,177.66667,177.66667,24.0
Ancient Silver Dragon,MM,116.0,dragon,gargantuan,legendary,LL,23.0,7,50000.0,10.0,0.0,9.0,4.0,2.0,6.0,10,7,16,4,9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,22.0,22.0,487.5,577.5,9.8,9.8,17.0,17.0,158.33333,158.33333,24.0
Ancient White Dragon,MM,100.0,dragon,gargantuan,legendary,LL,20.0,6,25000.0,8.0,0.0,8.0,0.0,1.0,2.0,8,6,14,0,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,20.0,20.0,333.0,423.0,7.2,7.2,14.0,14.0,155.0,155.0,22.0
Androsphinx,MM,281.0,monstrosity,large,legendary,LL,17.0,6,18000.0,6.0,0.0,5.0,3.0,4.0,6.0,6,6,11,9,10,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,17.0,17.0,199.5,249.4,8.0,8.0,12.0,12.0,109.0,109.0,18.0
Animated Armor,MM,19.0,construct,medium,generic,N,1.0,2,200.0,2.0,0.0,1.0,-5.0,-4.0,-5.0,2,0,1,-5,-4,-5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,18.0,18.0,33.0,33.0,-1.8,-1.8,4.0,4.0,11.0,11.0,
Ankheg,MM,21.0,monstrosity,large,generic,N,2.0,2,450.0,3.0,0.0,1.0,-5.0,1.0,-2.0,3,0,1,-5,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,14.0,14.0,39.0,39.0,-0.3,-0.3,5.0,5.0,16.0,16.0,13.0
Ankylosaurus,MM,79.0,beast,huge,generic,N,3.0,2,700.0,4.0,0.0,2.0,-4.0,1.0,-3.0,4,0,2,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,15.0,15.0,68.0,68.0,0.0,0.0,7.0,7.0,18.0,18.0,
Ape,MM,317.0,beast,medium,generic,N,0.5,2,100.0,3.0,2.0,2.0,-2.0,1.0,-2.0,3,2,2,-2,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,12.0,12.0,19.5,19.5,0.7,0.7,5.0,5.0,13.0,13.0,
Arcanaloth,MM,313.0,fiend,medium,generic,N,12.0,4,8400.0,3.0,1.0,2.0,5.0,3.0,3.0,3,5,2,9,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1,17.0,17.0,104.0,130.0,5.5,9.5,9.0,9.0,135.0,135.0,17.0
Archmage,MM,342.0,humanoid,medium,generic,N,12.0,4,8400.0,0.0,2.0,1.0,5.0,2.0,3.0,0,2,1,9,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,15.0,20.0,99.0,123.8,3.5,7.5,9.0,9.0,122.5,122.5,17.0
Assassin,MM,343.0,humanoid,medium,generic,N,8.0,3,3900.0,0.0,3.0,2.0,1.0,0.0,0.0,0,6,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3,15.0,15.0,78.0,78.0,2.0,4.0,6.0,6.0,76.0,83.166664,15.0
Awakened Shrub,MM,317.0,plant,small,generic,N,0.0,2,10.0,-4.0,-1.0,0.0,0.0,0.0,-2.0,-4,-1,0,0,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,9.0,9.0,10.5,10.5,-1.2,-1.2,1.0,1.0,1.5,1.5,
Awakened Tree,MM,317.0,plant,huge,generic,N,2.0,2,450.0,4.0,-2.0,2.0,0.0,0.0,-2.0,4,-2,2,0,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2,13.0,13.0,59.5,59.5,0.3,0.3,6.0,6.0,14.5,14.5,
Axe Beak,MM,317.0,beast,large,generic,N,0.25,2,50.0,2.0,1.0,1.0,-4.0,0.0,-3.0,2,1,1,-4,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,11.0,11.0,19.5,19.5,-0.5,-0.5,4.0,4.0,6.5,6.5,
Azer,MM,22.0,elemental,medium,generic,N,2.0,2,450.0,3.0,1.0,2.0,1.0,1.0,0.0,3,1,4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,17.0,17.0,39.0,39.0,1.7,1.7,5.0,5.0,22.0,22.0,
Balor,MM,55.0,fiend,huge,generic,N,19.0,6,22000.0,8.0,2.0,6.0,5.0,3.0,6.0,14,2,12,5,9,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,2,19.0,19.0,262.5,262.5,9.0,13.0,14.0,14.0,125.666664,125.666664,20.0
Bandit,MM,343.0,humanoid,medium,generic,N,0.125,2,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,12.0,12.0,11.0,11.0,0.3,0.3,3.0,3.0,5.5,5.5,
Bandit Captain,MM,344.0,humanoid,medium,generic,N,2.0,2,450.0,2.0,3.0,2.0,2.0,0.0,2.0,4,5,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,15.0,16.0,65.0,65.0,2.8,2.8,5.0,5.0,18.5,18.5,
Banshee,MM,23.0,undead,medium,generic,N,4.0,2,1100.0,-5.0,2.0,0.0,1.0,0.0,3.0,-5,2,0,1,2,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7,0.7,0.7,0.5,0.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.5,2,12.0,12.0,58.5,146.3,0.8,0.8,4.0,4.0,21.666666,21.666666,13.0
Barbed Devil,MM,70.0,fiend,medium,generic,N,5.0,3,1800.0,3.0,3.0,4.0,1.0,2.0,2.0,6,3,7,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3,15.0,15.0,110.5,165.8,4.5,8.5,6.0,6.0,22.0,22.0,
Barlgura,MM,56.0,fiend,large,generic,N,5.0,3,1800.0,4.0,2.0,3.0,-2.0,2.0,-1.0,4,5,6,-2,2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,2,15.0,15.0,68.0,102.0,2.3,2.3,7.0,7.0,29.0,29.0,13.0
Basilisk,MM,24.0,monstrosity,medium,generic,N,3.0,2,700.0,3.0,-1.0,2.0,-4.0,-1.0,-2.0,3,-1,2,-4,-1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,15.0,19.0,52.0,52.0,-0.5,3.5,5.0,9.0,17.0,17.0,12.0
Bearded Devil,MM,70.0,fiend,medium,generic,N,3.0,2,700.0,3.0,2.0,2.0,-1.0,0.0,0.0,5,2,4,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2,13.0,13.0,52.0,104.0,2.0,6.0,5.0,5.0,19.0,19.0,12.0
Behir,MM,25.0,monstrosity,huge,generic,N,11.0,4,7200.0,6.0,3.0,4.0,-2.0,2.0,1.0,6,3,4,-2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,17.0,17.0,168.0,168.0,2.3,2.3,10.0,10.0,81.666664,81.666664,16.0
Beholder,MM,28.0,aberration,large,legendary,L,13.0,5,10000.0,0.0,2.0,4.0,3.0,2.0,3.0,0,2,4,8,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,18.0,20.0,180.5,180.5,4.8,4.8,8.0,8.0,81.6,88.13333,16.0
Beholder,MM,28.0,aberration,large,legendary,LL,14.0,5,11500.0,0.0,2.0,4.0,3.0,2.0,3.0,0,2,4,8,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,18.0,18.0,180.5,180.5,4.8,4.8,8.0,8.0,181.0,181.0,16.0
Beholder Zombie,MM,316.0,undead,large,generic,N,5.0,3,1800.0,0.0,-1.0,3.0,-4.0,-1.0,-3.0,0,-1,3,-4,2,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1,15.0,15.0,93.5,107.5,-0.5,-0.5,6.0,6.0,45.0,45.0,14.0
Berserker,MM,344.0,humanoid,medium,generic,N,2.0,2,450.0,3.0,1.0,3.0,-1.0,0.0,-1.0,3,1,3,-1,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,13.0,13.0,67.5,67.5,0.8,0.8,5.0,5.0,9.5,9.5,
Black Bear,MM,318.0,beast,medium,generic,N,0.5,2,100.0,2.0,0.0,2.0,-4.0,1.0,-2.0,2,0,2,-4,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,11.0,11.0,19.5,19.5,-0.2,-0.2,4.0,4.0,12.0,12.0,
Black Dragon Wyrmling,MM,88.0,dragon,medium,generic,N,2.0,2,450.0,2.0,2.0,1.0,0.0,0.0,1.0,2,4,3,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,17.0,17.0,33.0,33.0,2.3,2.3,4.0,4.0,21.666666,21.666666,11.0
Black Pudding,MM,241.0,ooze,large,generic,N,4.0,2,1100.0,3.0,-3.0,3.0,-5.0,-2.0,-5.0,3,-3,3,-5,-2,-5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-3,7.0,7.0,85.0,85.0,-1.5,-1.5,5.0,5.0,56.0,56.0,
Blink Dog,MM,318.0,fey,medium,generic,N,0.25,2,50.0,1.0,3.0,1.0,0.0,1.0,0.0,1,3,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,13.0,13.0,22.0,22.0,1.0,1.0,3.0,3.0,4.5,4.5,
