Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,D-CR DMG,O-CR DMG,CR DMG,XP DMG,eHP,D-eCR,eDPR,O-eCR,eCR,eXP
MToF,130.0,fiend,generic,N,11.0,4,7200.0,157.5,17.0,245.3,19.0,8.0,8.0,54.0,13.0,8.0,10.0,5900.0,345.2,13.0,72.4,9.0,10.0,6245.0
MToF,116.0,undead,generic,N,5.0,3,1800.0,40.5,13.0,80.0,15.0,6.0,6.0,42.0,2.0,6.0,4.0,1100.0,92.6,2.0,51.1,6.0,4.0,1182.0
MM,79.0,beast,generic,N,2.0,2,450.0,51.0,13.0,51.0,13.0,6.0,6.0,17.666666,0.25,3.0,2.0,450.0,53.6,0.25,21.5,2.0,1.0,287.0
MOoT,235.0,fey,generic,N,1.0,2,200.0,22.0,15.0,22.0,17.0,6.0,6.0,18.0,0.5,3.0,2.0,450.0,28.1,0.125,21.9,2.0,0.5,154.0
WDH,193.0,humanoid,unique,N,5.0,3,1800.0,45.0,12.0,67.5,15.0,6.0,6.0,64.666664,1.0,10.0,5.0,1800.0,78.1,1.0,78.6,9.0,5.0,1535.0
MToF,163.0,fiend,generic,N,18.0,6,20000.0,202.5,21.0,262.0,25.0,11.0,11.0,103.0,16.0,17.0,16.0,15000.0,494.0,19.0,159.8,17.0,18.0,19735.0
TftYP,84.0,beast,generic,N,3.0,2,700.0,60.0,12.0,60.0,12.0,6.0,6.0,24.0,0.5,4.0,2.0,450.0,60.0,0.5,29.2,3.0,2.0,438.0
BGDiA,30.0,humanoid,unique,N,3.0,2,700.0,66.0,17.0,66.0,17.0,6.0,6.0,18.0,2.0,3.0,2.0,450.0,84.2,1.0,21.9,2.0,2.0,461.0
GGtR,191.0,celestial,generic,N,14.0,5,11500.0,175.5,18.0,218.8,22.0,9.0,9.0,72.0,12.0,11.0,11.0,7200.0,356.3,14.0,101.3,12.0,13.0,9025.0
MM,16.0,celestial,generic,N,10.0,4,5900.0,136.0,17.0,204.0,21.0,8.0,8.0,50.0,11.0,8.0,9.0,5000.0,316.5,12.0,67.0,8.0,10.0,5301.0
GGtR,190.0,celestial,generic,N,12.0,4,8400.0,135.0,18.0,195.0,22.0,10.0,10.0,69.333336,12.0,12.0,12.0,8400.0,317.6,12.0,102.4,12.0,12.0,8134.0
MM,17.0,celestial,generic,N,16.0,5,15000.0,200.0,19.0,250.0,23.0,12.0,12.0,86.0,15.0,15.0,15.0,13000.0,427.6,17.0,140.1,16.0,16.0,14975.0
MM,19.0,construct,generic,N,1.0,2,200.0,33.0,18.0,33.0,18.0,4.0,4.0,10.0,1.0,1.0,1.0,200.0,44.2,0.25,11.0,1.0,0.5,122.0
CM,24.0,construct,generic,N,1.0,2,200.0,45.0,14.0,45.0,14.0,4.0,4.0,13.0,0.25,1.0,0.5,100.0,49.6,0.25,14.3,1.0,0.5,178.0
WDotMM,262.0,construct,unique,N,4.0,2,1100.0,40.0,17.0,40.0,19.0,5.0,5.0,74.666664,2.0,11.0,6.0,2300.0,56.3,0.5,86.4,10.0,4.0,1216.0
TftYP,230.0,construct,generic,N,2.0,2,450.0,39.0,15.0,39.0,15.0,6.0,6.0,16.0,0.5,3.0,2.0,450.0,45.1,0.25,19.4,2.0,1.0,220.0
MM,21.0,monstrosity,generic,N,2.0,2,450.0,39.0,14.0,39.0,14.0,5.0,5.0,18.666666,0.25,3.0,2.0,450.0,43.0,0.25,21.6,2.0,1.0,232.0
MM,79.0,beast,generic,N,3.0,2,700.0,68.0,15.0,68.0,15.0,7.0,7.0,18.0,1.0,4.0,2.0,450.0,78.7,1.0,23.0,3.0,2.0,452.0
ToA,240.0,undead,generic,N,3.0,2,700.0,68.0,14.0,75.0,14.0,6.0,6.0,18.0,1.0,3.0,2.0,450.0,82.7,1.0,21.9,2.0,2.0,452.0
MM,323.0,beast,generic,N,7.0,3,2900.0,157.5,12.0,157.0,12.0,9.0,9.0,44.0,5.0,7.0,6.0,2300.0,157.0,5.0,61.9,7.0,6.0,2430.0
MOoT,226.0,monstrosity,legendary,L,5.0,3,1800.0,52.0,15.0,92.0,17.0,6.0,6.0,31.0,4.0,4.0,4.0,1100.0,117.4,3.0,37.7,4.0,4.0,1106.0
MOoT,248.0,monstrosity,unique,LL,21.0,7,33000.0,300.0,19.0,440.0,23.0,14.0,14.0,137.0,23.0,22.0,22.0,41000.0,752.5,23.0,246.0,22.0,22.0,46288.0
MM,313.0,fiend,generic,N,12.0,4,8400.0,104.0,17.0,130.0,21.0,9.0,9.0,115.666664,7.0,18.0,12.0,8400.0,201.7,7.0,162.8,17.0,12.0,8206.0
VGtM,210.0,humanoid,generic,N,12.0,4,8400.0,132.0,16.0,132.0,16.0,9.0,9.0,114.0,5.0,18.0,11.0,7200.0,160.4,5.0,160.4,17.0,11.0,6434.0
VGtM,210.0,humanoid,generic,N,3.0,2,700.0,75.0,16.0,75.0,16.0,6.0,6.0,21.0,2.0,4.0,3.0,700.0,91.2,2.0,25.5,3.0,2.0,582.0
MM,342.0,humanoid,generic,N,12.0,4,8400.0,99.0,12.0,148.5,17.0,9.0,9.0,122.0,7.0,19.0,13.0,10000.0,189.5,7.0,171.7,18.0,12.0,8134.0
MOoT,212.0,celestial,legendary,L,12.0,4,8400.0,144.5,18.0,174.0,22.0,9.0,9.0,118.666664,10.0,19.0,14.0,11500.0,283.4,11.0,167.0,18.0,15.0,11831.0
GGtR,192.0,celestial,legendary,L,14.0,5,11500.0,144.5,18.0,180.0,20.0,10.0,10.0,107.0,10.0,17.0,13.0,10000.0,265.9,10.0,158.1,17.0,14.0,10511.0
GGtR,193.0,elemental,generic,N,12.0,4,8400.0,142.5,16.0,177.5,16.0,10.0,10.0,105.0,8.0,17.0,12.0,8400.0,215.8,8.0,155.1,17.0,12.0,8368.0
BGDiA,111.0,humanoid,unique,N,16.0,5,15000.0,221.0,23.0,276.3,23.0,13.0,13.0,89.0,16.0,16.0,16.0,15000.0,472.5,18.0,152.2,17.0,17.0,17980.0
MToF,130.0,fiend,generic,N,7.0,3,2900.0,84.0,16.0,126.0,18.0,8.0,8.0,43.333332,6.0,7.0,6.0,2300.0,168.9,6.0,58.1,7.0,6.0,2451.0
CM,157.0,humanoid,unique,N,11.0,4,7200.0,135.0,14.0,135.0,16.0,9.0,9.0,88.666664,5.0,14.0,9.0,5000.0,164.1,5.0,124.8,15.0,9.0,5118.0
ToA,212.0,humanoid,unique,N,7.0,3,2900.0,82.5,14.0,82.0,14.0,9.0,9.0,56.0,1.0,9.0,5.0,1800.0,90.4,2.0,78.8,9.0,5.0,1781.0
MOoT,213.0,celestial,legendary,L,16.0,5,15000.0,178.5,18.0,178.0,20.0,10.0,10.0,162.0,10.0,22.0,16.0,15000.0,263.0,10.0,239.3,21.0,16.0,15736.0
MM,343.0,humanoid,generic,N,8.0,3,3900.0,78.0,15.0,78.0,17.0,6.0,6.0,74.0,3.0,10.0,6.0,2300.0,99.5,2.0,89.9,11.0,6.0,2239.0
ToA,213.0,plant,generic,N,3.0,2,700.0,85.0,13.0,85.0,13.0,6.0,6.0,37.0,1.0,5.0,3.0,700.0,89.3,1.0,45.0,5.0,4.0,1003.0
MToF,117.0,monstrosity,legendary,L,21.0,7,33000.0,297.5,20.0,387.0,20.0,16.0,16.0,131.0,20.0,23.0,21.0,33000.0,571.8,21.0,259.4,22.0,21.0,37075.0
ToA,214.0,undead,legendary,L,13.0,5,10000.0,225.0,7.0,418.5,9.0,11.0,11.0,67.0,16.0,12.0,14.0,11500.0,361.5,14.0,103.9,12.0,13.0,9394.0
GGtR,230.0,celestial,unique,L,23.0,7,50000.0,287.5,22.0,377.0,27.0,15.0,15.0,160.0,24.0,24.0,24.0,62000.0,783.8,24.0,301.7,23.0,24.0,59116.0
IDRotF,275.0,monstrosity,unique,LL,9.0,4,5000.0,95.0,13.0,135.0,15.0,10.0,10.0,71.0,5.0,12.0,8.0,3900.0,156.3,5.0,104.9,12.0,8.0,4098.0
IDRotF,277.0,elemental,unique,LL,10.0,4,5900.0,136.5,16.0,196.0,18.0,10.0,10.0,108.666664,10.0,17.0,13.0,10000.0,262.7,10.0,160.6,17.0,14.0,10542.0
IDRotF,278.0,elemental,unique,LL,11.0,4,7200.0,136.0,19.0,166.0,21.0,13.0,13.0,80.0,10.0,14.0,12.0,8400.0,257.5,10.0,136.8,16.0,12.0,8809.0
VGtM,208.0,beast,generic,N,2.0,2,450.0,38.0,11.0,38.0,11.0,7.0,7.0,17.0,0.125,4.0,2.0,450.0,36.2,0.25,21.7,2.0,1.0,196.0
IDRotF,269.0,humanoid,unique,N,7.0,3,2900.0,84.5,13.0,84.0,19.0,6.0,6.0,95.333336,4.0,14.0,9.0,5000.0,118.2,3.0,115.9,13.0,8.0,3424.0
MM,317.0,plant,generic,N,2.0,2,450.0,59.5,13.0,59.0,13.0,6.0,6.0,14.0,0.5,2.0,1.0,200.0,62.0,0.5,17.0,2.0,1.0,264.0
IDRotF,82.0,beast,generic,N,3.0,2,700.0,68.0,11.0,68.0,11.0,6.0,6.0,25.0,0.25,4.0,2.0,450.0,64.8,0.5,30.4,4.0,2.0,492.0
HotDQ,88.0,humanoid,unique,N,4.0,2,1100.0,39.0,13.0,39.0,21.0,5.0,5.0,56.0,3.0,7.0,5.0,1800.0,60.5,0.5,64.8,8.0,4.0,981.0
MM,22.0,elemental,generic,N,2.0,2,450.0,39.0,17.0,39.0,17.0,5.0,5.0,10.0,1.0,2.0,1.0,200.0,49.8,0.25,11.6,1.0,0.5,144.0
CoS,228.0,humanoid,unique,N,11.0,4,7200.0,120.0,15.0,120.0,15.0,9.0,9.0,83.333336,4.0,13.0,8.0,3900.0,138.9,4.0,117.3,14.0,8.0,4072.0
CoS,226.0,construct,unique,N,11.0,4,7200.0,263.5,16.0,263.0,16.0,12.0,12.0,90.0,12.0,16.0,14.0,11500.0,319.7,12.0,146.6,16.0,15.0,11716.0
VGtM,136.0,fiend,generic,N,4.0,2,1100.0,82.5,16.0,206.0,16.0,6.0,6.0,16.0,10.0,3.0,6.0,2300.0,250.4,9.0,19.4,2.0,4.0,1217.0
MToF,170.0,fiend,unique,L,19.0,6,22000.0,189.0,18.0,339.0,22.0,13.0,13.0,87.0,19.0,16.0,17.0,18000.0,552.2,20.0,148.8,16.0,18.0,20542.0
MToF,118.0,aberration,legendary,L,11.0,4,7200.0,114.0,17.0,174.0,17.0,7.0,7.0,120.0,8.0,18.0,13.0,10000.0,222.1,8.0,153.2,17.0,12.0,8503.0
MM,55.0,fiend,generic,N,19.0,6,22000.0,262.5,19.0,262.0,23.0,14.0,14.0,125.666664,15.0,22.0,18.0,20000.0,448.1,17.0,225.7,21.0,20.0,25282.0
VGtM,122.0,monstrosity,generic,N,5.0,3,1800.0,84.0,15.0,84.0,19.0,8.0,8.0,35.333332,4.0,6.0,5.0,1800.0,118.2,3.0,47.4,6.0,4.0,1399.0
MM,344.0,humanoid,generic,N,2.0,2,450.0,65.0,15.0,65.0,16.0,5.0,5.0,17.0,1.0,3.0,2.0,450.0,79.0,1.0,19.7,2.0,2.0,389.0
MM,23.0,undead,generic,N,4.0,2,1100.0,58.5,12.0,145.0,14.0,4.0,4.0,21.333334,5.0,3.0,4.0,1100.0,159.9,5.0,23.5,3.0,3.0,940.0
OotA,235.0,fiend,unique,LL,23.0,7,50000.0,333.5,22.0,528.8,26.0,17.0,17.0,171.33333,26.0,25.0,25.0,75000.0,1046.9,28.0,356.2,25.0,26.0,93223.0
MToF,143.0,fiend,unique,LL,23.0,7,50000.0,275.5,22.0,456.3,26.0,17.0,17.0,153.33333,25.0,24.0,24.0,62000.0,903.3,26.0,318.8,24.0,25.0,71989.0
VGtM,211.0,humanoid,generic,N,2.0,2,450.0,44.0,15.0,44.0,16.0,4.0,4.0,26.0,0.5,3.0,2.0,450.0,53.5,0.25,28.7,3.0,2.0,383.0
VGtM,123.0,fiend,generic,N,4.0,2,1100.0,90.0,17.0,180.0,17.0,6.0,6.0,13.0,8.0,2.0,5.0,1800.0,229.7,8.0,15.8,2.0,3.0,908.0
MM,56.0,fiend,generic,N,5.0,3,1800.0,68.0,15.0,102.0,15.0,7.0,7.0,29.0,4.0,5.0,4.0,1100.0,118.1,3.0,37.0,4.0,4.0,1093.0
WDH,195.0,humanoid,unique,N,2.0,2,450.0,49.0,10.0,24.0,18.0,5.0,5.0,16.0,0.5,3.0,2.0,450.0,32.2,0.125,18.5,2.0,0.5,149.0
MM,24.0,monstrosity,generic,N,3.0,2,700.0,52.0,15.0,52.0,19.0,5.0,9.0,17.0,3.0,5.0,4.0,1100.0,73.2,1.0,23.9,3.0,2.0,438.0
PotA,201.0,humanoid,unique,N,8.0,3,3900.0,78.0,12.0,78.0,20.0,5.0,5.0,64.666664,4.0,9.0,6.0,2300.0,115.2,3.0,74.9,9.0,6.0,2157.0
GGtR,189.0,celestial,generic,N,5.0,3,1800.0,66.0,18.0,66.0,20.0,6.0,6.0,52.0,3.0,8.0,5.0,1800.0,97.5,2.0,63.2,8.0,5.0,1541.0
MM,319.0,beast,generic,N,1.0,2,200.0,34.0,11.0,34.0,11.0,6.0,6.0,19.0,0.125,3.0,2.0,450.0,32.4,0.125,23.1,3.0,1.0,187.0
MM,334.0,beast,generic,N,2.0,2,450.0,42.5,12.0,42.0,12.0,7.0,7.0,21.0,0.25,4.0,2.0,450.0,42.0,0.25,26.8,3.0,1.0,281.0
MM,25.0,monstrosity,generic,N,11.0,4,7200.0,168.0,17.0,168.0,17.0,10.0,10.0,81.333336,8.0,14.0,11.0,7200.0,214.4,8.0,120.2,14.0,11.0,6441.0
MM,28.0,aberration,legendary,LL,13.0,5,10000.0,180.5,18.0,180.0,20.0,8.0,8.0,181.0,10.0,22.0,16.0,15000.0,265.9,10.0,242.6,21.0,16.0,16127.0
MM,28.0,aberration,legendary,L,13.0,5,10000.0,180.5,18.0,180.0,20.0,8.0,8.0,136.0,10.0,19.0,14.0,11500.0,265.9,10.0,182.3,19.0,15.0,12117.0
BGDiA,115.0,fiend,unique,L,25.0,8,75000.0,364.5,19.0,454.0,23.0,16.0,16.0,307.33334,24.0,30.0,27.0,105000.0,776.5,24.0,608.5,30.0,28.0,118124.0
ERftLW,286.0,aberration,unique,LL,22.0,7,41000.0,304.0,19.0,454.0,23.0,14.0,14.0,158.0,24.0,22.0,23.0,50000.0,776.5,24.0,283.7,23.0,23.0,55082.0
ERftLW,286.0,aberration,unique,L,22.0,7,41000.0,304.0,19.0,454.0,23.0,14.0,14.0,134.0,24.0,22.0,23.0,50000.0,776.5,24.0,240.6,21.0,22.0,46715.0
MToF,120.0,aberration,generic,N,2.0,2,450.0,121.0,14.0,38.0,14.0,5.0,5.0,16.0,0.25,3.0,2.0,450.0,41.9,0.25,18.5,2.0,1.0,194.0
MM,344.0,humanoid,generic,N,2.0,2,450.0,67.5,13.0,67.0,13.0,5.0,5.0,9.0,0.5,1.0,0.5,100.0,70.4,0.5,10.4,1.0,1.0,183.0
WDotMM,51.0,elemental,unique,N,8.0,3,3900.0,103.5,19.0,154.5,19.0,8.0,8.0,49.0,8.0,8.0,8.0,3900.0,217.4,8.0,65.7,8.0,8.0,3569.0
IDRotF,306.0,humanoid,unique,N,5.0,3,1800.0,102.0,12.0,102.0,12.0,7.0,7.0,31.0,3.0,5.0,4.0,1100.0,102.0,2.0,39.6,5.0,4.0,1009.0
MM,88.0,dragon,generic,N,2.0,2,450.0,33.0,17.0,33.0,19.0,4.0,4.0,28.0,2.0,4.0,3.0,700.0,46.4,0.25,30.9,4.0,2.0,358.0
MM,88.0,dragon,legendary,L,14.0,5,11500.0,195.5,19.0,285.0,21.0,11.0,11.0,109.666664,16.0,17.0,16.0,15000.0,442.1,17.0,170.1,18.0,18.0,18805.0
MM,87.0,dragon,legendary,LL,21.0,7,33000.0,367.5,22.0,457.0,24.0,15.0,15.0,147.66667,24.0,23.0,23.0,50000.0,820.7,25.0,278.4,23.0,23.0,57131.0
MM,88.0,dragon,generic,N,7.0,3,2900.0,127.5,18.0,127.0,20.0,7.0,7.0,60.0,7.0,9.0,8.0,3900.0,187.6,7.0,76.6,9.0,8.0,3592.0
SKT,103.0,humanoid,generic,N,2.0,2,450.0,33.0,16.0,33.0,16.0,3.0,3.0,22.333334,0.5,3.0,2.0,450.0,40.1,0.25,23.5,3.0,1.0,235.0
PotA,195.0,humanoid,generic,N,2.0,2,450.0,39.0,18.0,39.0,18.0,5.0,5.0,14.0,1.0,2.0,1.0,200.0,52.3,0.25,16.2,2.0,1.0,212.0
PotA,195.0,humanoid,generic,N,3.0,2,700.0,45.5,17.0,45.0,22.0,5.0,5.0,30.0,3.0,4.0,3.0,700.0,73.3,1.0,34.7,4.0,3.0,636.0
BGDiA,232.0,humanoid,generic,N,6.0,3,2300.0,51.0,16.0,51.0,20.0,7.0,7.0,66.0,2.0,10.0,6.0,2300.0,75.4,1.0,84.2,10.0,5.0,1587.0
MM,241.0,ooze,generic,N,4.0,2,1100.0,85.0,7.0,85.0,7.0,5.0,5.0,56.0,0.125,7.0,4.0,1100.0,66.6,0.5,64.8,8.0,4.0,1079.0
WDH,196.0,humanoid,unique,N,5.0,3,1800.0,84.5,16.0,99.0,18.0,7.0,7.0,42.0,4.0,6.0,5.0,1800.0,132.7,4.0,53.6,6.0,5.0,1778.0
VGtM,211.0,humanoid,generic,N,8.0,3,3900.0,153.0,18.0,153.0,18.0,7.0,8.0,38.0,7.0,6.0,6.0,2300.0,205.0,7.0,50.9,6.0,7.0,2610.0
HotDQ,89.0,giant,unique,N,9.0,4,5000.0,138.0,17.0,138.0,24.0,10.0,10.0,51.333332,9.0,9.0,9.0,5000.0,247.8,9.0,75.8,9.0,9.0,4699.0
CoS,230.0,plant,generic,N,7.0,3,2900.0,149.5,15.0,145.0,15.0,9.0,9.0,60.0,5.0,10.0,7.0,2900.0,167.9,5.0,84.4,10.0,8.0,3543.0
GGtR,207.0,elemental,generic,N,4.0,2,1100.0,45.5,13.0,90.0,13.0,5.0,5.0,35.0,2.0,5.0,3.0,700.0,94.5,2.0,40.5,5.0,4.0,957.0
GGtR,200.0,giant,generic,N,6.0,3,2300.0,103.5,14.0,103.0,16.0,9.0,9.0,32.0,4.0,6.0,5.0,1800.0,125.2,4.0,45.0,5.0,4.0,1409.0
MM,91.0,dragon,generic,N,3.0,2,700.0,52.0,17.0,52.0,19.0,5.0,5.0,22.0,3.0,3.0,3.0,700.0,73.2,1.0,25.5,3.0,2.0,466.0
MM,91.0,dragon,legendary,L,16.0,5,15000.0,225.0,19.0,315.0,21.0,12.0,12.0,126.0,18.0,21.0,19.0,22000.0,488.7,19.0,205.2,20.0,20.0,25074.0
MM,90.0,dragon,legendary,LL,23.0,7,50000.0,481.0,22.0,586.0,24.0,16.0,16.0,173.0,27.0,24.0,25.0,75000.0,1052.4,28.0,342.5,24.0,26.0,90117.0
MM,91.0,dragon,generic,N,9.0,4,5000.0,152.0,18.0,152.0,20.0,9.0,9.0,66.666664,8.0,11.0,9.0,5000.0,224.6,8.0,93.8,11.0,10.0,5267.0
MM,323.0,beast,generic,N,2.0,2,450.0,42.5,12.0,42.0,12.0,5.0,5.0,12.333333,0.25,2.0,1.0,200.0,42.0,0.25,14.3,1.0,0.5,150.0
VGtM,127.0,undead,generic,N,6.0,3,2300.0,58.5,15.0,87.0,15.0,5.0,5.0,64.0,3.0,9.0,6.0,2300.0,100.7,2.0,74.1,9.0,5.0,1865.0
ERftLW,316.0,humanoid,generic,N,5.0,3,1800.0,84.5,20.0,84.0,20.0,7.0,7.0,40.0,4.0,6.0,5.0,1800.0,124.1,3.0,51.1,6.0,5.0,1584.0
MToF,121.0,undead,generic,N,12.0,4,8400.0,127.5,16.0,127.0,18.0,8.0,8.0,80.0,6.0,12.0,9.0,5000.0,170.2,6.0,107.2,12.0,9.0,4561.0
GGtR,238.0,giant,unique,L,18.0,6,20000.0,270.0,14.0,360.0,14.0,13.0,13.0,130.0,17.0,21.0,19.0,22000.0,396.9,16.0,222.3,21.0,19.0,22062.0
WDotMM,171.0,construct,unique,N,16.0,5,15000.0,247.5,18.0,415.5,18.0,9.0,9.0,83.0,21.0,13.0,17.0,18000.0,556.8,20.0,116.8,14.0,17.0,16257.0
IDRotF,278.0,undead,generic,N,3.0,2,700.0,55.0,11.0,85.0,13.0,6.0,6.0,25.666666,1.0,4.0,2.0,450.0,89.3,1.0,31.2,4.0,3.0,696.0
MM,106.0,dragon,generic,N,1.0,2,200.0,16.5,16.0,16.0,18.0,4.0,4.0,14.0,0.5,1.0,0.5,100.0,21.4,0.125,15.4,2.0,0.25,83.0
MM,105.0,dragon,legendary,L,13.0,5,10000.0,172.5,18.0,262.0,20.0,11.0,11.0,103.666664,14.0,17.0,15.0,13000.0,387.1,15.0,160.8,17.0,16.0,15563.0
MM,104.0,dragon,legendary,LL,20.0,6,25000.0,297.5,20.0,387.0,24.0,14.0,14.0,121.0,22.0,21.0,21.0,33000.0,695.0,23.0,217.3,21.0,21.0,37755.0
MM,105.0,dragon,generic,N,6.0,3,2300.0,110.5,17.0,110.0,19.0,7.0,7.0,52.666668,6.0,8.0,7.0,2900.0,154.8,5.0,67.2,8.0,7.0,2601.0
VGtM,139.0,beast,generic,N,5.0,3,1800.0,121.5,15.0,121.0,15.0,8.0,8.0,32.0,4.0,5.0,4.0,1100.0,140.1,4.0,42.9,5.0,5.0,1502.0
MM,109.0,dragon,generic,N,2.0,2,450.0,32.5,17.0,32.0,19.0,5.0,5.0,29.333334,2.0,4.0,3.0,700.0,45.0,0.25,34.0,4.0,2.0,382.0
MM,108.0,dragon,legendary,L,15.0,5,13000.0,212.5,19.0,311.0,21.0,12.0,12.0,122.666664,18.0,20.0,19.0,22000.0,482.5,19.0,199.8,20.0,20.0,24100.0
MM,107.0,dragon,legendary,LL,22.0,7,41000.0,444.0,22.0,534.0,24.0,16.0,16.0,157.33333,25.0,23.0,24.0,62000.0,959.0,27.0,311.5,24.0,25.0,74683.0
MM,108.0,dragon,generic,N,8.0,3,3900.0,142.5,18.0,142.0,22.0,8.0,8.0,63.333332,8.0,10.0,9.0,5000.0,231.3,8.0,84.9,10.0,9.0,4908.0
MOoT,210.0,construct,generic,N,1.0,2,200.0,32.5,15.0,32.0,15.0,6.0,6.0,20.666666,0.5,4.0,2.0,450.0,37.0,0.25,25.1,3.0,1.0,233.0
MM,33.0,humanoid,generic,N,1.0,2,200.0,27.5,16.0,27.0,16.0,5.0,5.0,13.333333,0.25,2.0,1.0,200.0,32.8,0.125,15.4,2.0,0.5,127.0
MM,33.0,humanoid,generic,N,3.0,2,700.0,65.0,17.0,65.0,17.0,5.0,5.0,28.666666,2.0,4.0,3.0,700.0,83.0,1.0,33.2,4.0,3.0,688.0
MM,34.0,monstrosity,generic,N,5.0,3,1800.0,94.5,17.0,94.0,17.0,7.0,7.0,38.666668,4.0,6.0,5.0,1800.0,120.0,3.0,49.3,6.0,5.0,1480.0
MToF,131.0,fiend,generic,N,3.0,2,700.0,52.5,14.0,104.0,14.0,4.0,4.0,14.0,3.0,1.0,2.0,450.0,114.7,3.0,15.4,2.0,2.0,442.0
GoS,232.0,humanoid,generic,N,2.0,2,450.0,33.0,15.0,33.0,15.0,4.0,4.0,27.0,0.5,4.0,2.0,450.0,38.2,0.25,29.8,3.0,1.0,284.0
GoS,232.0,humanoid,generic,N,3.0,2,700.0,52.0,15.0,52.0,15.0,9.0,9.0,16.0,1.0,5.0,3.0,700.0,60.2,0.5,22.5,3.0,1.0,339.0
MOoT,211.0,construct,generic,N,2.0,2,450.0,45.0,14.0,45.0,14.0,5.0,5.0,21.333334,0.25,3.0,2.0,450.0,49.6,0.25,24.7,3.0,1.0,306.0
PotA,196.0,humanoid,generic,N,4.0,2,1100.0,82.5,18.0,82.0,18.0,6.0,6.0,24.0,3.0,4.0,3.0,700.0,109.9,3.0,29.2,3.0,3.0,801.0
MToF,122.0,construct,generic,N,14.0,5,11500.0,189.0,17.0,263.8,19.0,10.0,10.0,78.0,13.0,13.0,13.0,10000.0,371.1,14.0,115.2,13.0,14.0,10692.0
